Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys,loc_ID,Longitude,Latitude,Match Score
All About Change,,,5103 Preston Highway,Suite 2,,Louisville,KY,40213,(502)969-0600,,SAF/SA/OP/ORT/SF/DU/YAD/ADLT/FEM/MALE/,7186KY40213,-85.71205558521291,38.174034393473676,100.0
Beacon House Aftercare Program Inc,,,963 South 2nd Street,,,Louisville,KY,40203,(502)581-0765,,SAF/SA/HH/RES/RL/SF/YAD/ADLT/MALE/,5400KY40203,-85.75619636371545,38.23930976364729,100.0
Better Alternatives Counseling,,,10611 West Manslick Road,,,Louisville,KY,40218,(502)454-6350,,SAF/SA/OP/ORT/CT/SF/SS/CJ/WN/MN/YAD/ADLT/FEM/MALE/,2292KY40218,-85.7608272742282,38.106917476150215,98.68
Better Alternatives Counseling,,,1169 Eastern Parkway,Medical Arts Building Suite 1138,,Louisville,KY,40217,(502)454-6350,,SAF/SA/OP/OIT/ORT/CT/SF/DU/CJ/CHLD/ADLT/FEM/MALE/,0966KY40217,-85.72662333293194,38.22543641469712,100.0
Bradford at the Innerview,,,4229 Bardstown Road,,,Louisville,KY,40218,(502)491-3799,,SAF/SA/NXN/VTRL/OP/OIT/ORT/CT/SF/PI/CO/SE/AD/WN/MN/TRMA/CHLD/ADLT/FEM/MALE/,7224KY40218,-85.63839542010714,38.18750335750535,100.0
Brook Hospital,KMI/Substance Abuse Services,,8521 LaGrange Road,,,Louisville,KY,40242,(502)426-6380 Intake: (800)866-8876,,MHF/SA/DT/HH/OP/RES/RS/ODT/OIT/HID/HIT/SF/MD/MC/SI/PI/MI/AH/CO/AD/MN/YAD/ADLT/FEM/MALE/,4917KY40242,-85.5935272705202,38.2657969272092,100.0
Brook Hospital/Dupont,,,1405 Browns Lane,,,Louisville,KY,40207,(502)896-0495 Intake: (800)866-8876,,MHF/SA/DT/OP/ODT/OIT/HID/HIT/SF/MC/SI/PI/MI/AH/CO/ADM/YAD/ADLT/FEM/MALE/,2644KY40207,-85.62859295198137,38.23472431778682,100.0
Center for Behavioral Health KY Inc,,,1402 Browns Lane,Suite A,,Louisville,KY,40207,(502)894-0234,,SAF/SA/DT/MM/DM/BU/NXN/VTRL/OP/OD/OMB/OIT/ORT/CT/SF/DU/CJ/PW/WN/YAD/ADLT/FEM/MALE/,8879KY40207,-85.62875170522791,38.234833072980216,100.0
Central State Hospital,,,10510 LaGrange Road,,,Louisville,KY,40223,(502)253-7158 Intake: (502)253-7000,,MHF/SA/DT/VTRL/HID/HIT/SF/MD/PI/SS/CO/YAD/ADLT/FEM/MALE/,2899KY40223,-85.55796661673017,38.270788001022794,99.0
Clear Vision Counseling LLC,,,7160 Dixie Highway,,,Louisville,KY,40258,(502)995-3350,,SAF/SA/OP/ORT/SF/SS/SP/DU/WN/MN/YAD/ADLT/FEM/MALE/,5386KY40258,-85.83817632209431,38.14667301166183,100.0
Corner of Hope Inc,,,1811 Standard Avenue,,,Louisville,KY,40210,(502)413-0102,,MHSAF/SA/DT/BU/HH/OP/RES/RS/RL/RD/ODT/OIT/ORT/CT/SF/MD/MC/SI/PI/CO/DU/VET/CJ/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,4424KY40210,-85.79027810403622,38.23119205806002,100.0
Creative Spirits Ministries,,,12730 Towne Parkway,Suite 201,,Louisville,KY,40243,(502)254-9555,,MHSAF/SA/OP/OIT/ORT/CT/SF/PI/MI/SP/CO/DU/GL/VET/ADM/CJ/SE/AD/PW/WN/MN/TRMA/DV/CHLD/YAD/ADLT/FEM/MALE/,8268KY40243,-85.51935571502865,38.24276792734982,99.5
David Harmon and Associates Inc,,,4010 Dupont Circle,Suite 226,,Louisville,KY,40207,(502)896-8006 Intake: (502)377-7720,,MHSAF/SA/OP/OIT/ORT/CT/SF/PI/MI/SS/SP/CO/DU/GL/VET/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/,2665KY40207,-85.6307532198869,38.23333384386882,100.0
David Harmon and Associates Inc,The Professional Centre,,3934 Dixie Highway Suite 310,,,Louisville,KY,40216,(502)896-8006 Intake: (502)377-7720,,MHSAF/SA/OP/OIT/ORT/SF/PI/MI/SS/SP/CO/DU/GL/VET/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/,0896KY40216,-85.80705054374755,38.193698003047096,100.0
Dr Donald T Stokes and Associates Inc,,,1941 Bishop Lane,Watterson City West Building Suite 505,,Louisville,KY,40218,(502)459-6675,,SAF/SA/OP/ORT/SF/CHLD/YAD/ADLT/FEM/MALE/,4290KY40218,-85.68326819021412,38.20260281125214,100.0
Halfway Back Program,,,1436 South Shelby Street,,,Louisville,KY,40217,(502)636-0742x525 Intakes: (502)636-0742 (502)635-4525,,MHSAF/SA/HH/RES/RL/CO/VET/MF/CJ/SE/MN/YAD/ADLT/MALE/,1016KY40217,-85.74169743142177,38.22689800906315,100.0
Healing Place,Womens Community,,1503 South 15th Street,,,Louisville,KY,40210,(502)568-6680x319 Intake: (502)568-6680x310,,SAF/SA/DT/RES/RL/RD/NP/PA/GL/VET/MF/CJ/WN/TRMA/BC/XA/DV/YAD/ADLT/FEM/,8643KY40210,-85.78013549827972,38.22794289711271,100.0
Interlink Counseling Services Inc,,,8311 A and B Preston Highway,,,Louisville,KY,40219,(502)964-7147 Intake: (502)287-4178,,MHSAF/SA/DT/HH/OP/RES/RS/RL/OD/OIT/ORT/HIT/SF/SS/PA/CO/DU/VET/MN/DV/YAD/ADLT/FEM/MALE/,2091KY40219,-85.68289041783788,38.13153244467994,98.01
Kentucky Driving School,,,3715 Bardstown Road,Suite 410,,Louisville,KY,40218,(502)456-5266,,SAF/SA/OP/ORT/SF/SS/PA/DU/VET/ADM/MF/CJ/SE/WN/MN/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/,2765KY40218,-85.65876797105122,38.19840473504672,100.0
Life Management Inc,,,116 Bauer Avenue,2nd Floor,,Louisville,KY,40207,(502)773-3406,,SAF/SA/OP/OIT/ORT/CT/SF/SS/CO/DU/GL/VET/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/,6914KY40207,-85.66154171045015,38.25243745849111,100.0
Methadone/Opiate Rehabilitation and Education Center (MORE),,,1448 South 15th Street,,,Louisville,KY,40210,(502)574-6414 Intake: (502)574-6500,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/ORT/SF/AH/PW/MN/YAD/ADLT/FEM/MALE/,9372KY40210,-85.77997674503371,38.229075795146215,100.0
Morton Center Inc,,,1028 Barret Avenue,,,Louisville,KY,40204,(502)451-1221 Intake: (502)456-1025,,SAF/SA/OP/ODT/OIT/ORT/CT/SF/PI/CO/GL/VET/ADM/MF/CJ/SE/AD/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/,5990KY40204,-85.7275490303187,38.23559947229713,100.0
New Age Consulting,,,2900 West Broadway,Suite 224,,Louisville,KY,40211,(502)708-2877,,SAF/SA/OP/ORT/SF/DU/YAD/ADLT/FEM/MALE/,0127KY40211,-85.80048231678106,38.24964058503948,100.0
Our Lady of Peace,,,2020 Newburg Road,,,Louisville,KY,40205,(502)451-3330 Intakes: (502)451-3333 (502)479-4174,,MHSAF/SA/DT/NXN/OP/OD/ODT/OIT/ORT/HID/HIT/CT/SF/MD/MC/SI/PI/AH/CO/DU/GL/VET/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/,9668KY40205,-85.70864649755377,38.21804353418653,100.0
Saint Jude Womens Recovery Center,,,431 East Saint Catherine Street,,,Louisville,KY,40203,(502)589-6024,,MHSAF/SA/HH/OP/RES/RL/ORT/SF/PA/CO/GL/VET/SE/PW/WN/TRMA/XA/DV/YAD/ADLT/FEM/,1365KY40203,-85.74757331318573,38.23538187809084,100.0
Seven Counties Services,Lighthouse Adolescent Recovery Center,,2210 Tucker Station Road,,,Louisville,KY,40299,(502)366-0705,,MHSAF/SA/RES/RL/SF/MD/SI/PI/CO/GL/CJ/AD/TRMA/XA/DV/CHLD/FEM/MALE/,2460KY40299,-85.52894989286058,38.21010059128047,100.0
Seven Counties Services,Jefferson Alc/Drug Abuse Ctr (JADAC),,600 South Preston Street,,,Louisville,KY,40202,(502)583-3951,,SAF/SA/DT/OP/RES/RS/RD/OIT/ORT/SF/MD/PI/AH/PW/YAD/ADLT/FEM/MALE/,7569KY40202,-85.74731548584417,38.247424032654365,100.0
Shelby Mens Center,,,1436 South Shelby Street,,,Louisville,KY,40217,(502)636-0742 Intake: (502)635-4531,,MHSAF/SA/HH/RES/RL/SF/MD/CO/VET/CJ/MN/YAD/ADLT/MALE/,1016KY40217,-85.74169743142177,38.22689800906315,100.0
Talbot House,,,520 West Saint Catherine Street,,,Louisville,KY,40203,(502)587-0669,,HH/,3584KY40203,-85.76193838648591,38.23741109493994,100.0
Volunteers of America Inc,Freedom House,,1432 South Shelby Street,,,Louisville,KY,40217,(502)636-0742,,MHSAF/SA/RES/RL/CT/MD/SI/PI/MI/CO/GL/VET/ADM/CJ/PW/WN/TRMA/BC/XA/DV/CHLD/YAD/ADLT/FEM/,9017KY40217,-85.74169969453563,38.22707038290196,100.0
Volunteers of America Inc,Third Step Program,,1436 South Shelby Street,,,Louisville,KY,40217,(502)634-0656 Intakes: (502)636-0742 (502)635-4530,,SAF/SA/HH/RES/RL/CT/CO/VET/CJ/MN/YAD/ADLT/MALE/,1016KY40217,-85.74169743142177,38.22689800906315,100.0
Behavioral Resources Inc,,,16 Court Street,,,Madisonville,KY,42431,(270)824-9355 Intake: (270)871-1950,,SAF/SA/OP/ORT/SF/DU/CHLD/YAD/ADLT/FEM/MALE/,6767KY42431,-87.49852279550328,37.32748258268805,100.0
Healthy Choice Center,,,1 North Main Street,,,Madisonville,KY,42431,(270)825-2070 Intake: (270)584-2060,,SAF/SA/OP/OIT/ORT/SF/PI/SP/DU/YAD/ADLT/FEM/MALE/,7590KY42431,-87.49886385514354,37.328275804095114,100.0
Pennyroyal MH/MR Board,,,436 North Main Street,,,Madisonville,KY,42431,(270)821-8874 Intake: (877)473-7766,,SAF/SA/OP/OIT/ORT/CT/SF/MD/MC/SI/PI/MI/AH/DU/CJ/CHLD/YAD/ADLT/FEM/MALE/,5501KY42431,-87.4977162887796,37.334953875902535,100.0
Cumberland River Behavioral Health,,,565 Muddy Gap Road,,,Manchester,KY,40962,(606)598-5172 Intake: (606)598-5173,,MHSAF/SA/OP/ORT/CT/SF/MD/MC/SI/PI/MI/SS/PA/AH/DU/CJ/CHLD/YAD/ADLT/FEM/MALE/,9094KY40962,-83.77652259191905,37.143532627101024,100.0
Pennyroyal MH/MR Board,,,815 South Main Street,,,Marion,KY,42064,(270)886-2205 Intakes: (887)473-7766 (270)881-9551 (877),473-7766,SAF/SA/OP/ORT/SF/MD/MC/SI/PI/MI/AH/DU/CHLD/YAD/ADLT/FEM/MALE/,5485KY42064,-88.08316372711363,37.32110592411883,100.0
Four Rivers Behavioral Health,William H Fuller Resid SA Trt Center,,1525 Cuba Road,,,Mayfield,KY,42066,(270)247-2588,,MHSAF/SA/DT/OP/RES/OD/ODT/OIT/ORT/CT/SF/MD/MC/SI/PI/CO/DU/CJ/AD/PW/MN/TRMA/CHLD/ADLT/FEM/MALE/,7624KY42066,-88.63207419804918,36.72031218498966,100.0
West Kentucky Drug and Alcohol,Intervention Services LLC/Mayfield,,1325 U.S. Highway 45 North,Suite C,,Mayfield,KY,42066,(270)247-4212 Intake: (800)273-1282,,SAF/SA/OP/ORT/SF/SP/YAD/ADLT/FEM/MALE/,0487KY42066,-88.64184045635264,36.75990733167149,100.0
Kentucky River Community Care Inc,Letcher County Outpatient Office,,3367 Highway 119 North,,,Mayking,KY,41837,(606)633-4439 Intake: (800)262-7491,,MHSAF/SA/OP/ORT/CT/SF/MD/MC/SI/PI/MI/SS/AH/CO/DU/CJ/PW/WN/MN/TRMA/CHLD/YAD/ADLT/FEM/MALE/,7045KY41837,-82.76241625551651,37.13844328346743,98.9
Comprehend Inc,,,611 Forest Avenue,,,Maysville,KY,41056,(606)564-4016,,MHSAF/SA/OP/OIT/ORT/SF/MD/MC/SI/PI/MI/AH/CO/DU/CJ/AD/PW/WN/TRMA/CHLD/YAD/ADLT/FEM/MALE/,1788KY41056,-83.75109693210156,38.64224737912528,100.0
New Hope Community Services,,,901 Highway 68,Suite 1000,,Maysville,KY,41056,(606)584-7055,,MHSAF/SA/OP/OIT/ORT/CT/SF/MD/MC/SI/PI/MI/IHS/SS/CO/DU/GL/VET/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/,7623KY41056,-83.7798963132221,38.6433043790252,100.0
Cumberland River Behavioral Health,,,1348 Highway 421 North Street,,,McKee,KY,40447,(606)287-7137 Intake: (606)526-9598,,MHSAF/SA/OP/ORT/CT/SF/MD/MC/SI/PI/MI/SS/PA/AH/DU/CJ/AD/CHLD/YAD/ADLT/FEM/MALE/,1420KY40447,-84.15119876542046,37.49552426512992,98.28
Cumberland River Behavioral Health,,,324 1/2 North 19th Street,,,Middlesboro,KY,40965,(606)248-4949 Intake: (606)526-9598,,MHSAF/SA/OP/ORT/CT/SF/MD/MC/SI/PI/MI/SS/PA/AH/DU/CJ/AD/CHLD/YAD/ADLT/FEM/MALE/,6731KY40965,-83.7129536884587,36.610112714607396,100.0
Adanta Group,Wayne County Clinic,,735 West Columbia Avenue,,,Monticello,KY,42633,(606)348-9318,,MHSAF/SA/OP/ORT/CT/SF/MD/MC/SI/PI/MI/AH/DU/CJ/AD/CHLD/YAD/ADLT/FEM/MALE/,9767KY42633,-84.85904178808406,36.83617879489253,100.0
Family Healing Center,,,241 East Main,The Blair Building,,Morehead,KY,40351,(606)548-1502,,MHSAF/SA/OP/OIT/ORT/SF/PI/SS/PA/CO/DU/SE/AD/PW/WN/MN/XA/YAD/ADLT/FEM/MALE/,4667KY40351,-83.43333076851846,38.18426314378823,98.84
Pathways Inc,Rowan County Outpatient,,325 East Main Street,,,Morehead,KY,40351,(606)784-4161 Intake: (800)562-8909,,MHSAF/SA/NXN/VTRL/OP/OIT/ORT/SF/MD/MC/SI/PI/MI/SS/AH/DU/CJ/PW/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/,3691KY40351,-83.4319140591808,38.18591993217634,100.0
Selfrefind,,,550 Hecks Plaza,,,Morehead,KY,40351,(866)755-4258,,SAF/SA/DT/BU/NXN/VTRL/OTPA/OP/OD/OMB/ORT/SF/SE/PW/WN/MN/TRMA/YAD/ADLT/FEM/MALE/,6728KY40351,-83.47507452255563,38.19043123743457,98.82
Counseling Center Inc,,,110 East Main Street,,,Morganfield,KY,42437,(270)313-4714 Intakes: (270)389-3400 (270)313-8830,,MHSAF/SA/OP/OIT/ORT/SF/PI/DU/CHLD/YAD/ADLT/FEM/MALE/,0321KY42437,-87.91668936451929,37.68362844741539,100.0
River Valley Behavioral Healthcare,,,233 North Townsend Street,,,Morganfield,KY,42437,(270)689-6548 Intake: (270)683-4039,,MHSAF/SA/OP/ODT/OIT/ORT/SF/MD/MC/SI/PI/MI/AH/YAD/ADLT/FEM/MALE/,5586KY42437,-87.9176486320409,37.68734832186588,100.0
LifeSkills Inc,Butler County Office,,222 Industrial Drive North,,,Morgantown,KY,42261,(270)526-3877 Intakes: (270)901-5000 (270)843-4357,,MHSAF/SA/OP/ORT/SF/MD/PI/MI/AH/DU/CHLD/YAD/ADLT/FEM/MALE/,1045KY42261,-86.71059816456894,37.218225773991186,100.0
Pathways Inc,Hillcrest Hall,,209 Davis Road,P.O. Box 385,,Mount Sterling,KY,40353,(859)498-6574 Intake: (877)521-0599,,SAF/SA/RES/RL/SF/MD/SI/PI/SS/AD/CHLD/MALE/,2455KY40353,-83.92098629098453,37.995685640720346,100.0
Pathways Inc,Montgomery County Outpatient,,300 Foxglove Drive,,,Mount Sterling,KY,40353,(859)498-2135 Intake: (800)562-8909,,MHSAF/SA/NXN/VTRL/OP/OIT/ORT/CT/SF/MD/MC/SI/PI/MI/SS/AH/DU/CJ/PW/CHLD/YAD/ADLT/FEM/MALE/,5793KY40353,-83.95673009227066,38.06549210067282,100.0
Cumberland River Behavioral Health,,,260 Old U.S. 25 South,,,Mount Vernon,KY,40456,(606)256-2129 Intake: (606)526-9598,,MHSAF/SA/OP/ORT/CT/SF/MD/MC/SI/PI/MI/SS/PA/AH/DU/CJ/AD/CHLD/YAD/ADLT/FEM/MALE/,4077KY40456,-84.23984787396573,37.305340686072114,100.0
LifeSkills Inc,Hart County Office,,118 West Union Street,,,Munfordville,KY,42765,(270)524-9883,,MHSAF/SA/OP/ORT/CT/SF/MD/MC/SI/PI/MI/SS/AH/DU/CHLD/YAD/ADLT/FEM/MALE/,4103KY42765,-85.89142152382601,37.27132148447978,100.0
Four Rivers Behavioral Health,Lakes Center,,1051 North 16th Street,,,Murray,KY,42071,(270)753-6622 Intake: (270)442-7121,,MHSAF/SA/OP/ORT/SF/MD/MC/MI/AH/CO/SE/AD/PW/WN/MN/TRMA/CHLD/ADLT/FEM/MALE/,5309KY42071,-88.32429582640705,36.62396983551977,100.0
Awareness and Discovery Group LLC,,,1701 Monmouth Street,,,Newport,KY,41071,(859)431-7747 Intake: (859)525-1487,,SAF/SA/OP/ORT/SF/PI/MI/SS/DU/CHLD/YAD/ADLT/FEM/MALE/,4654KY41071,-84.48266608849289,39.08337491521772,100.0
Commonwealth SA Specialists,,,1002 Washington Avenue,Suite 1,,Newport,KY,41071,(859)442-7700,,SAF/SA/OP/ORT/SF/MC/PI/MI/DU/DV/YAD/ADLT/FEM/MALE/,1673KY41071,-84.4866106121273,39.0883334814982,100.0
Commonwealth SA Specialists,,,4150 Alexandria Pike,Suite 102,,Newport,KY,41076,(859)442-7700,,SAF/SA/OP/ORT/SF/MC/PI/MI/DU/CHLD/ADLT/FEM/MALE/,3101KY41076,-84.4383620305166,39.02041123203014,100.0
Commonwealth SA Specialists,,,525 Alexandria Pike,Suite 250,,Newport,KY,41071,(859)442-7700,,SAF/SA/OP/ORT/SF/MC/PI/MI/DU/YAD/ADLT/FEM/MALE/,7161KY41071,-84.46274792052003,39.06470506408461,100.0
NorthKey Community Care,,,718 Columbia Street,,,Newport,KY,41071,(859)578-3200,,MHSAF/SA/OP/ORT/SF/MD/MC/SI/PI/AH/XA/FEM/MALE/,2036KY41071,-84.495055952855,39.088645281207036,100.0
Transitions Inc,,,York Street House,601 York Street,,Newport,KY,41071,(859)291-3660,,SAF/SA/DT/HH/OP/RES/RL/RD/OIT/CT/SF/PA/CJ/MN/TRMA/YAD/ADLT/MALE/,4623KY41071,-84.49281277914804,39.088556480497076,93.97
Alternatives Counseling,,,134 Imperial Way,,,Nicholasville,KY,40356,(859)881-1908,,SAF/SA/OP/ORT/SF/DU/VET/CJ/SE/WN/MN/TRMA/DV/CHLD/ADLT/FEM/MALE/,8163KY40356,-84.56828069154541,37.901105167298105,100.0
Jessamine DUI and Substance Abuse Prog,,,132 Edgewood Plaza Drive,,,Nicholasville,KY,40356,(859)213-2283,,SAF/SA/OP/ORT/SF/AH/DU/CHLD/ADLT/FEM/MALE/,0760KY40356,-84.57840610370764,37.86962892497036,100.0
Boulware Mission Inc,DUI Services,,609 Wing Avenue,,,Owensboro,KY,42303,(270)926-0771 Intake: (270)683-8267,,SAF/SA/OP/OIT/ORT/SF/SS/DU/YAD/ADLT/FEM/MALE/,8015KY42303,-87.09415740663837,37.772849350130656,100.0
Counseling Center Inc,,,101 East 2nd Street,Suite 105,,Owensboro,KY,42303,(270)689-3884 Intake: (270)313-8830,,MHSAF/SA/OP/OIT/ORT/SF/PI/DU/CHLD/YAD/ADLT/FEM/MALE/,1950KY42303,-87.11098617273895,37.774964649125494,100.0
Lighthouse Counseling Services Inc,,,920 Frederica Street,Midtown Building Suite 407,,Owensboro,KY,42301,(270)689-0073,,MHSAF/SA/OP/ODT/OIT/ORT/CT/SF/MD/MC/SI/PI/MI/CO/CJ/AD/XA/DV/ADLT/FEM/MALE/,8195KY42301,-87.11286346759331,37.76675813727394,100.0
New Way of Life Counseling,,,235 Saint Ann Street,,,Owensboro,KY,42303,(270)684-8005 Intake: (800)681-4607,,SAF/SA/OP/ORT/SF/SS/PA/AH/DU/CJ/YAD/ADLT/FEM/MALE/,2050KY42303,-87.11226934714632,37.774436595726186,100.0
Owensboro Area Shelter and Information Services (OASIS),,,,,,Owensboro,KY,42302,(270)685-0260 Intake: (800)882-2873,,SAF/SA/HH/RES/RS/RL/NP/PA/AH/WN/BC/YAD/ADLT/FEM/,6549KY42302,-87.11350999999996,37.77421000000004,100.0
River Valley Behavioral Healthcare,Outpatient Clinic,,1100 Walnut Street,,,Owensboro,KY,42301,(270)689-6500 Intake: (270)683-4039,,MHSAF/SA/OP/ODT/OIT/ORT/SF/MD/MC/SI/PI/MI/AH/YAD/ADLT/FEM/MALE/,9693KY42301,-87.11735516186697,37.76485238585846,100.0
River Valley Behavioral Healthcare,Regional Chemical Dependency Program,Cigar Factory Complex,1100 Walnut Street,,,Owensboro,KY,42302,(270)689-6548 Intakes: (270)683-4039 (270)689-6557,,SAF/SA/OP/ODT/OIT/SF/MD/MC/SI/PI/MI/AH/CO/GL/VET/ADM/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,9693KY42302,-87.11735516186697,37.76485238585846,99.51
Selfrefind,,,710 Carlton Drive,,,Owensboro,KY,42302,(866)755-4258,,SAF/SA/DT/BU/NXN/VTRL/OTPA/OP/OD/OMB/ORT/SF/MC/WN/MN/YAD/ADLT/FEM/MALE/,9972KY42302,-87.12230087001815,37.72476797733965,98.39
Solutions Counseling Services,,,227 Saint Ann Street,Suite 304,,Owensboro,KY,42303,(270)684-7239,,SAF/SA/OP/ORT/SF/PI/DU/CHLD/YAD/ADLT/FEM/MALE/,6586KY42303,-87.11224303912005,37.773904422192786,100.0
NorthKey Community Care,Owen County,,155 West Seminary Street,,,Owenton,KY,40359,(502)484-3464 Intake: (877)331-3292,,MHSAF/SA/OP/ORT/SF/MD/MC/PI/SS/AH/CHLD/YAD/ADLT/FEM/MALE/,0643KY40359,-84.83741270603494,38.53592256015901,100.0
Pathways Inc,Bath County Outpatient,,664 Slate Avenue,P.O. Box 327,,Owingsville,KY,40360,(606)674-6690 Intake: (800)562-8909,,MHSAF/SA/NXN/VTRL/OP/ORT/CT/SF/MD/MC/SI/PI/MI/SS/AH/DU/PW/TRMA/XA/CHLD/YAD/ADLT/FEM/MALE/,6741KY40360,-83.76194271452701,38.13700374391497,100.0
Center for Adult Services,,,425 Broadway Street,Suite 102,,Paducah,KY,42001,(270)442-7121,,MHF/SA/OP/ORT/CT/SF/MD/MC/SI/PI/MI/AH/SP/CO/CJ/AD/TRMA/CHLD/YAD/ADLT/FEM/MALE/,7257KY42001,-88.59907062193336,37.08630614312661,100.0
Ensite LLC,,,611 Broadway Street,,,Paducah,KY,42001,(270)443-1201,,SAF/SA/OP/OIT/ORT/SF/DU/CJ/WN/MN/DV/YAD/ADLT/FEM/MALE/,8466KY42001,-88.60105059510151,37.08551619066189,100.0
Millstone Counseling Center,,,4001 Hansen Road,,,Paducah,KY,42001,(270)554-9216,,MHSAF/SA/OP/OIT/ORT/CT/SF/CO/DU/GL/VET/ADM/MF/CJ/SE/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,6447KY42001,-88.68018984267479,37.06471624647511,100.0
New Start Counseling LLC,,,718 Leiberman Street,,,Paducah,KY,42003,(270)441-7924,,MHSAF/SA/OP/OIT/ORT/SF/PI/SS/CO/DU/WN/MN/CHLD/ADLT/FEM/MALE/,4404KY42003,-88.5756054839937,37.056480649419335,100.0
Selfrefind,,,216 Berger Road,,,Paducah,KY,42003,(866)755-4258,,SA/DT/BU/NXN/VTRL/OTPA/OP/OD/OMB/ORT/SF/WN/MN/YAD/ADLT/FEM/MALE/,5267KY42003,-88.63888851769224,37.05999337931151,100.0
West Kentucky Drug and Alcohol,Intervention Services LLC/Paducah,,105 South 6th Street,,,Paducah,KY,42001,(270)247-4212 Intake: (800)273-1282,,SA/OP/ORT/SF/DU/WN/MN/YAD/ADLT/FEM/MALE/,8737KY42001,-88.6003274044955,37.085273408836336,100.0
A Point of Change LLC,,,1005 Broadway Street,,,Paintsville,KY,41240,(606)789-4779,,SAF/SA/OP/OIT/ORT/SF/DU/SE/WN/MN/CHLD/YAD/ADLT/FEM/MALE/,5330KY41240,-82.79435067629167,37.809744620394994,100.0
Mountain Comprehensive Care Center,Community of Hope,,221 Main Street,,,Paintsville,KY,41240,(606)264-5935,,MHSAF/SA/OP/OIT/ORT/SF/MD/SI/PI/AH/CO/GL/VET/PW/WN/TRMA/XA/DV/YAD/ADLT/FEM/,6849KY41240,-82.80515280682835,37.81400742838813,100.0
Mountain Comprehensive Care Center,Johnson County Clinic,,1110 South Mayo Trail,,,Paintsville,KY,41240,(606)789-3518,,MHSAF/SA/OP/OIT/ORT/CT/SF/MD/SI/PI/AH/CO/DU/GL/VET/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/,0393KY41240,-82.79808328555919,37.80473446901915,100.0
Bluegrass Comprehensive Services,,,269 East Main Street,,,Paris,KY,40361,(859)987-6127 Intake: (800)928-8000,,MHSAF/SA/OP/ORT/SF/MD/MC/SI/PI/MI/CO/GL/VET/ADM/MF/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/,0010KY40361,-84.24006692665638,38.21803081714743,100.0
Bourbon Community Hospital,Stoner Creek Behavioral Health Centre,,9 Linville Drive,,,Paris,KY,40361,(888)394-4673 Intake: (859)987-1086,,MHF/DT/BU/NXN/VTRL/HID/SF/MD/MC/PI/CHLD/ADLT/FEM/MALE/,0787KY40361,-84.23892051178909,38.22177532511847,100.0
Training Unlimited,,,320 Pleasant Street,Suite B,,Paris,KY,40361,(859)340-9119,,MHSAF/SA/OP/ORT/SF/MD/MC/SI/PI/AH/CO/DU/ADM/AD/CHLD/YAD/ADLT/FEM/MALE/,2560KY40361,-84.24903654691245,38.21194959721152,100.0
Mountain Comprehensive Care Center,Pike County Outpatient Clinic,,118 River Road,,,Pikeville,KY,41501,(606)432-3143,,MHSAF/SA/OP/OIT/ORT/CT/SF/MD/MC/SI/PI/AH/CO/DU/GL/VET/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/,1004KY41501,-82.52197532100689,37.47375928213532,98.04
VanArk Behavioral Mangement Inc,,,3416 Chloe Road,Suite 2,,Pikeville,KY,41501,(606)432-9983 Intake: (606)886-9989,,SAF/SA/OP/ORT/SF/AH/DU/CHLD/ADLT/FEM/MALE/,0222KY41501,-82.47751133631795,37.45434541136695,100.0
WestCare Kentucky,Community Involvement Center,,173 Redale Road,,,Pikeville,KY,41501,(606)432-9442,,SAF/SA/OP/OIT/ORT/SF/MD/MC/SI/PI/MI/SS/CHLD/YAD/ADLT/FEM/MALE/,6175KY41501,-82.52748566797352,37.48710272716684,100.0
Cumberland River Behavioral Health,,,215 East Tennessee Avenue,,,Pineville,KY,40977,(606)337-6137 Intake: (606)526-9598,,MHSAF/SA/OP/ORT/CT/SF/MD/MC/SI/PI/MI/SS/PA/AH/DU/CJ/AD/CHLD/YAD/ADLT/FEM/MALE/,8246KY40977,-83.69398127737608,36.75961882177474,100.0
