Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys
Arbour Counseling Services,,,411 Chandler Street,,,Worcester,MA,1602,(508)799-0688,,MHF/SA/OP/ORT/SF/MD/MC/SI/PI/SP/CHLD/YAD/ADLT/FEM/MALE/
Beryls House,,,2 Sigourney Street,,,Worcester,MA,1605,(774)243-6995,,SAF/SA/RES/RL/SF/SS/CO/PW/WN/TRMA/XA/DV/YAD/ADLT/FEM/
Catholic Charities,Crozier House,,10 Hammond Street,,,Worcester,MA,1610,(508)860-2216 Intake: (508)860-2251,,MHSAF/SA/HH/RES/RL/CT/NP/PA/MN/YAD/ADLT/MALE/
CleanSlate Centers,Worcester,,411 Chandler Street,,,Worcester,MA,1602,(508)471-5600 Intake: (800)639-7827,,SAF/SA/BU/NXN/VTRL/OP/OMB/SF/MD/MC/SI/PI/MI/CO/CJ/PW/CHLD/ADLT/FEM/MALE/
Community Healthlink Inc,,,72 Jaques Avenue,,,Worcester,MA,1610,(508)860-1260 Intake: (508)421-4411,,MHSAF/SA/BU/NXN/VTRL/OP/OMB/ORT/SF/MD/MC/SI/PI/MI/AH/SP/FX/CO/WN/MN/YAD/ADLT/FEM/MALE/F66/F67/F92/
Community Healthlink Inc,Detoxification Program,,12 Queen Street,,,Worcester,MA,1610,(508)860-1200,,SAF/DT/DM/BU/VTRL/HID/SF/MD/SI/PI/PA/AH/SP/FX/CO/YAD/ADLT/FEM/MALE/F28/F92/
Community Healthlink Inc,FAITH House,,142 Burncoat Street,,,Worcester,MA,1606,(508)438-5625 Intake: (508)438-5626,,SAF/SA/BU/NXN/HH/RES/RL/SF/SP/CO/PW/TRMA/BC/XA/DV/YAD/ADLT/FEM/
Community Healthlink Inc,Highland Grace House,,280 Highland Street,,,Worcester,MA,1602,(508)860-1172,,MHSAF/SA/BU/NXN/VTRL/RES/RL/CT/SF/SS/AH/SP/AD/PW/CHLD/FEM/
Hector Reyes House,,,27 Vernon Street,,,Worcester,MA,1610,(508)459-1801,,MHSAF/SA/BU/NXN/VTRL/HH/OP/RES/RL/OMB/SF/PA/SP/MN/YAD/ADLT/MALE/
Jeremiahs Hospice Inc,Jeremiahs Inn,,1059 Main Street,P.O. Box 30035,,Worcester,MA,1603,(508)755-6403,,SAF/SA/HH/RES/RL/SF/MN/YAD/ADLT/MALE/
Mental Health 8 East UMASS Memorial,Medical Center University Campus,,55 North Lake Avenue,,,Worcester,MA,1655,(774)443-2761 Intake: (508)334-3562,,MHF/SA/DT/BU/NXN/VTRL/HID/HIT/CT/SF/MD/MC/SI/PI/MI/PA/AH/SP/CO/GL/VET/ADM/MF/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/
Motivating Youth Recovery Program,,,26 Queen Street,5th floor,,Worcester,MA,1610,(508)860-1244,,SAF/SA/DT/MM/DM/BU/NXN/RES/RS/HID/HIT/SF/MD/SI/PI/AH/SP/CO/GL/AD/PW/TRMA/XA/DV/CHLD/FEM/MALE/
Multicultural Wellness Center Inc,,,250 Commercial Street,Suite 330,,Worcester,MA,1608,(508)752-4665,,MHSAF/SA/NXN/OP/OIT/ORT/SF/MD/SI/PI/MI/SP/CO/DU/GL/VET/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/
Passages,,,68 Jaques Avenue,,,Worcester,MA,1610,(508)860-1200 Intake: (508)421-5030,,SAF/SA/BU/HIT/SF/MD/SI/PI/MI/SS/PA/AH/SP/FX/CO/YAD/ADLT/FEM/MALE/F37/F67/
Spectrum Health Systems Inc,Outpatient Services,,105 Merrick Street,,,Worcester,MA,1609,(508)797-6100 Intakes: (800)464-9555x1161 (508)831- 0045x1161,Methadone and Buprenorphine Clients Only,MHSAF/SA/MM/DM/BU/VTRL/OTPA/OP/OMB/OIT/ORT/CT/SF/MD/MC/SI/PI/MI/PA/AH/SP/CO/DU/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
Spectrum Health Systems Inc,Outpatient Services,,585 Lincoln Street,,,Worcester,MA,1605,(508)854-3320x1166 Intake: (508)854-3320x1161,,SAF/SA/DT/MM/DM/OP/OD/OMB/ORT/SF/MD/MC/SI/PI/SP/FX/DU/PW/WN/MN/TRMA/YAD/ADLT/FEM/MALE/F17/F47/
Structured Outpatient Addiction Prog,,,51 Union Street,Suite G-02,,Worcester,MA,1608,(508)756-2005,,SAF/SA/OP/OIT/ORT/SF/MD/PI/CO/DU/YAD/ADLT/FEM/MALE/
Thayer TSS,,,12 Queen Street,5th Floor,,Worcester,MA,1610,(774)312-2400 Intake: (508)438-5662,,SAF/SA/BU/NXN/VTRL/HIT/NP/AH/SP/CO/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
Worcester LUK Site,,,40 Southbridge Street,4th Floor,,Worcester,MA,1608,(508)762-3000 Intakes: (978)829-2312 (800)579-0000,,MHF/SA/OP/ORT/SF/MD/PI/SS/PA/MF/AD/TRMA/CHLD/YAD/ADLT/FEM/MALE/
Youth Opportunities Upheld Inc,Substance Abuse Services,,81 Plantation Street,,,Worcester,MA,1604,(508)770-0511x109 Intakes: (855)490-8462 (800)435-9990 (508),855-4968,SAF/SA/OP/OIT/ORT/SF/MD/SI/PI/MI/CO/AD/CHLD/ADLT/FEM/MALE/
Catholic Charities of Jackson Lenawee,Hillsdale Counties,,199 North Broad Street,,,Adrian,MI,49221,(517)263-2191,,MHSAF/SA/OP/ORT/SF/MD/MC/SI/PI/MI/SS/SP/DU/CJ/ADLT/FEM/MALE/
Counseling of Lenawee PC,Adrian Outreach Office,,604 South Main Street,,,Adrian,MI,49221,(517)424-7345,,MHSAF/SA/OP/ORT/SF/MD/MC/PI/SS/CO/DU/GL/SE/AD/PW/WN/MN/TRMA/XA/DV/ADLT/FEM/MALE/
McCullough Vargas and Associates,,,770 Riverside Avenue,Suite 11,,Adrian,MI,49221,(517)264-2244,,SAF/SA/OP/ORT/SF/MD/MC/PI/AH/SP/CO/DU/CJ/WN/MN/TRMA/CHLD/ADLT/FEM/MALE/
Narconon,Freedom Center,,809 West Erie Street,,,Albion,MI,49224,(517)629-8661 Intake: (888)218-9478,,SAF/SA/DT/RES/RL/RD/SF/PI/GL/VET/ADM/MF/CJ/WN/MN/YAD/ADLT/FEM/MALE/
Psychological Consultants of MI PC,,,105 South Superior Street,,,Albion,MI,49224,(800)261-8850 Intakes: (800)261-8850x1 (269)968-2811x1,,SAF/SA/OP/ORT/SF/MD/SI/PI/SS/AH/WN/CHLD/YAD/ADLT/FEM/MALE/
Starr Commonwealth,,,13725 Starr Commonwealth Road,,,Albion,MI,49224,(800)837-5591 Intake: (517)629-5591x2306,,MHSAF/SA/RES/RL/CJ/AD/TRMA/XA/CHLD/FEM/MALE/
Algonac Community Counseling Center,,,502 Michigan Street,,,Algonac,MI,48001,(810)985-5437 Intakes: (810)985-5168 (810)794-5768,,MHSAF/SA/OP/ORT/CT/SF/MD/MC/SI/PI/SS/DU/ADLT/FEM/MALE/
Sacred Heart Rehabilitation Center Inc,,,555 Saint Clair River Drive,,,Algonac,MI,48001,(810)794-4982 Intake: (810)794-4982x142,,MHSAF/SA/OP/OIT/ORT/CT/SF/MD/MC/SI/PI/AH/CO/DU/CHLD/ADLT/FEM/MALE/
Pathways MI (Formerly Child and Family,Services of Western MI),,217 Hubbard Street,,,Allegan,MI,49010,(269)673-1896,,MHSAF/SA/OP/ORT/SF/MD/MC/PI/SS/CJ/CHLD/YAD/ADLT/FEM/MALE/
Catholic Human Services Inc,,,154 South Ripley Boulevard,,,Alpena,MI,49707,(989)356-6385,,MHSAF/SA/OP/ORT/SF/MD/MC/SI/PI/MI/SS/AH/AD/WN/MN/CHLD/ADLT/FEM/MALE/
Sunrise Centre,,,630 Walnut Street,,,Alpena,MI,49707,(989)356-6649,,SAF/SA/DT/OP/RES/RS/RL/RD/ORT/SF/MD/SI/ATR/CJ/MN/TRMA/YAD/ADLT/FEM/MALE/
Ann Arbor Consultation Services Inc,,,5331 Plymouth Road,,,Ann Arbor,MI,48105,(734)996-9111,,MHF/SA/DT/NXN/OP/OD/ORT/SF/MC/PI/CO/DU/GL/VET/CJ/SE/AD/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/
Catholic Social Services of,Washtenaw County,,4925 Packard Road,,,Ann Arbor,MI,48108,(734)971-9781,,MHF/SA/OP/ORT/SF/MD/MC/SI/PI/MI/SS/CJ/WN/MN/DV/CHLD/YAD/ADLT/FEM/MALE/
Community Support and Treatment Servs,,,2140 Ellsworth Street,,,Ann Arbor,MI,48108,(734)222-3500 Intakes: (734)544-3000 (800)440-7548,,MHSAF/SA/NXN/OP/OIT/ORT/CT/SF/MD/MC/PI/AH/CO/GL/VET/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
Community Support and Treatment Servs,PORT/JPORT Teams,,110 North 4th Street,,,Ann Arbor,MI,48104,(734)222-3750 Intakes: (734)544-3050 (800)440-7548,,MHSAF/SA/NXN/OP/OIT/ORT/CT/SF/MD/MC/PI/AH/CO/GL/VET/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
Dawn Inc,Dawn Farm Downtown,,544 North Division Street,,,Ann Arbor,MI,48104,(734)769-7366 Intake: (734)485-8725,,SAF/SA/RES/RL/SF/MD/PA/CHLD/ADLT/FEM/MALE/
Dawn Inc,Dawn Farm Outpatient Services,,320 Miller Street,Suite 100,,Ann Arbor,MI,48103,(734)821-0216 Intake: (734)669-8265,,SAF/SA/OP/OIT/ORT/SF/SS/PA/AD/CHLD/ADLT/FEM/MALE/
Heron Ridge Associates PLC,,,1785 West Stadium Boulevard,Suite 203-C,,Ann Arbor,MI,48103,(734)913-1093,,MHSAF/SA/OP/ORT/SF/MC/PI/MI/SS/DU/CHLD/ADLT/FEM/MALE/
Home of New Vision,,,3800 Packard Street,Suite 210,,Ann Arbor,MI,48108,(734)975-1602,,SAF/SA/OP/ORT/SF/MD/MC/PI/SS/PA/AH/CO/PW/MN/CHLD/ADLT/FEM/MALE/
Saint Joseph Mercy Health System,Behavioral Health/Greenbrook Recovery,,5401 McAuley Drive,P.O. Box 995,,Ann Arbor,MI,48106,(734)786-4900 Intake: (734)786-4900x2,,SAF/SA/DT/BU/NXN/OP/OD/OIT/ORT/SF/MC/PI/CO/WN/MN/YAD/ADLT/FEM/MALE/
University of Michigan,Addiction Treatment Services (UMATS),,Rachel Upjohn Building,4250 Plymouth Road,,Ann Arbor,MI,48109,(734)764-0231 Intake: (800)525-5188,,SAF/SA/DT/BU/NXN/VTRL/OP/OD/OMB/OIT/ORT/SF/MC/PI/AH/CO/AD/CHLD/YAD/ADLT/FEM/MALE/
VA Ann Arbor Healthcare System,,,2215 Fuller Road,,,Ann Arbor,MI,48105,(734)769-7100 Intakes: (734)845-3471 (734)845-3472,,GHF/SA/DT/BU/NXN/VTRL/OP/OD/OMB/OIT/ORT/HID/CT/VAMC/SF/SI/PI/MI/CO/TRMA/XA/YAD/ADLT/FEM/MALE/
Catholic Human Services Inc,,,11899 M-32,,,Atlanta,MI,49709,(989)356-6385,,SAF/SA/OP/ORT/SF/MD/MC/PI/MI/SS/AH/ADLT/FEM/MALE/
Easter Seals/Family Mental Health,North,,2399 East Walton Boulevard,,,Auburn Hills,MI,48326,(248)475-6300,,MHF/SA/OP/ORT/SF/MD/SI/PI/AH/AD/CHLD/FEM/MALE/
Havenwyck Hospital,Substance Abuse Services,,1525 University Drive,,,Auburn Hills,MI,48326,(248)373-9200 Intake: (800)401-2727,,MHF/SA/BU/HIT/SF/MD/MC/PI/MI/AH/AD/ADLT/FEM/MALE/
Family Healthcare,,,1615 Michigan Avenue,,,Baldwin,MI,49304,(231)745-4624,,SA/OP/ORT/SF/MD/MC/SI/PI/MI/SS/PA/AH/CHLD/YAD/ADLT/FEM/MALE/
West Michigan Community Mental Health,,,1090 North Michigan Avenue,,,Baldwin,MI,49304,(800)992-2061,,MHSAF/SA/OP/ORT/SF/MD/SI/PI/DU/CHLD/YAD/ADLT/FEM/MALE/
Outpatient Counseling Services,,,202 U.S. 41 South,,,Baraga,MI,49908,(906)353-8121,,SAF/SA/OP/ORT/SF/MD/SI/ATR/PA/CO/GL/VET/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/
A Forever Recovery,,,216 Saint Marys Lake Road,,,Battle Creek,MI,49017,(269)788-0496 Intake: (877)456-3313,,SAF/SA/DT/BU/OP/RES/RS/RD/OIT/ORT/CT/SF/PI/ATR/WN/MN/YAD/ADLT/FEM/MALE/
Department of Veteran Affairs,Medical Center,,5500 Armstrong Road,,,Battle Creek,MI,49037,(269)966-5600 Intakes: (269)966-5600x30086 (888)214- 1247x30086,,GHF/SA/DT/BU/NXN/VTRL/OP/RES/RS/RL/OD/OMB/OIT/ORT/HID/CT/VAMC/SF/PI/MI/SS/PA/CO/VET/TRMA/YAD/ADLT/FEM/MALE/
HelpNet EAP and Counseling Services of,Bronson Battle Creek,,36 West Manchester Street,,,Battle Creek,MI,49037,(800)969-6162 Intake: (269)245-3900,,MHF/SA/OP/ORT/SF/PI/MI/ADLT/FEM/MALE/
Psychological Consultants of MI PC,DBA Chem Dep Resources/SA Trt,,151 North Avenue,,,Battle Creek,MI,49017,(800)261-8850 Intakes: (800)261-8850x1 (269)968-2811x1,,MHSAF/SA/OP/OIT/ORT/SF/MD/MC/SI/PI/MI/SS/AH/DU/AD/PW/WN/CHLD/YAD/ADLT/FEM/MALE/
Bay Psychological Associates PC,,,1420 Center Avenue,,,Bay City,MI,48708,(989)686-1990,,MHSAF/SA/OP/ORT/SF/MD/MC/SI/PI/AH/CO/DU/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/ADLT/FEM/MALE/
Educational Therapy,,,601 North Van Buren Street,,,Bay City,MI,48708,(989)895-8356,,SA/OP/OIT/ORT/SF/PI/DU/CJ/TRMA/CHLD/YAD/ADLT/FEM/MALE/
List Psychological Services PLC,,,126 Washington Avenue,,,Bay City,MI,48708,(989)684-7977,,MHSAF/SA/OP/ORT/SF/MD/MC/PI/MI/AH/YAD/ADLT/FEM/MALE/
List Psychological Services PLC,,,3720 East Wilder Road,Suite B,,Bay City,MI,48706,(989)460-1000,,MHSAF/SA/OP/ORT/SF/MD/MC/SI/PI/MI/AH/PW/CHLD/YAD/ADLT/FEM/MALE/
Recovery Pathways LLC,,,717 East Midland Street,,,Bay City,MI,48706,(989)928-3566,,MHSAF/SA/BU/NXN/VTRL/OP/OMB/ORT/SF/MD/MC/SI/PI/ADLT/FEM/MALE/
Sacred Heart Bay City,,,1106 Washington Avenue,,,Bay City,MI,48708,(989)894-2991,,SAF/SA/OP/ODT/OIT/ORT/CT/SF/MD/MC/SI/PI/MI/SS/PA/AH/DU/AD/PW/WN/TRMA/CHLD/ADLT/FEM/MALE/
Abundant Life Ministries,Fresh Start,,693 Columbus Avenue,,,Benton Harbor,MI,49022,(269)369-8728 Intake: (269)470-5622,,MHSAF/SA/HH/OP/RES/RL/ORT/MD/MC/PI/MI/PA/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/DV/CHLD/YAD/ADLT/FEM/MALE/
Harbortown Treatment Center PLLC,,,1022 East Main Street,P.O. Box 929,,Benton Harbor,MI,49022,(269)926-0015x11 Intakes: (269)926-0015x10 (269)926- 0015x12,,SAF/SA/DT/MM/DM/OP/OD/OMB/ORT/SF/MD/SI/PI/ATR/AH/SP/FX/AD/WN/MN/TRMA/CHLD/YAD/ADLT/FEM/MALE/F4/F28/
Catholic Human Services Inc,,,6051 Frankfort Highway,,,Benzonia,MI,49616,(231)947-8110 Intake: (231)882-2132,,SAF/SA/OP/ORT/SF/MD/MC/SI/PI/MI/SS/AH/CHLD/ADLT/FEM/MALE/
Centra Wellness Network,,,6051 Frankfort Highway,Suite 200,,Benzonia,MI,49616,(877)398-2013,,MHF/SA/OP/ORT/SF/MD/SS/AH/CO/TRMA/CHLD/YAD/ADLT/FEM/MALE/
Recovery Consultants Inc,,,2710 West 12 Mile Road,,,Berkley,MI,48072,(248)543-1090,,SAF/SA/OP/OIT/ORT/CT/SF/MD/SI/PI/SS/PA/SP/CO/GL/AD/WN/DV/CHLD/ADLT/FEM/MALE/
Smith Counseling Centers,,,2790 Coolidge Highway,,,Berkley,MI,48072,(248)398-7061,,SAF/SA/OP/OIT/ORT/CT/SF/PI/SS/DU/CHLD/YAD/ADLT/FEM/MALE/
Phoenix House Outpatient Counseling,,,101 East Mary Street,,,Bessemer,MI,49911,(906)663-2141,,SA/OP/ORT/SF/MD/SI/PI/PA/DU/AD/DV/CHLD/ADLT/FEM/MALE/
Nova Counseling Associates Inc,,,1724 North State Street,,,Big Rapids,MI,49307,(231)796-4637 Intake: (231)679-5094,,MHSAF/SA/OP/OIT/ORT/SF/PI/SS/CO/DU/GL/VET/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/
Ten Sixteen Recovery Network,,,21061 19 Mile Road,,,Big Rapids,MI,49307,(231)527-2000,,SAF/SA/OP/ORT/SF/MD/SI/PI/CJ/AD/WN/YAD/ADLT/FEM/MALE/
Ann Arbor Consultation Services Inc,,,2040 Grand River Annex,Suite 300,,Brighton,MI,48114,(734)996-9111 Intake: (734)996-9111x0,,MHF/SA/OP/ORT/SF/MC/PI/CO/GL/VET/MF/CJ/AD/PW/WN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/
Brighton Center Inc,,,2512 Harte Drive,,,Brighton,MI,48114,(810)229-9220,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/VTRL/OTPA/OP/OD/OMB/ORT/CT/SF/YAD/ADLT/FEM/MALE/
Brighton Hospital,Chemical Dependency Treatment Programs,,12851 Grand River Road,,,Brighton,MI,48116,(810)227-1211 Intakes: (877)976-2371 (800)523-8198,,SAF/SA/DT/BU/NXN/HH/OP/RES/RS/RL/ODT/OIT/ORT/HID/HIT/SF/MC/PI/MI/AH/YAD/ADLT/FEM/MALE/
Karen Berbower and Associates PC,,,10299 Grand River Road,Suite P,,Brighton,MI,48116,(810)225-9550,,MHSAF/SA/OP/ORT/SF/MC/PI/CO/DU/CJ/WN/MN/CHLD/ADLT/FEM/MALE/
Key Development Center,,,2060 Grand River Annex,Suite 600,,Brighton,MI,48114,(810)220-8192,,MHSAF/SA/OP/ORT/SF/MD/SI/SS/AH/AD/WN/CHLD/YAD/ADLT/FEM/MALE/
Saint Joseph Mercy,Outpatient Behavioral Servs Brighton,,2300 Genoa Business Park Drive,Suite 180,,Brighton,MI,48114,(810)844-7300 Intakes: (734)786-2301 (800)289-0014,,MHSAF/SA/OP/ORT/SF/MD/MC/PI/YAD/ADLT/FEM/MALE/
Bay Mills Executive Council,,,12124 West Lakeshore Drive,,,Brimley,MI,49715,(906)248-3241 Intakes: (906)248-3204 (906)248-8310,,MHSAF/SA/OP/ORT/SF/MD/MC/SI/PI/MI/IHS/ATR/SS/AH/CO/CJ/SE/AD/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/
Bay Mills Health Center,Substance Abuse Program,,12124 West Lakeshore Drive,,,Brimley,MI,49715,(906)248-3204,,SAF/SA/OP/ORT/SF/MD/MC/SI/PI/MI/IHS/ATR/SS/AH/CO/AD/XA/DV/CHLD/YAD/ADLT/FEM/MALE/
Catholic Human Services Inc,,,421 South Mitchell Street,Suite 2,,Cadillac,MI,49601,(231)775-6581,,MHSAF/SA/OP/ORT/CT/SF/MD/MC/SI/PI/MI/SS/AH/CJ/AD/WN/MN/CHLD/ADLT/FEM/MALE/
Pine Rest Christian Mental Hlth Servs,Caledonia Clinic,,9090 South Rodgers Court SE,Suite D,,Caledonia,MI,49316,(616)891-8770,,MHF/SA/OP/ORT/CT/SF/MD/MC/PI/MI/CHLD/ADLT/FEM/MALE/
Phoenix House Inc,Substance Abuse Treatment,,57467 Waterworks Street,,,Calumet,MI,49913,(906)337-0763,,SAF/SA/DT/OP/RES/RS/RL/RD/ORT/SF/MD/SI/PI/ATR/WN/MN/YAD/ADLT/FEM/MALE/
Advanced Counseling Services PC,,,5958 North Canton Center Road,Suite 900,,Canton,MI,48187,(734)737-1200,,MHF/SA/OP/ORT/SF/MC/PI/MI/FX/CO/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/F36/
Growth Works Inc,,,50430 Schoolhouse Road,,,Canton,MI,48187,(734)495-1722,,SAF/SA/OP/OIT/ORT/MD/SS/PA/AH/AD/WN/MN/CHLD/YAD/ADLT/FEM/MALE/
Hegira Programs Inc (HPI),Oakdale Recovery Center,,43825 Michigan Avenue,,,Canton,MI,48188,(734)397-3088,,SAF/SA/DT/BU/NXN/VTRL/OP/RES/RS/RD/OMB/ODT/OIT/ORT/SF/MD/SI/PI/AH/CO/YAD/ADLT/FEM/MALE/
List Psychological Services PLC,,,467 North State Street,,,Caro,MI,48723,(989)672-2016,,SAF/SA/OP/OIT/ORT/SF/MD/MC/SI/PI/MI/AH/CO/DU/CJ/PW/WN/DV/CHLD/YAD/ADLT/FEM/MALE/
List Psychological Services PLC,,,651 North State Street,,,Caro,MI,48723,(989)673-5700,,MHF/SA/NXN/OP/ORT/CT/SF/MD/MC/PI/MI/AH/SE/AD/CHLD/YAD/ADLT/FEM/MALE/
New Light Consultants Inc,Caro Office,,852 South Hooper Street,,,Caro,MI,48723,(989)672-0784 Intake: (989)672-0785,,MHSAF/SA/OP/ORT/SF/MD/PI/SS/AH/CJ/AD/WN/MN/DV/CHLD/YAD/ADLT/FEM/MALE/
Superior Psychology Services,,,340 East Caspian Avenue,,,Caspian,MI,49915,(906)265-5455 Intake: (906)774-5550,,MHSAF/SA/OP/ODT/OIT/ORT/CT/SF/MD/SI/PI/SS/PA/CO/DU/GL/VET/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/
Cass County Community Mental Health,DBA Woodlands Behavioral Healthcare,,960 M60 East,,,Cassopolis,MI,49031,(269)445-2451,,MHSAF/SA/OP/OIT/ORT/SF/MD/MC/MI/CHLD/YAD/ADLT/FEM/MALE/
New Alternatives Inc,,,26120 Van Dyke Boulevard,,,Center Line,MI,48015,(586)755-3550,,MHSAF/SA/OP/ORT/CT/SF/CO/DU/VET/CJ/SE/WN/MN/TRMA/DV/YAD/ADLT/FEM/MALE/
Comm Mental Health and SA Services of,Saint Joseph County,,677 East Main Street,Suite A,,Centreville,MI,49032,(269)467-1000 Intake: (800)622-3967,,MHSAF/SA/BU/OP/OIT/ORT/SF/MD/MC/SI/PI/MI/AH/SP/CO/DU/CJ/WN/TRMA/CHLD/YAD/ADLT/FEM/MALE/
Bay Area Substance Education Servs Inc,(BASES),,208 West Lincoln Street,,,Charlevoix,MI,49720,(231)547-1144 Intake: (231)547-2298,,SAF/SA/OP/OIT/ORT/SF/ATR/DU/CJ/AD/CHLD/ADLT/FEM/MALE/
Catholic Human Services Inc,,,12900 U.S. 31 North,,,Charlevoix,MI,49720,(231)237-0048,,SAF/SA/OP/ORT/CT/SF/MD/MC/SI/PI/MI/SS/AH/CHLD/ADLT/FEM/MALE/
Barry Eaton District Health Department,Eaton Behavioral Health,,1033 Healthcare Drive,,,Charlotte,MI,48813,(517)543-2580,,SAF/SA/OP/OIT/ORT/SF/MD/MC/SI/PI/SS/SP/AD/WN/MN/CHLD/ADLT/FEM/MALE/
Catholic Human Services Inc,,,520 North Main Street,Suite 202,,Cheboygan,MI,49721,(231)627-9917,,SAF/SA/OP/ORT/CT/SF/MD/MC/SI/PI/MI/SS/AH/CHLD/ADLT/FEM/MALE/
Harbor Hall Cheboygan Outpatient,Substance Abuse Program,,520 North Main Street,Suite 202,,Cheboygan,MI,49721,(231)597-9235,,SAF/SA/OP/OIT/ORT/SF/MD/SI/PI/ATR/SS/AD/WN/TRMA/CHLD/ADLT/FEM/MALE/
Chelsea Community Hospital,Older Adult Recovery Center,Clock Tower Commons,350 North Main Street Suite 150,,,Chelsea,MI,48118,(734)593-5250 Intake: (734)593-5251,,SAF/SA/NXN/OP/OIT/ORT/SF/MD/MC/PI/SE/ADLT/FEM/MALE/
Ten Sixteen Recovery Network,,,703 North McEwan Street,4th Floor,,Clare,MI,48617,(989)802-0742,,SAF/SA/OP/ORT/SF/MD/SI/PI/SS/CO/DU/AD/WN/CHLD/ADLT/FEM/MALE/
Advanced Counseling Services PC,,,7300 Dixie Highway,Suite 1000,,Clarkston,MI,48346,(248)922-2300,,MHF/SA/BU/VTRL/OP/ORT/SF/MC/PI/MI/SP/CHLD/YAD/ADLT/FEM/MALE/
Garwood and Associates LLC,,,9340 Dixie Highway,,,Clarkston,MI,48348,(248)625-3123,,MHSAF/SA/OP/OIT/ORT/CT/SF/MD/MC/PI/MI/SS/CO/DU/GL/VET/ADM/MF/SE/PW/WN/MN/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/
Heron Ridge Associates PLC,,,3694 Clarkston Road,Suite D,,Clarkston,MI,48348,(248)693-8880,,MHSAF/SA/OP/OIT/ORT/SF/MC/PI/MI/SS/DU/CHLD/ADLT/FEM/MALE/
New Oakland,Child Adolescent Family Center,,6549 Town Center Drive,Suite A,,Clarkston,MI,48346,(248)620-6400,,MHF/SA/DT/OP/OD/OMB/ODT/OIT/ORT/SF/MD/MC/SI/PI/MI/CHLD/YAD/ADLT/FEM/MALE/
North Oakland Counseling Associates,,,6887 Dixie Highway,,,Clarkston,MI,48346,(248)620-1019,,MHSAF/SA/OP/OIT/ORT/CT/SF/MD/MC/PI/MI/SS/CO/DU/GL/VET/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/ADLT/FEM/MALE/
Action Counseling Clinic Inc,Substance Abuse Services,,33985 Harper Avenue,Suite 114,,Clinton Township,MI,48035,(586)792-5260,,SAF/SA/OP/OIT/ORT/SF/PI/MI/SS/CO/DU/GL/VET/ADM/MF/CJ/SE/WN/MN/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/
Eastwood Clinics,,,35455 Garfield Road,,,Clinton Township,MI,48035,(586)792-5335,,MHSAF/SA/OP/OIT/ORT/SF/MD/MC/SI/PI/MI/AD/CHLD/YAD/ADLT/FEM/MALE/
Macomb Family Services Inc,,,36975 Utica Road,Suite 104,,Clinton Township,MI,48036,(586)226-3440,,MHF/SA/OP/ORT/SF/MD/MC/SI/PI/MI/SP/DV/CHLD/YAD/ADLT/FEM/MALE/
Salvation Army,Macomb Harbor Light,,42590 Stepnitz Drive,,,Clinton Township,MI,48036,(586)954-1838,,SAF/SA/DT/HH/OP/RES/RS/RL/RD/ORT/SF/SS/YAD/ADLT/FEM/MALE/
ADF Counseling,,,3515 Ravinewood Court,,,Commerce Township,MI,48382,(586)994-9757,,MHSAF/SA/OP/OIT/ORT/CT/SF/MD/MC/SI/PI/MI/SS/AH/CO/DU/VET/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/
Apex Behavioral Health,Dearborn PLLC,,6 Park Lane Boulevard,Suite 695,,Dearborn,MI,48126,(313)271-8170,,MHF/SA/DT/BU/NXN/OP/OD/OMB/ORT/SF/MC/SI/PI/FX/ADLT/FEM/MALE/F65/F91/
Henry Ford Behavioral Health Services,Dearborn Office,,5111 Auto Club Drive,Suite 112,,Dearborn,MI,48126,(313)317-2000,,MHSAF/SA/NXN/OP/ORT/SF/MC/PI/MI/YAD/ADLT/FEM/MALE/
