"","Name","Hospital.Type","Address","Address_2","City","State","Zipcode","County","Latitude","Longitude","Staffed.All.Beds","Staffed.ICU.Beds","Licensed.All.Beds","All.Bed.Occupancy.Rate","ICU.Bed.Occupancy.Rate","Staffed.All.Beds...SOURCE","Staffed.ICU.Beds...SOURCE","Licensed.All.Beds...SOURCE","All.Bed.Occupancy.Rate...SOURCE","ICU.Bed.Occupancy.Rate...SOURCE","CCM_ID","DH.ID","HCRIS.ID","HIFLD.ID"
"3053","LINCOLNHEALTH - MILES CAMPUS","GENERAL ACUTE CARE","35 MILES STREET","","DAMARISCOTTA","ME",4543,"LINCOLN",44.0261293250001,-69.5306613879999,25,4,25,0.497837,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",2404543,1731,NA,2404543
"3054","BRISTOL HOSPITAL","GENERAL ACUTE CARE","BREWSTER RD","","BRISTOL","CT",6010,"HARTFORD",41.6763428630001,-72.9355129269999,106,14,106,0.57,0.54,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2406010,662,70029,2406010
"3055","CORNERSTONE BEHAVIORAL HEALTH HOSPITAL OF UNION COUNTY","PSYCHIATRIC","40 WATCHUNG WAY","","BERKELEY HEIGHTS","NJ",7922,"UNION",40.6651085170001,-74.421872997,44,0,44,0.93387297633873,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2407922,4669,314027,2407922
"3056","HAMLIN MEMORIAL HOSPITAL","CRITICAL ACCESS","632 NORTHWEST SECOND STREET","","HARLINGEN","TX",79520,"JONES",32.885895482,-100.135160029,NA,NA,25,NA,NA,"None","None","HIFLD-BEDS","None","None",24079520,NA,NA,24079520
"3057","KINDRED HOSPITAL RANCHO","GENERAL ACUTE CARE","10841 WHITE OAK AVENUE","","RANCHO CUCAMONGA","CA",91730,"SAN BERNARDINO",34.1037143080001,-117.566293783,55,8,55,0.8972354,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",24091730,4398,NA,24091730
"3058","UPMC MCKEESPORT","GENERAL ACUTE CARE","1500 FIFTH AVENUE","","MCKEESPORT","PA",15132,"ALLEGHENY",40.3517962060001,-79.849853737,186,12,195,0.6,NA,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",24115132,3201,390002,24115132
"3059","HEALTHSOUTH REHABILITATION HOSPITAL OF NEWNAN","REHABILITATION","2101 EAST NEWNAN CROSSING BLVD","","NEWNAN","GA",30265,"COWETA",33.3628746000001,-84.751626718,50,0,50,0.82827397260274,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24130265,6177,113032,24130265
"3060","MERCY HOSPITAL","GENERAL ACUTE CARE","565 ABBOTT RD","","BUFFALO","NY",14220,"ERIE",42.8475014320001,-78.8119710349999,364,46,387,0.69,0.62,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2414220,2603,330279,2414220
"3061","VALLEY BAPTIST MEDICAL CENTER  - HARLINGEN","GENERAL ACUTE CARE","2101 PEASE STREET","","HARLINGEN","TX",78551,"CAMERON",26.174964835,-97.669956653,374,40,578,0.553355,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",24178551,3593,NA,24178551
"3062","KINDRED HOSPITAL RIVERSIDE","GENERAL ACUTE CARE","2224 MEDICAL CENTER DRIVE","","PERRIS","CA",92571,"RIVERSIDE",33.8124777130001,-117.222339483,40,8,40,0.8820548,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",24192571,4440,NA,24192571
"3063","DOCTORS' COMMUNITY HOSPITAL","GENERAL ACUTE CARE","8118 GOOD LUCK ROAD","","LANHAM","MD",20706,"PRINCE GEORGE'S",38.982694536,-76.865250396,190,22,206,0.79,0.66,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2420706,1769,210051,2420706
"3064","UPMC BEDFORD","GENERAL ACUTE CARE","10455 LINCOLN HIGHWAY","","EVERETT","PA",15537,"BEDFORD",40.025404036,-78.432673001,40,4,40,0.26,0.2,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24215537,3208,390117,24215537
"3065","LANDMARK HOSPITAL OF SAVANNAH","LONG TERM CARE","800 E 68TH STREET","","SAVANNAH","GA",31405,"CHATHAM",32.0285715840001,-81.095109114,25,NA,25,0.7857534,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",24231405,5820,NA,24231405
"3066","FAIRMONT GENERAL HOSPITAL","GENERAL ACUTE CARE","1325 LOCUST AVENUE","","FAIRMONT","WV",26554,"MARION",39.483674734,-80.161354495,89,14,207,0.29,0.27,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HIFLD-BEDS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2426554,NA,510047,2426554
"3067","RIO GRANDE STATE CENTER","PSYCHIATRIC","1401 SOUTH RANGERVILLE ROAD","","HARLINGEN","TX",78551,"CAMERON",26.160678551,-97.707040553,55,NA,55,0.926924,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",24278551,4459,NA,24278551
"3068","SENTARA ALBEMARLE MEDICAL CENTER","GENERAL ACUTE CARE","1144 NORTH ROAD STREET","","ELIZABETH CITY","NC",27906,"PASQUOTANK",36.323596314,-76.2179333289999,91,10,182,0.61,0.63,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2427906,2813,340109,2427906
"3069","KINDRED HOSPITAL SOUTH BAY","GENERAL ACUTE CARE","1246 WEST 155TH STREET","","GARDENA","CA",90247,"LOS ANGELES",33.8900864440001,-118.297438262,54,4,54,0.8596144,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",24290247,5562,NA,24290247
"3070","LEXINGTON MEDICAL CENTER","GENERAL ACUTE CARE","2720 SUNSET BLVD","","WEST COLUMBIA","SC",29169,"LEXINGTON",34.005961895,-81.114198991,436,39,508,0.81,0.66,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2429169,3394,420073,2429169
"3071","LAUREL HEIGHTS HOSPITAL","PSYCHIATRIC","934 BRIARCLIFF ROAD","","ATLANTA","GA",30306,"DEKALB",33.780089042,-84.345332201,NA,NA,92,NA,NA,"None","None","HIFLD-BEDS","None","None",2430306,NA,NA,2430306
"3072","MEMORIAL HOSPITAL - YORK","GENERAL ACUTE CARE","325 SOUTH BELMONT STREET, BOX 15118","","YORK","PA",17405,"YORK",39.967361,-76.6925729989999,60,10,100,0.63,0.8,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HIFLD-BEDS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24317405,NA,390101,24317405
"3073","POLK MEDICAL CENTER","CRITICAL ACCESS","2360 ROCKMART HWY","","CEDARTOWN","GA",30125,"POLK",34.0138168660001,-85.196271579,25,NA,25,0.84,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",24330125,963,111330,24330125
"3074","MEASE COUNTRYSIDE HOSPITAL","GENERAL ACUTE CARE","3231 MCMULLEN BOOTH RD","","SAFETY HARBOR","FL",34695,"PINELLAS",28.0387469780001,-82.707985172,311,26,311,0.67,0.87,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24334695,827,100265,24334695
"3075","CURAHEALTH NASHVILLE","LONG TERM CARE","1412 COUNTY HOSPITAL ROAD, B-1","","NASHVILLE","TN",37218,"DAVIDSON",36.177468068,-86.84612428,60,NA,60,0.1834247,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",2437218,5544,NA,2437218
"3076","SOLARA HOSPITAL HARLINGEN","LONG TERM CARE","508 VICTORIA LANE","","HARLINGEN","TX",78550,"CAMERON",26.1598265650001,-97.672745261,41,NA,41,0.7718677,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",24378550,5011,NA,24378550
"3077","KINDRED HOSPITAL WESTMINSTER","GENERAL ACUTE CARE","200 HOSPITAL CIRCLE","","WESTMINSTER","CA",92683,"ORANGE",33.7635332090001,-117.995255963,109,16,109,0.8004776,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",24392683,5298,NA,24392683
"3078","FRANKFORT REGIONAL MEDICAL CENTER","LONG TERM CARE","299 KINGS DAUGHTERS DRIVE","","FRANKFORT","KY",40601,"FRANKLIN",38.160661745,-84.906893698,116,10,173,0.574445,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",2440601,1558,NA,2440601
"3079","REGIONAL HOSPITAL OF SCRANTON","GENERAL ACUTE CARE","746 JEFFERSON AVENUE","","SCRANTON","PA",18510,"LACKAWANNA",41.412335264,-75.6539615149999,154,24,186,0.67,0.48,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24418510,3268,390237,24418510
"3080","REHABILITATION HOSPITAL OF SAVANNAH","REHABILITATION","6510 SEAWRIGHT DRIVE","","SAVANNAH","GA",31404,"CHATHAM",32.007543313,-81.09374375,50,0,50,0.860219178082192,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24431404,6191,113033,24431404
"3081","MERCY MEDICAL CENTER","GENERAL ACUTE CARE","1320 MERCY DRIVE NW","","CANTON","OH",44708,"STARK",40.812157906,-81.3948754629999,317,52,441,0.59,0.68,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2444708,2998,360070,2444708
"3082","DEKALB HEALTH","GENERAL ACUTE CARE","1316 E SEVENTH ST","","AUBURN","IN",46706,"DEKALB",41.368866859,-85.035394171,37,8,37,0.48,0.38,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2446706,1213,150045,2446706
"3083","HASKELL MEMORIAL HOSPITAL","CRITICAL ACCESS","NORTH 1ST STREET","Suite 1117","HASKELL","TX",79521,"HASKELL",33.157361509,-99.7446810179999,25,NA,25,0.09,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",24479521,5283,451341,24479521
"3084","MCLAREN BAY SPECIAL CARE HOSPITAL","LONG TERM CARE","3250 E MIDLAND RD, SUITE 1","","BAY CITY","MI",48706,"BAY",43.600477033,-83.924456643,31,0,31,0.309058771542201,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2448706,5340,232020,2448706
"3085","LANSDALE HOSPITAL","GENERAL ACUTE CARE","100 MEDICAL CAMPUS DRIVE","","LANSDALE","PA",19446,"MONTGOMERY",40.2503,-75.271421,140,14,140,0.38,0.69,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24519446,3305,390012,24519446
"3086","ST MARY'S GOOD SAMARITAN HOSPITAL","CRITICAL ACCESS","5401 LAKE OCONEE PARKWAY","","GREENSBORO","GA",30642,"GREENE",33.481432236,-83.242225113,25,NA,25,0.5499178,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",24530642,4749,NA,24530642
"3087","MEASE DUNEDIN HOSPITAL","GENERAL ACUTE CARE","601 MAIN ST","","DUNEDIN","FL",34698,"PINELLAS",28.0135453180001,-82.7832214799999,112,20,120,0.71,0.37,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24534698,837,100043,24534698
"3088","ST JOSEPHS HSPTL","GENERAL ACUTE CARE","2661 CTY HWY I","","CHIPPEWA FALLS","WI",54729,"CHIPPEWA",44.950624695,-91.3598254629999,102,6,193,0.33,0.45,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2454729,4132,520017,2454729
"3089","FAIRVIEW RIDGES HOSPITAL","GENERAL ACUTE CARE","201 EAST NICOLLET BOULEVARD","","BURNSVILLE","MN",55337,"DAKOTA",44.7490193190001,-93.272591936,171,12,171,0.75,0.84,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2455337,1994,240207,2455337
"3090","HOLZER MEDICAL CENTER","GENERAL ACUTE CARE","100 JACKSON PIKE","","GALLIPOLIS","OH",45631,"GALLIA",38.846473143,-82.2375402869999,157,14,287,0.27,0.41,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",245631,2928,360054,245631
"3091","AVERA WESKOTA MEMORIAL MEDICAL CENTER","CRITICAL ACCESS","604 1ST STREET NORTHEAST","","WESSINGTON SPRINGS","SD",57382,"JERAULD",44.0810863310001,-98.563742213,16,NA,16,0.11,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",2457382,3430,431324,2457382
"3092","SABINE COUNTY HOSPITAL","CRITICAL ACCESS","2301 WORTH ST","","HEMPHILL","TX",75948,"SABINE",31.333808731,-93.8629645139999,25,NA,25,0.144,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",24575948,5518,NA,24575948
"3093","JACOBSON MEMORIAL HOSPITAL & CARE CENTER","CRITICAL ACCESS","601 EAST ST N","","ELGIN","ND",58533,"GRANT",46.407325814,-101.841463455,30,NA,30,0.83,NA,"HCRIS-Total Staffed Beds","None","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","None",2458533,2853,351314,2458533
"3094","LA CASA PSYCHIATRIC HEALTH FACILITY","PSYCHIATRIC","6060 PARAMOUNT BLVD.","","LONG BEACH","CA",90805,"LOS ANGELES",33.8650814600001,-118.156274109,16,NA,16,NA,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","None","None",24590805,5958,NA,24590805
"3095","GLENDIVE MEDICAL CENTER","CRITICAL ACCESS","202 PROSPECT DR","","GLENDIVE","MT",59330,"DAWSON",47.1174251570001,-104.703833618,25,3,25,0.275068,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",2459330,2286,NA,2459330
"3096","SHRINERS HOSPITAL FOR CHILDREN - CHICAGO","CHILDREN","2211 NORTH OAK PARK AVENUE","","CHICAGO","IL",60707,"COOK",41.9198380380001,-87.793422515,54,NA,60,NA,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","None","None",2460635,5632,143302,2460635
"3097","VETERANS AFFAIRS ILLIANA HEALTH CARE SYSTEM","MILITARY","1900 E. MAIN","","DANVILLE","IL",61832,"VERMILION",40.123271713,-87.586953131,NA,NA,221,NA,NA,"None","None","HIFLD-BEDS","None","None",2461832,1181,NA,2461832
"3098","HEALTHSOUTH READING REHABILITATION HOSPITAL","REHABILITATION","1623 MORGANTOWN ROAD","","READING","PA",19607,"BERKS",40.288547002,-75.924715,52,0,60,0.675509060339996,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24619607,4883,393026,24619607
"3099","UNIVERSITY HOSPITAL MCDUFFIE","GENERAL ACUTE CARE","2460 WASHINGTON ROAD","","THOMSON","GA",30824,"MCDUFFIE",33.523068542,-82.501938755,25,NA,25,0.59,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",24630824,949,110111,24630824
"3100","MEDICAL CENTER OF TRINITY","GENERAL ACUTE CARE","9330 FL-54","","TRINITY","FL",34655,"PASCO",28.2039334180001,-82.660060587,245,34,278,0.69,0.58,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24634655,824,100191,24634655
"3101","LANDMARK HOSPITAL OF COLUMBIA, LLC","GENERAL ACUTE CARE","604 OLD HWY 63 N","","COLUMBIA","MO",65201,"BOONE",38.957989936,-92.311312324,42,0,42,0.423809523809524,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2465201,2185,262020,2465201
"3102","COMANCHE COUNTY HOSPITAL","CRITICAL ACCESS","202 S FRISCO AVE","","COLDWATER","KS",67029,"COMANCHE",37.2680794130001,-99.332654648,12,NA,12,0.2,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",2467029,1433,171312,2467029
"3103","ADAMS MEMORIAL HOSPITAL","CRITICAL ACCESS","1100 MERCER AVE","","DECATUR","IN",46733,"ADAMS",40.81622244,-84.9143616709999,25,4,25,0.65,0.4,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",246733,1196,151330,246733
"3104","EAST TEXAS MEDICAL CENTER HENDERSON","GENERAL ACUTE CARE","300 WILSON STREET","","HENDERSON","TX",75652,"RUSK",32.1609499960001,-94.795618364,41,NA,96,0.3,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",24675652,3792,450475,24675652
"3105","FAITH REGIONAL HEALTH SERVICES","GENERAL ACUTE CARE","2700 WEST NORFOLK AVE","","NORFOLK","NE",68701,"MADISON",42.033892832,-97.452684178,131,24,131,0.385578,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",2468701,2381,NA,2468701
"3106","LA PALMA INTERCOMMUNITY HOSPITAL","GENERAL ACUTE CARE","7901 WALKER STREET","","LA PALMA","CA",90623,"ORANGE",33.8475141810001,-118.038302332,124,8,124,0.24,0.53,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24690623,430,50580,24690623
"3107","BATON ROUGE - AMG SPECIALTY HOSPITAL","LONG TERM CARE","8375 FLORIDA BLVD","","DENHAM SPRINGS","LA",70726,"LIVINGSTON",30.4843855300001,-90.918579411,NA,NA,59,NA,NA,"None","None","HIFLD-BEDS","None","None",2470726,NA,NA,2470726
"3108","ST MARY MEDICAL CENTER","GENERAL ACUTE CARE","1201 LANGHORNE-NEWTOWN ROAD","","LANGHORNE","PA",19047,"BUCKS",40.202759,-74.923847001,348,41,373,0.67,0.28,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24719047,3218,390258,24719047
"3109","ST. VINCENT MORRILTON","CRITICAL ACCESS","4 HOSPITAL DRIVE","","MORRILTON","AR",72110,"CONWAY",35.168014912,-92.721351317,25,NA,25,0.31,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",2472110,208,41324,2472110
"3110","WELLSTAR PAULDING HOSPITAL","GENERAL ACUTE CARE","2518 JIMMY LEE SMITH PARKWAY","","HIRAM","GA",30141,"PAULDING",33.9007282960001,-84.780725907,112,8,112,0.69,0.77,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24730141,960,110042,24730141
"3111","MEDICAL CENTER OF TRINITY WEST PASCO CAM","GENERAL ACUTE CARE","5637 MARINE PKWY","","NEW PORT RICHEY","FL",34652,"PASCO",28.23570153,-82.7207661579999,NA,NA,46,NA,NA,"None","None","HIFLD-BEDS","None","None",24734652,NA,NA,24734652
"3112","EASTERN OKLAHOMA MEDICAL CENTER","GENERAL ACUTE CARE","105 WALL STREET","","POTEAU","OK",74953,"LE FLORE",35.043333503,-94.612132881,25,4,43,0.39,0.01,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2474953,3066,371337,2474953
"3113","CLAY COUNTY MEMORIAL HOSPITAL","CRITICAL ACCESS","310 WEST SOUTH STREET","","HENRIETTA","TX",76365,"CLAY",33.8143726860001,-98.1984841459999,25,NA,25,0.06,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",24776365,5006,451362,24776365
"3114","SETON MEDICAL CENTER AUSTIN","GENERAL ACUTE CARE","1201 WEST 38TH STREET","","AUSTIN","TX",78705,"TRAVIS",30.305001846,-97.7456083179999,430,83,524,0.67,0.59,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2478705,3826,450056,2478705
"3115","LAC+USC MEDICAL CENTER","GENERAL ACUTE CARE","1200 NORTH STATE STREET","","LOS ANGELES","CA",90033,"LOS ANGELES",34.059561589,-118.208356609,594,158,600,0.81,0.62,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24790033,425,50373,24790033
"3116","SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL","CRITICAL ACCESS","19021 US HWY 285","","LA JARA","CO",81140,"CONEJOS",37.2627940400001,-105.965533526,17,NA,17,0.17,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",2481140,5061,61308,2481140
"3117","GIRARD MEDICAL CENTER","PSYCHIATRIC","GIRARD AVENUE AT 8TH STREET","","PHILADELPHIA","PA",19122,"PHILADELPHIA",39.9714501600001,-75.15017825,51,NA,51,0.7826999,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",24819122,5191,NA,24819122
"3118","MEMORIAL HOSPITAL OF CARBON COUNTY","CRITICAL ACCESS","2221 WEST ELM STREET","","RAWLINS","WY",82301,"CARBON",41.786885843,-107.262148709,25,6,25,0.2,0.05,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2482301,4245,531316,2482301
"3119","GRITMAN MEDICAL CENTER","GENERAL ACUTE CARE","700 SOUTH MAIN STREET","","MOSCOW","ID",83843,"LATAH",46.7282264580001,-117.000547346,25,3,25,0.56,0.18,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2483843,1019,131327,2483843
"3120","CENTRAL VALLEY MEDICAL CENTER","CRITICAL ACCESS","48 WEST 1500 NORTH","","NEPHI","UT",84648,"JUAB",39.7314621620001,-111.837740555,25,NA,25,0.451288,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",2484648,3872,NA,2484648
"3121","HILL REGIONAL HOSPITAL","GENERAL ACUTE CARE","101 CIRCLE DRIVE","","HILLSBORO","TX",76645,"HILL",32.01263139,-97.099259682,25,NA,25,0.24,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",24876645,3725,450192,24876645
"3122","PLAINS REGIONAL MEDICAL CENTER CLOVIS","GENERAL ACUTE CARE","2100 NORTH MARTIN LUTHER KING JUNIOR BOULEVARD","","CLOVIS","NM",88101,"CURRY",34.4206209610001,-103.23378959,106,8,106,0.34,0.45,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2488101,2541,320022,2488101
"3123","LAC/HARBOR-UCLA MEDICAL CENTER","GENERAL ACUTE CARE","1000 WEST CARSON STREET","","TORRANCE","CA",90502,"LOS ANGELES",33.8304737710001,-118.291713809,390,52,415,0.63,0.69,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",24890502,426,50376,24890502
"3124","VALLEY HOSPITAL MEDICAL CENTER","GENERAL ACUTE CARE","620 SHADOW LANE","","LAS VEGAS","NV",89106,"CLARK",36.1632161630001,-115.166393321,274,45,306,0.85,0.99,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",2489106,2418,290021,2489106
"3125","BORGESS PIPP HOSPITAL","LONG TERM CARE","411 NAOMI STREET","","PLAINWELL","MI",49080,"ALLEGAN",42.446995342,-85.653896602,43,0,43,0.226059254539662,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",249080,5478,232034,249080
"3126","VA LONG BEACH HEALTHCARE SYSTEM","MILITARY","5901 E 7TH ST","","LONG BEACH","CA",90822,"LOS ANGELES",33.776635033,-118.119078579,NA,NA,NA,NA,NA,"None","None","","None","None",2490822,352,NA,2490822
