Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys,ID
Catholic Charities West Michigan,Grand Rapids,,212 West Main Street,Suite B,,Stanton,MI,48888,(616)356-6216 Intake: (989)831-8306 Hotline: (616)456-1443,,MH-SA/TX/OP/CO/WN/MN/CJ/SF/MD/MC/SI/PI/MI/SS/PA/,0147MI48888
Sterling Area Health Center,,,725 East State Street,,,Sterling,MI,48659,(989)654-3501 Intake: (989)654-3501x130,,GH/TX/OP/CO/HV/GL/SE/CJ/SF/MD/SI/PI/SS/,7010MI48659
Metro Family Support Counseling PC,,,39393 Van Dyke Avenue,Suite 209,,Sterling Heights,MI,48313,(586)274-4394,,MH-SA/TX/OP/AD/CO/SE/PW/WN/MN/DU/CJ/SF/MD/MC/PI/MI/,6518MI48313
Perspectives Counseling Center,,,4151 17 Mile Road,Suite D,,Sterling Heights,MI,48310,(586)268-6712,,MH/TX/OP/SF/PI/,8700MI48310
Pioneer Counseling Center,Sterling Heights,,36250 Dequindre Road,Suite 310,,Sterling Heights,MI,48310,(586)795-0569,,MH-SA/TX/OP/CO/WN/SF/MD/MC/SI/PI/MI/F4/,4456MI48310
Community Healing Centers,,,70050 M-66,,,Sturgis,MI,49091,(269)651-1212 Intake: (800)692-4122,,SA/TX/OP/WN/SF/MD/SI/PI/MI/AH/SP/,2184MI49091
Grand Traverse Band of Ottawa and Chippewa Indians,,Behavioral Health Sevices,2605 NW Bayshore Drive,,,Suttons Bay,MI,49682,(231)534-7090 Intake: (800)243-3487,,MH-SA/TX/BU/OP/AD/CO/MD/SI/PI/AR/PA/,2549MI49682
Community Care Services (CCS),Substance Abuse Service,,26650 Eureka Road,Suite A,,Taylor,MI,48180,(734)955-3550 Intake: (313)389-7500,,MH-SA/TX/OP/CO/CJ/SF/MD/MC/PI/MI/SS/AH/,8091MI48180
Downriver Mental Health Clinic,Advanced Counseling Services,,20600 Eureka Road,Suite 819,,Taylor,MI,48180,(734)285-8282x2133 Intake: (734)285-8282x2100 Hotline: (313)224-7000,,MH-SA/TX/BU/OP/SF/MC/PI/,0577MI48180
Insight Counseling of Tecumseh LLC,,,106 South Maumee Street,,,Tecumseh,MI,49286,(517)424-5438,,MH-SA/TX/OP/SF/PI/SS/,0616MI49286
Community Healing Centers,,,1020 Millard Street,,,Th ree Rivers,MI,49093,(269)279-5187 Intake: (800)692-4121,,SA/TX/OP/WN/SF/MD/PI/MI/AH/,0446MI49093
Addiction Treatment Services Inc,,,940 East 8th Street,,,Traverse City,MI,49686,(231)922-4810 Intake: (800)622-4810,,SA/TX/OP/CO/WN/MN/SF/MD/MI/AR/,8233MI49686
Addiction Treatment Services Inc,Dakoske and Phoenix Hall,,116 East 8th Street,,,Traverse City,MI,49684,(231)922-4804 Intake: (800)622-4810 Hotlines: (231)922-4804 (800)622-4810,,MH-SA/TX/DT/BU/RS/CO/HV/GL/SE/PW/WN/MN/CJ/SF/MD/MC/SI/PI/MI/AR/SS/,6568MI49684
Catholic Human Services Inc,,,1000 Hastings Street,,,Traverse City,MI,49686,(231)947-8110 Hotline: (800)420-7506,,MH-SA/TX/OP/AD/CO/WN/SF/MD/MC/SI/PI/MI/SS/AH/,7124MI49686
Munson Medical Center,Alcohol and Drug Treatment Center,,1105 6th Street,,,Traverse City,MI,49684,(231)935-6382 Intake: (800)662-6766 Hotline: (800)662-6766,,SA/TX/BU/OP/PH/CO/SF/MD/MC/SI/PI/MI/AH/,6545MI49684
Nexus Family Services,,,3301 Veterans Drive,Suite 124,,Traverse City,MI,49684,(231)943-7312,,MH-SA/TX/BU/OP/AD/CO/CJ/SF/PI/MI/SS/AH/,3681MI49684
Apex Behavioral Health PLLC,Brownstown,,19366 Allen Road,Suite C,,Trenton,MI,48183,(734)479-0949,,MH/TX/BU/OP/DU/CJ/SF/MD/MC/PI/MI/,8948MI48183
Perspectives of Troy PC,,,888 West Big Beaver Road,Suite 1450,,Troy,MI,48084,(248)244-8644,,MH/TX/OP/AD/DU/SF/MD/MC/PI/MI/,8091MI48084
Rivers Bend PC,,,33975 Dequindre Street,Suite 5,,Troy,MI,48083,(248)585-3239 Intake: (248)583-1110,,MH-SA/TX/DT/BU/OP/AD/DU/SF/MC/PI/SS/,6044MI48083
Debra L Gainor MA LLP CAAC,,,52188 Van Dyke Avenue,Suite 320,,Utica,MI,48316,(586)254-7774x3,,MH-SA/TX/OP/SF/PI/SS/,6891MI48316
Macomb Family Services Inc,,,45445 Mound Road,Suite 109,,Utica,MI,48317,(586)254-5660,,MH/TX/OP/SF/PI/AH/,4460MI48317
Cass County Community Mental Health,Woodlands Addictions Center,,17321 M-60 East,,,Vandalia,MI,49095,(269)476-9781,,SA/TX/OP/SF/MD/PI/SS/,5688MI49095
Oakland Family Services,Substance Abuse Services,,2045 West Maple Road,Suite D-407,,Walled Lake,MI,48390,(248)624-3812x203 Intake: (248)624-3812,,MH-SA/TX/BU/OP/AD/CO/SE/CJ/SF/MD/MC/SI/PI/SS/AH/,3756MI48390
Mental Morphosis Inc,,,31201 Chicago Road South,Suite A-102,,Warren,MI,48093,(586)977-8700,,MH-SA/TX/OP/PH/CO/WN/DU/SF/MD/MC/SI/PI/MI/SS/,9662MI48093
Sacred Heart Rehabilitation Center Inc,,,8150 East 13 Mile Road,Suite 100,,Warren,MI,48093,(586)558-7472 Intake: (888)558-7472,,SA/TX/OP/AD/GL/SE/DU/CJ/SF/MD/MC/SI/PI/AH/,8474MI48093
Time Out Counseling Services,,,8242 East 12 Mile Road,,,Warren,MI,48093,(586)574-2601,,SA/TX/OP/SF/,2821MI48093
Bio Medical Behavioral Healthcare Inc,,,2520 Elizabeth Lake Road,,,Waterford,MI,48328,(248)706-5041,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/HV/PW/WN/SF/MD/MC/PI/SP/F28/F30/F66/F81/,3131MI48328
Catholic Social Services of,Oakland County,,6637 Highland Road,,,Waterford,MI,48327,(248)666-8870 Intake: (248)548-4044,,MH-SA/TX/OP/AD/SF/MD/SI/PI/SS/,4020MI48327
Collaborative Solutions,Easter Seals,,269 Summit Drive,,,Waterford,MI,48328,(248)706-3450 Intake: (800)231-1127,,MH-SA/TX/OP/CO/WN/MN/CJ/SF/MD/MC/SI/PI/MI/PA/,8255MI48328
Community Network Services Inc,,,279 Summit Drive,,,Waterford,MI,48328,(248)745-4900,,MH/TX/BU/OP/CO/SF/MC/AH/,4141MI48328
Community Programs Inc,,,1255 North Oakland Boulevard,,,Waterford,MI,48327,(248)406-0090 Intake: (248)406-0136,,SA/TX/DT/BU/RS/RL/OP/CO/WN/MN/DU/CJ/SF/MD/,7148MI48327
Community Programs Inc,,,1435 North Oakland Boulevard,,,Waterford,MI,48327,(248)406-0090 Intake: (248)406-0136,,SA/TX/RS/RL/CO/MN/DU/CJ/SF/,1559MI48327
Oakland County Community Corrections,Step Forward,,2300 Dixie Highway,Suite 200,,Waterford,MI,48329,(248)451-2311 Intake: (248)451-2340,,MH-SA/TX/OP/CO/DU/CJ/,1419MI48329
Perfect Solutions Inc,,,3650 Dixie Highway,,,Waterford,MI,48329,(248)674-4630,,MH-SA/TX/OP/SF/MD/PI/SS/,8754MI48329
Recovery Consultants Inc,,,3139 West Huron Street,,,Waterford,MI,48328,(248)738-8400,,SA/TX/OP/AD/GL/WN/MN/SF/MD/PI/MI/SS/PA/,1889MI48328
Lac Vieux Desert,Behavioral Health Services,E-23968 Pow Wow Trail,,P.O. Box 563,,Watersmeet,MI,49969,(906)358-0252,,MH-SA/TX/OP/DU/SF/MD/MC/PI/MI/AR/SS/PA/,3735MI49969
Henry Ford Health Systems,Maplegrove Detroit Ctr for Chem Depend,,6773 West Maple Road,,,West Bloomfi eld,MI,48322,(248)661-6101 Intakes: (248)661-6100 (248)788-3178,,SA/TX/DT/BU/RS/OP/PH/AD/SF/SI/PI/PA/AH/SP/F4/,9978MI48322
Jewish Family Service,,,6555 West Maple Road,,,West Bloomfi eld,MI,48322,(248)592-2300 Intake: (248)592-2662,,MH-SA/TX/OP/DU/SF/MD/MC/PI/MI/SS/AH/SP/F28/F70/,7909MI48322
New Oakland,Child Adolescent Family Center,,5600 West Maple Road,Suite D-402,,West Bloomfi eld,MI,48322,(586)412-5321 Intake: (248)855-1540,,MH-SA/TX/DT/BU/OP/PH/AD/CO/GL/SE/WN/MN/CJ/SF/MD/MC/SI/PI/MI/AH/SP/F4/F17/F28/F30/F42/F70/,1116MI48322
Apex Behavioral Health PLLC,Westland,,1547 South Wayne Road,,,Westland,MI,48186,(734)729-3133,,MH/TX/BU/OP/DU/CJ/SF/MD/MC/PI/MI/F4/,0342MI48186
Hegira Programs Inc (HPI),Westland Counseling Center,,8623 North Wayne Road,Suite 300,,Westland,MI,48185,(734)425-0636,,MH-SA/TX/OP/CO/SF/MD/MC/SI/PI/AH/SP/F28/,4175MI48185
Safe Step LLC,,,917 South Merriman Road,,,Westland,MI,48186,(734)641-1141 Intake: (877)641-1143,,SA/TX/OP/SF/SS/,8779MI48186
Westside Mental Health Services,Insight Recovery,,32932 West Warren Road,Suite 103,,Westland,MI,48185,(734)513-8295,,MH-SA/TX/OP/AD/CO/WN/DU/CJ/SF/MD/MC/SI/PI/MI/SS/AH/,5991MI48185
Hannahville Behavioral Health Services,,,Hannahville B-1 Road,North 15019,,Wilson,MI,49896,(906)466-2878 Intake: (906)466-2878x101,,MH-SA/TX/OP/MD/MC/SI/AR/PA/AH/,8467MI49896
Henry Ford Wyandotte Hospital,Behavorial Services,,2333 Biddle Avenue,,,Wyandotte,MI,48192,(734)246-9956,,GH/TX/DT/BU/HI/OP/CO/SE/SF/MD/MC/SI/PI/MI/AH/,8871MI48192
Working tor the Lord Ministry,Drug Prevention Program,,2250 Oak Street,,,Wyandotte,MI,48192,(800)708-9385 Intake: (734)282-8432,,SA/TX/OP/DU/CJ/PA/,4145MI48192
1st Step Referral Services,,,110 Pearl Street,,,Ypsilanti,MI,48197,(734)485-6161,,SA/TX/OP/DU/CJ/SF/,2226MI48197
Community Support and Treatment Servs,Towner Site,,555 Towner Street,,,Ypsilanti,MI,48197,(734)544-3000 Intakes: (734)544-3050 (800)440-7548,,MH/TX/OP/CO/SF/MD/MC/PI/AH/,1807MI48197
Dawn Inc,Dawn Farm,,6633 Stony Creek Road,,,Ypsilanti,MI,48197,(734)485-8725,,SA/TX/RL/SF/MD/AR/PA/,0024MI48197
Northwest Drug Rehabilitation Clinic,,,880 North Ford Boulevard,,,Ypsilanti,MI,48198,(734)483-9900,Methadone Clients Only,SA/TX/MM/OP/SF/MD/SS/PA/AH/,2547MI48198
Pine Rest Christian Mental Hlth Servs,Zeeland Clinic,,8333 Felch Street,Suite 201,,Zeeland,MI,49464,(616)741-3790,,MH/TX/OP/SF/MC/PI/MI/AH/,9690MI49464
Fountain Centers,,,408 West Fountain Street,,,Albert Lea,MN,56007,(507)377-6411 Intake: (800)533-1616,,SA/TX/DT/RS/OP/PH/AD/SE/WN/MN/SF/SI/PI/SP/,0837MN56007
New Visions Center,Inpatient Program,,222 9th Avenue West,,,Alexandria,MN,56308,(320)763-3912,,MH-SA/TX/HH/RS/RL/OP/PH/CO/SF/SI/PI/,3355MN56308
New Visions Center,Outpatient Program,,1700 Broadway,Suite 2,,Alexandria,MN,56308,(320)763-0124,,SA/TX/BU/OP/AD/CO/SF/SI/PI/MI/,6429MN56308
Grace Counseling Services,,,16525 NE Highway 65,,,Andover,MN,55304,(763)413-8838,,SA/TX/OP/SF/MD/SI/PI/,6891MN55304
Community Addiction Recovery,Enterprise (CARE),,3301 7th Avenue North,Cronin Building,,Anoka,MN,55303,(651)431-5250 Intake: (651)431-5247,,SA/TX/RS/RL/OP/PH/WN/MN/SF/SI/PI/AH/SP/,5348MN55303
Riverplace Counseling Center,Mens Program,,1814 South Ferry Street,,,Anoka,MN,55303,(763)421-5590 Intake: (763)421-5590x28,,SA/TX/OP/PH/HV/WN/MN/DU/SF/SI/PI/,2999MN55303
Transformation House,For Men,,1410 South Ferry Road,,,Anoka,MN,55303,(763)427-7155,,SA/TX/BU/RS/RL/OP/PH/SF/SI/PI/PA/,3584MN55303
Transformation House I,For Women,,2532 North Ferry Street,,,Anoka,MN,55303,(763)421-4665 Intake: (763)427-7155,,SA/TX/BU/RS/RL/OP/PH/WN/SF/SI/PI/,7704MN55303
Pioneer Recovery Center,,,5388 Road 37,,,Aurora,MN,55705,(218)638-1233,,SA/TX/RS/OP/WN/SF/SI/,3655MN55705
Austin Medical Center,Chemical Dependency Services,,101 14th Street NW,,,Austin,MN,55912,(507)434-1890 Hotline: (800)422-1295,,SA/TX/OP/AD/CO/SF/MD/MC/SI/PI/MI/SP/,6939MN55912
Bemidji Area Program for Recovery,,,403 4th Street NW,Suite 300,,Bemidji,MN,56601,(218)444-5155,,SA/TX/OP/AD/CO/WN/MN/DU/SF/MD/MC/SI/PI/MI/,2936MN56601
Evergreen Youth Recovery House,,,820 Beltrami Avenue,,,Bemidji,MN,56601,(218)751-2466x13 Intakes: (218)751-2466 (218)333-8841,,SA/TX/HH/RL/AD/SF/SI/PI/,2442MN56601
Lakes Region,Chemical Dependency LLC,,1510 Bemidji Avenue North,Suite 13,,Bemidji,MN,56601,(218)444-5740,,SA/TX/OP/AD/WN/MN/DU/SF/SI/PI/,3851MN56601
Northern Lakes Clinic Inc,,,301 America Avenue NW,,,Bemidji,MN,56601,(218)755-5170 Intakes: (800)298-0804x107 (218)755- 5170x107,Methadone Clients Only,SA/TX/MM/DM/OP/CO/PW/SF/MD/MC/SI/PI/,8598MN56601
Upper Mississippi Mental Health Center,Program for Addictions Recovery,,722 15th Street,,,Bemidji,MN,56601,(218)751-3280 Hotline: (800)422-0045,,MH-SA/TX/OP/AD/CO/DU/CJ/SF/MD/MC/SI/PI/MI/SS/,5469MN56601
Lake Place Retreat Center,,,25704 County Road 338,,,Bovey,MN,55709,(218)245-1395,,SA/TX/HH/OP/PW/WN/MN/SF/SI/PI/,6478MN55709
ADAPT of Minnesota,,,324 South 5th Street,Suite C,,Brainerd,MN,56401,(888)829-1063 Intake: (218)829-1063,,SA/TX/OP/CO/DU/CJ/SF/MD/SI/PI/MI/,4080MN56401
Community Addiction Recovery,Enterprise (CARE) Brainerd,,11600 State Avenue,,,Brainerd,MN,56401,(218)828-2389 Intake: (218)828-2368,,SA/TX/RS/RL/OP/PH/AD/SF/SI/PI/MI/,7983MN56401
Saint Josephs Medical Center,Focus Unit,,523 North 3rd Street,,,Brainerd,MN,56401,(218)828-7374,,SA/TX/HI/OP/PH/DU/SF/MD/MC/SI/PI/SS/AH/,4284MN56401
Saint Francis Healthcare Campus,Hope Unit,,2400 Saint Francis Drive,,,Breckenridge,MN,56520,(218)643-0403 Intake: (218)643-0499 Hotline: (800)450-7223,,MH-SA/TX/OP/AD/SF/MD/SI/PI/MI/AH/,9032MN56520
Central Minnesota Mental Health Center,,,308 12th Avenue South,,,Buff alo,MN,55313,(763)682-4400,,MH-SA/TX/OP/AD/SF/MD/MC/SI/PI/MI/SS/,9999MN55313
Anthony Louis Center,,,1517 East Highway 13,,,Burnsville,MN,55337,(952)890-8879,,SA/TX/OP/AD/SF/SI/PI/AH/,4020MN55337
Community Drug and Alcohol Services,,,501 East Highway 13,Suite 108,,Burnsville,MN,55337,(952)564-3000 Intake: (651)209-6632,,MH-SA/TX/OP/AD/CO/SF/MD/SI/PI/AH/,2558MN55337
Dakota Treatment Center,,,11939 River Hills Drive,,,Burnsville,MN,55337,(952)890-4480,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/,2125MN55337
Fairview Ridges,Adult Outpatient Program,,156 Cobblestone Lane,,,Burnsville,MN,55337,(612)672-2736 Intake: (612)672-6600,,SA/TX/OP/WN/MN/DU/SF/MD/MC/PI/MI/AH/,6475MN55337
River Ridge Treatment Center,,,1510 East 122nd Street,,,Burnsville,MN,55337,(952)894-7722,,MH-SA/TX/OP/AD/WN/MN/DU/SF/SI/PI/MI/,3921MN55337
Cambridge Medical Center,Dellwood Recovery Center,,701 South Dellwood Avenue,,,Cambridge,MN,55008,(763)689-7723x8222 Intake: (763)689-7723,,SA/TX/DT/BU/HI/RS/OP/PH/SF/MD/SI/PI/,4386MN55008
Community Addiction Recovery,Enterprise (CARE) of Carlton,,810 3rd Street,Suite 102,,Carlton,MN,55718,(218)384-7000 Intake: (800)710-4845,,SA/TX/RS/RL/OP/WN/SF/MD/MC/SI/PI/MI/AH/,4189MN55718
Leech Lake Opioid Program,,,110 Balsam Avenue,,,Cass Lake,MN,56633,(218)335-4514,,SA/TX/BU/OP/CO/PW/CJ/SF/MD/MC/PI/SS/,3014MN56633
Leech Lake Outpatient Program,,,6905 161st Street NW,,,Cass Lake,MN,56633,(218)335-3567 Intakes: (218)335-8305 (218)335-3628,,SA/TX/OP/AD/WN/MN/MD/MC/SI/PI/PA/,1959MN56633
Hazelden Foundation,,,15251 Pleasant Valley Road,,,Center City,MN,55012,(800)257-7800 Intake: (651)257-7810 Hotline: (800)257-7800,,SA/TX/DT/BU/RS/RL/OP/CO/WN/MN/SF/SI/PI/MI/AH/SP/,7611MN55012
Five Stars Recovery Center,,,102 East 2nd Street,Suite 110-B,,Chaska,MN,55318,(952)448-6557,,SA/TX/HH/OP/AD/HV/WN/MN/DU/SF/MD/SI/PI/SS/,2004MN55318
Fairview Recovery Services,Chisago Adolescent Chemical Dependancy,,11725 Stinson Avenue,,,Chisago City,MN,55013,(612)672-2736 Intake: (612)672-6600,,SA/TX/RS/PH/AD/CO/SF/MD/MC/PI/MI/AH/,0741MN55013
Haven in Cloquet,,,1003 Cloquet Avenue,Suite 117,,Cloquet,MN,55720,(218)879-5545,,SA/TX/OP/AD/SF/SI/PI/MI/,2055MN55720
Avalon Programs,Cottage Grove,,7501 80th Street South,Suite 6,,Cottage Grove,MN,55016,(651)458-3757,,SA/TX/OP/SF/SI/PI/,7745MN55016
New Choices for Recovery,Human Services Inc,,8451 East Point Douglas Road,Suite 300,,Cottage Grove,MN,55016,(651)458-4116 Hotline: (651)777-5222,,MH-SA/TX/OP/SF/MC/SI/PI/MI/,2476MN55016
Glenmore Recovery Center,Chemical Dependency Program,Riverview Healthcare Association,323 South Minnesota Street,,,Crookston,MN,56716,(218)281-9511 Intake: (218)281-9537 Hotline: (800)584-9226,,SA/TX/DT/HI/RS/OP/CO/WN/SF/SI/PI/AH/,6896MN56716
Northwest Change Program,Tri County Community Corrections,,816 Marin Avenue,Suite 110,,Crookston,MN,56716,(218)470-8134 Intake: (218)470-8133,,SA/TX/OP/AD/GL/PW/SF/SI/PI/,8344MN56716
PCC Inc/DBA Professional,Counseling Center of Delano,,620 Highway 12 East,,,Delano,MN,55328,(763)972-6527,,SA/TX/OP/SF/MD/SI/PI/SS/,2142MN55328
Drake Counseling Services Inc,,,115 Willow Street West,,,Detroit Lakes,MN,56501,(218)844-5191,,SA/TX/OP/CO/SF/SI/PI/MI/SS/,4505MN56501
Drake Residential Treatment Center,,,28579 Highway 10 East,,,Detroit Lakes,MN,56501,(218)847-1329,,SA/TX/RS/RL/SF/SI/PI/MI/,6283MN56501
Lakes Counseling Center,,,1000 8th Street SE,,,Detroit Lakes,MN,56501,(218)847-0696 Intake: (866)847-0696,,SA/TX/OP/AD/DU/SF/MD/SI/PI/,2088MN56501
Red River Recovery Center,,,701 Center Avenue East,,,Dilworth,MN,56529,(218)284-7772 Intake: (218)284RRRC,,SA/TX/HH/RL/OP/SF/MD/PI/,6191MN56529
Nehemiah Family Services,,,104 1st Street NW,Room 146,,Dodge Center,MN,55927,(507)374-9047 Intake: (507)254-3083,,SA/TX/OP/WN/CJ/SF/MD/SI/PI/MI/,3034MN55927
Bethel Outpatient Services,,,23 Mesaba Avenue,,,Duluth,MN,55806,(218)727-0504x151 Intake: (218)727-0504,,SA/TX/HH/OP/WN/MN/SF/PI/MI/,1877MN55806
Bethel Port Rehabilitation Center,,,23 Mesaba Avenue,,,Duluth,MN,55806,(218)727-7415x151 Intakes: (218)727-7415x110 (218)727- 0504x150,,SA/TX/HH/RL/MN/,6903MN55806
Center for Alcohol and Drug Treatment,,,1402 East Superior Street,,,Duluth,MN,55805,(218)723-8444,,SA/TX/DT/BU/RS/SF/SI/PI/MI/AH/,8844MN55805
Center for Alcohol and Drug Treatment,,,1025 Treatment Program,1025 London Road,,Duluth,MN,55805,(218)723-8444,,SA/TX/OP/CO/WN/SF/SI/PI/MI/AH/,9431MN55805
Center for Alcohol and Drug Treatment,Howard Friese Memorial Halfway House,,1520 East 2nd Street,,,Duluth,MN,55812,(218)723-8444,,SA/TX/HH/RL/MN/SF/SI/PI/AH/,0960MN55812
Center for Alcohol and Drug Treatment,Marty Mann House,,714 North 11th Avenue East,,,Duluth,MN,55805,(218)723-8444,,SA/TX/HH/BU/RL/WN/SF/SI/PI/,5781MN55805
Lake Superior Treatment Center,,,14 East Central Entrance,Suite B,,Duluth,MN,55811,(218)786-0223,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/,7085MN55811
Th underbird/Wren House,,,229 North 4th Avenue West,,,Duluth,MN,55806,(218)727-7699 Intake: (218)722-2703,,SA/TX/HH/RS/RL/SF/MD/SI/PI/,2743MN55806
Douglas Place Inc,,,1111 Gateway Drive,,,East Grand Forks,MN,56721,(218)793-0420,,SA/TX/DT/HH/RS/RL/OP/AD/CO/WN/MN/SF/SI/PI/MI/PA/,0435MN56721
Glenmore Recovery Center,,,1424 Central Avenue NE,,,East Grand Forks,MN,56721,(218)773-4994 Intake: (218)281-9537,,SA/TX/OP/SF/SI/PI/AH/,9467MN56721
Pride Institute,,,14400 Martin Drive,,,Eden Prairie,MN,55344,(800)547-7433 Hotline: (800)547-7433,,SA/TX/DT/BU/RS/RL/OP/PH/CO/HV/GL/WN/MN/SF/MC/SI/PI/,4437MN55344
Regions Hospital/New Connections Prog,Eden Prairie Outpatient Treatment,,6754 Shady Oak Road,,,Eden Prairie,MN,55344,(952)941-5151,,SA/TX/OP/AD/SF/MD/PI/MI/,2380MN55344
Fairview Recovery Services,Adolescent Outpatient Program,,1230 School Street,,,Elk River,MN,55330,(612)672-2736 Intake: (612)672-6600,,SA/TX/PH/AD/SF/MD/MC/PI/MI/AH/,3419MN55330
Nystrom and Associates Ltd,,,9075 Quaday Avenue NE,Suite 102,,Elk River,MN,55330,(763)746-9492,,MH-SA/TX/OP/PH/CO/SF/MD/SI/PI/MI/,2238MN55330
Riverplace Counseling Center,Elk River Inc,,9816 NW Highway 10,,,Elk River,MN,55330,(763)427-9777 Intake: (763)427-9777x13,,SA/TX/OP/PH/HV/WN/MN/DU/SF/SI/PI/,1060MN55330
Fountain Center of Fairmont,,,828 North Avenue,,,Fairmont,MN,56031,(507)238-4382,,SA/TX/OP/AD/CJ/SF/SI/PI/,3668MN56031
Faribault Family Focus,,,2301 4th Street NW,,,Faribault,MN,55021,(507)334-6413,,SA/TX/OP/SF/MD/MC/SI/PI/MI/AH/,9979MN55021
Journey Counseling Services,,,821 3rd Street,Suite 100,,Farmington,MN,55024,(651)460-8085,,SA/TX/OP/WN/MN/SF/SI/PI/,1736MN55024
Pauls Place,,,22355 Albatross Circle,,,Farmington,MN,55024,(651)463-2608 Intake: (651)734-9633,,SA/TX/DT/RS/MN/SF/SI/PI/,7335MN55024
Community Addiction Recovery,Enterprise (CARE) Fergus Falls,,1174 Western Avenue,,,Fergus Falls,MN,56537,(218)736-1800 Intakes: (218)739-7215 (218)739-7200,,SA/TX/RS/RL/OP/PH/PW/WN/MN/DU/SF/SI/PI/MI/AH/,3734MN56537
Lake Region Halfway Homes Inc,,,217 North Union Avenue,,,Fergus Falls,MN,56537,(218)739-9084,,SA/TX/HH/RL/MN/SF/MD/MC/SI/PI/,0241MN56537
Fairview Recovery Services,Outpatient Program,,20 North Lake Drive,Suite 210,,Forest Lake,MN,55025,(612)672-2736 Intake: (612)672-6600,,SA/TX/OP/WN/MN/SF/MD/MC/PI/MI/AH/,7366MN55025
New Choices for Recovery/HSI,Forest Lake,,121 11th Avenue SE,,,Forest Lake,MN,55025,(651)251-5220 Intake: (651)430-2720 Hotlines: (651)777-5222 (651)430-2720,,MH-SA/TX/OP/CJ/SF/MC/SI/PI/MI/,7409MN55025
Wellcome Manor Family Services,,,114 West Pleasant Street,,,Garden City,MN,56034,(507)546-3295 Intake: (866)559-3295,,SA/TX/HH/RS/RL/PW/WN/BC/SF/SI/PI/MI/,3526MN56034
Addictions Counseling Treatment Servs,,,112 5th Street,,,Gaylord,MN,55334,(507)237-2716,,SA/TX/OP/AD/PW/WN/DU/SF/MC/SI/PI/MI/SS/,7389MN55334
Cook County Human Services,Wilderness Outpatient Trt Services,Court House,411 West 2nd Street,,,Grand Marais,MN,55604,(218)387-3620,,SA/TX/OP/SF/MD/MC/SI/PI/SS/,8600MN55604
Hope House of Itasca County,,,604 South Pokegama Avenue,,,Grand Rapids,MN,55744,(218)326-1443,,SA/TX/HH/RL/CO/MN/DU/SF/SI/PI/,9029MN55744
Northland Recovery,Adolescent Center,,510 SE 13th Street,,,Grand Rapids,MN,55744,(218)327-2570 Intake: (218)327-2570x405,,SA/TX/RS/RL/AD/SF/SI/PI/,7003MN55744
Northland Recovery Center,Substance Abuse Services,,1215 SE 7th Avenue,,,Grand Rapids,MN,55744,(218)327-1105 Intakes: (218)313-1313 (218)313-1319,,MH-SA/TX/DT/RS/RL/OP/AD/CO/DU/SF/MD/SI/PI/,3595MN55744
Northland Recovery Womens Center,,,213 SE 11th Street,,,Grand Rapids,MN,55744,(218)327-1890 Intake: (218)327-1890x420,,MH-SA/TX/RS/RL/CO/PW/WN/SF/MD/SI/PI/,4206MN55744
Pear Lake Womens Program,Hope House,,2086 Ridgeway Drive,,,Grand Rapids,MN,55744,(218)327-9944,,SA/TX/HH/RL/OP/CO/PW/WN/SF/SI/PI/,5426MN55744
Rapids Counseling Services Inc,,,717 NE 4th Street,,,Grand Rapids,MN,55744,(218)327-2001 Intake: (800)887-0170,,SA/TX/OP/WN/DU/SF/SI/PI/AH/,1583MN55744
Project Turnabout,,,660 18th Street,,,Granite Falls,MN,56241,(320)564-4911 Intake: (800)862-1453 Hotline: (800)862-1453,,SA/TX/DT/RS/RL/OP/PW/MN/DU/SF/MD/SI/PI/AH/SP/,3540MN56241
Cochran Mens Halfway House,,,1294 East 18th Street,Building 4,,Hastings,MN,55033,(651)437-4585 Intake: (800)742-4058,,SA/TX/HH/RS/RL/OP/MN/SF/SI/,6699MN55033
Cochran Recovery Program,,,1294 East 18th Street,Building 1,,Hastings,MN,55033,(651)437-4209 Intake: (800)742-4058,,MH-SA/TX/DT/RS/CO/SF/SI/PI/,5705MN55033
Dakota County Receiving Center Inc,Detox,,1294 East 18th Street,Building 1,,Hastings,MN,55033,(651)437-4209 Intake: (800)742-4058,,SA/DT/RS/CO/SF/SI/PI/,6912MN55033
Faith Family Recovery Center,,,1303 South Frontage Road,Suite 11,,Hastings,MN,55033,(651)437-1628,,SA/TX/OP/PH/SF/SI/PI/SS/,8372MN55033
Hanson and Hanson Addiction Specialist,,,223 Sibley Street,P.O. Box 594,,Hastings,MN,55033,(651)437-8200,,SA/TX/OP/CO/DU/SF/MC/SI/PI/MI/AH/,5111MN55033
Regions Hospital/New Connections Prog,Outpatient Program Hastings,,1250 Highway 55,Suite 209,,Hastings,MN,55033,(651)480-1180,,SA/TX/DT/OP/PH/AD/SF/SI/PI/MI/AH/,9340MN55033
Range Treatment Center,,,3203 3rd Avenue West,,,Hibbing,MN,55746,(218)263-9237 Intake: (218)741-9120 Hotline: (218)749-2881,,MH-SA/TX/OP/PH/SF/SI/PI/MI/,3348MN55746
