name,services,type,treats,street,city_state,phone,insurance,hcps_count,hcps_names
RECOVERY CENTERS OF AMERICA- OUTPATIENT PROGRAM AT DEVON,"Injection Provider, Counseling",Outpatient Facility,,235 W Lancaster Ave,"Devon, PA 19333",800-732-6837,Most private insurance and public insurance plans,2,"Christina Snyder,MARTINE SUSKO OTT"
"DAVID MATTINGLY, DO OFFICE",Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",4023 Bethlehem Pike,"Telford, PA 18969",215-721-1700,"Limited health network, please contact office to learn more",1,DAVID MATTINGLY
MARYLAND IOP PARTNERS,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",21 West Courtland Street,"Bel Air, MD 21014",410-838-3442,Most private insurance and public insurance plans,2,"Ravikumar Bhalavat,JESSICA HOLMES"
INSPIRE BEHAVIORAL HEALTH (WAYNE),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",983 Old Eagle School Rd. Suite 611,"Wayne, PA 19087",267-563-8180,Most private insurance and public insurance plans,1,MARTINE SUSKO OTT
HARFORD COUNTY HEALTH DEPARTMENT,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",120 S Hays St. Suite 300,"Bel Air, MD 21014",410-877-2341,Most private insurance and public insurance plans,1,JULIE STANCLIFF
The Rock Wellness Center,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","2591 Baglyos Circle, Suite C-50","Bethleham, PA 18020",484-821-0203,"Most private insurance, no public insurance plans",1,AJEEB TITUS
B.E.S.T. – NAZARETH,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","25 S Street, Suite 102","Nazareth, PA 18064",570-422-6522,Most private insurance and public insurance plans,1,CRAIG HAYTMANEK
Ashley Addiction Treatment - Bel Air,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","520 Upper Chesapeake Drive, Suite 304","Bel Air, MD 21014",443-760-3456,Most private insurance and public insurance plans,1,SHAUNA BRIGHT
VAYWALA,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1130 Baltimore Blvd,"Westminster, MD 21157",410-848-2170,Most private insurance and public insurance plans,0,NA
GAUDENZIA – MONTGOMERY COUNTY OUTPATIENT,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",166 W. Main St.,"Norristown, PA 19401",610-279-4262,Most private insurance and public insurance plans,1,SCOTT COOK
"DIVINE INTERNAL MEDICINE, LLC","Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","14 Rogers RD, Suite 211","North East, MD 21901",443-877-6194,Most private insurance and public insurance plans,1,CORNELIUS OPE
BERGAND GROUP - HARFORD COUNTY,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1803 Harford Road,"Fallston, MD 21047",443-299-6766,Most private insurance and public insurance plans,1,JOHN STEINBERG
"HILDA'S PLACE BEHAVIORAL HEALTH ORGANIZATION, INC.- Westminster","Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",684 Poole Rd Ste C,"Westminster, MD 21157",410-489-3737,Most private insurance and public insurance plans,1,SOPHIA FLYNN
MONTGOMERY COUNTY METHADONE CLINIC,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",316 Dekalb St,"Norristown, PA 19401",484-681-5278,"Most private insurance, no public insurance plans",1,SHAHLA BEHJAT
GLADSTONE PSYCHIATRY + WELLNESS - HUNT VALLEY,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",11350 McCormick Rd. EP III Ste 600,"Hunt Valley, MD 21031",443-708-5856,Most private insurance and public insurance plans,0,NA
BALA FAMILY PRACTICE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2021-B Emmorton Road,"Bel Air, MD 21015",410-569-1001,Most private insurance and public insurance plans,4,"NICOLE HERPICK,MICHELLE MONTAGUE,NOEL STALLMANN,SRIRAM BALASUBRAMANIAN"
INTERNAL MEDICINE PARTNERS,"Prescriber, Injection Provider",Outpatient Facility,,812 Shoemaker Ave,"Wyoming, PA 18644",570-693-4020,Most private insurance and public insurance plans,1,MARIO ADAJAR
SOKOLOFF FAMILY MEDICINE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",131 S. Union Avenue Suite A,"Havre De Grace, MD 21078",410-942-9552,Most private insurance and public insurance plans,1,KEITH SOKOLOFF
EASTON AREA FAMILY MEDICINE ASSOCIATES,,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2925 WILLIAM PENN HWY STE 201,"EASTON, PA 18045",610-258-1400,Most private insurance and public insurance plans,1,SUSANNAH STAIR
FRANKLIN/FULTON Drug & Alcohol,"Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",425 Franklin Farm Lane,"Chambersburg, PA 17202",717-263-1256,Most private insurance and public insurance plans,1,SCOTT COOK
AMERICAN PSYCHIATRIC CARE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","2014 South Tollgate Road, Suite 208","Bel Air, MD 21015",410-670-3076,Most private insurance and public insurance plans,3,"LISA BARKEY,Ravikumar Bhalavat,COLLEEN OHM"
Montco Recovery Center,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",262 Bethlehem Pike,"Colmar, PA 18915",215-398-1888,"Most private insurance, no public insurance plans",1,ELIZABETH DREW
Pyramid Healthcare - Chambersburg,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",124 Chambers Hill Road,"Chambersburg, PA 17201",717-261-9100,Most private insurance and public insurance plans,1,CALEB NWOSU
Mountain Manor- Emmitsburg,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",9701 Keysville Road,"Emmitsburg, MD 21727",301-447-2361,Most private insurance and public insurance plans,2,"MARC FISHMAN,CHRISTOPHER HOLT"
ACME,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",100 SUBURBAN DRIVE,"Newark, DE 19711",877-466-8028,,0,NA
MERAKEY - LANSDALE,"Prescriber, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2506 North BROAD ST,"LANSDALE, PA 19446",215-368-2022,"Most public insurance, no private insurance plans",1,DAVID MATTINGLY
BANCROFT BEHAVIORAL CENTER,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1107 Drummond Plaza Office Park, Building 1","Newark, DE 19711",302-502-3255,"Limited health network, please contact office to learn more",1,BRADLEY WHY
CARING MINDS MEDICAL CENTER (WOODMILL),"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","5235 West Woodmill Drive, Suite 46","Wilmington, DE 19808",302-516-7936,Most private insurance and public insurance plans,1,FLORENCE AKOUEGNON
MED PSYCH SERVICES LLC,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",5163 W Woodmill Dr. Ste 13,"Wilmington, DE 19808",302-660-7200,Most private insurance and public insurance plans,2,"IMRAN TRIMZI,ASMA MIAN"
THE VOLPICELLI CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1000 Germantown Pike, Suite H-2","Plymouth Meeting, PA 19462",484-351-8031,"Limited health network, please contact office to learn more",1,JOSEPH VOLPICELLI
ACME,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",1067 W. BALTIMORE PIKE,"Media, PA 19063",877-466-8028,,0,NA
BLUE MOUNTAIN PSYCHIATRY - EASTON,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",241 North 13th St,"Easton, PA 18042",610-253-2500,"Most private insurance, no public insurance plans",1,MUHAMAD RIFAI
LEHIGH VALLEY WELLNESS AND RECOVERY CENTER - EASTON,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",241 North 13th Street,"Easton, PA 18042",610-258-2500,"Most private insurance, no public insurance plans",1,MUHAMAD RIFAI
ETHOS TREATMENT- PLYMOUTH MEETING,"Prescriber, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3031-A Walton Rd Suite 300,"Plymouth Meeting, PA 19462",267-669-0300,"Most private insurance, no public insurance plans",0,NA
ESSENTIALS RECOVERY - Wilmington,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3700 Lancaster Pike Ste 305,"Wilmington, DE 19805",302-543-6034,"Most private insurance, no public insurance plans",1,JEET JOSHI
Ashley Addiction Treatment - Elkton,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","111 West High Street, Suite 109","Elkton, MD 21921",443-760-3620,Most private insurance and public insurance plans,1,SHAUNA BRIGHT
Mid Atlantic Behavioral Health- Newark,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",910 South Chapel St,"Newark, DE 19713",302-224-1400,Most private insurance and public insurance plans,2,"GABER YACOUB,JOHNNY PATTERSON"
THE ORENDA CENTER OF WELLNESS,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",17645 Harbaugh Valley Rd,"Sabillasville, MD 21780",301-241-3629,"Most public insurance, no private insurance plans",1,JAMILA PENNYMAN
CHESAPEAKE WELLNESS CENTER - ELKTON,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",105 East Main Street,"Elkton, MD 21921",410-275-8156,Most private insurance and public insurance plans,3,"VIRGINIA SISE,PATRICIA POWELL,PAUL KATZ"
Frost Medical,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","10 East 6th Avenue, Suite 200","Conshohocken, PA 19426",610-567-0088,"Limited health network, please contact office to learn more",1,MICHAEL FROST
NEMOURS / AI DUPONT HOSPITAL,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1600 Rockland Road,"Wilmington, DE 19803",302-651-6207,Most private insurance and public insurance plans,3,"CHRISTINE DIPAOLO,Krishna White,ROBYN MILLER"
SAVIDA HEALTH- NEWARK,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",4923 Ogletown Stanton Rd Ste 110,"Newark, DE 19713",302-894-8628,Most private insurance and public insurance plans,1,PATRICIA HUTKIN
"SETH IVINS, MD OFFICE","Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",620 STANTON-CHRISTIANA RD STE 305,"NEWARK, DE 19713",302-999-8830,"Limited health network, please contact office to learn more",2,"Michelle Papa,SETH IVINS"
Greenhill Pharmacy - W 4th St,Injection Provider,Outpatient Facility,,2500 W. 4th St. Ste 1,"Wilmington, DE 19805",302-660-8847,Most private insurance and public insurance plans,2,"JAY PATEL,JOSHUA KIM"
BRANDYWINE COMMUNITY COUNSELING SERVICES- WILMINGTON,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Inpatient Facility,"Alcohol Dependence, Opioid Dependence","2500 West 4th Street, 2nd Floor Suite 5B","Wilmington, DE 19805",302-472-0381,,1,CLINTON GLASS
Lower Merion Counseling,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",850 West Lancaster Avenue,"Bryn Mawr, PA 19010",610-520-1510,Most private insurance and public insurance plans,1,JUAN GAN
WENDY ANN REISS - PRIVATE PRACTICE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",80 Broad Street,"Phillipsburg, NJ 08865",908-386-5112,"Limited health network, please contact office to learn more",1,WENDY REISS
Rehab Physician,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1999 Sproul Road Suite 10,"Broomall, PA 19008",610-356-6250,Most private insurance and public insurance plans,1,HERBERT AVART
RAMOS RHEUMATOLOGY - JULIO RAMOS MD,"Prescriber, Injection Provider",Outpatient Facility,Opioid Dependence,824 McAlpine Street,"Avoca, PA 18641",570-471-3352,Most private insurance and public insurance plans,2,"TRACY SOKOLOSKI,JULIO RAMOS"
CARING MINDS MEDICAL CENTER (MILLER),"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3604 Miller Road,"Wilmington, DE 19808",302-516-7936,"Most private insurance, no public insurance plans",1,FLORENCE AKOUEGNON
Gaudenzia- Fresh Start,"Prescriber, Injection Provider, Counseling",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",604 West 10th Street,"Wilmington, DE 19801",302-737-4100,"Limited health network, please contact office to learn more",1,BRADLEY WHY
MIRMONT OUTPATIENT CENTER - BROOMALL,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",600 ABBOTT DR,"BROOMALL, PA 19008",484-476-1800,Most private insurance and public insurance plans,3,"ANTHONY KRUMBHAAR,CHRISTINA KUCHER,PHILLIP IZZO"
Greenhill Pharmacy - N Market St,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",824 N Market St Ste 103,"Wilmington, DE 19801",302-516-7507,Most private insurance and public insurance plans,1,JAY PATEL
THALIA MEDICAL CENTER,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",355 W. Lancaster Ave,"Bldg D 1st Floor, PA 19041",610-455-4254,"Limited health network, please contact office to learn more",1,AVIVA FOHRER
YOUR CENTER LLC,"Prescriber, Injection Provider, Counseling",Outpatient Facility,,"222 Philadelphia Pike, Suite 4","Wilmington, DE 19809",302-298-3818,Most private insurance and public insurance plans,1,LAKEETRA JOSEY
BERGAND GROUP - BALTIMORE COUNTY,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1300 York Road, York Green, Building C, Suite 100","Lutherville-Timonium, MD 21093",410-853-7691,Most private insurance and public insurance plans,1,JOHN STEINBERG
GAUDENZIA - ROAD TO RECOVERY,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3301 Green Street,"Claymont, DE 19703",302-307-1300,"Limited health network, please contact office to learn more",1,BRADLEY WHY
PYRAMID HEALTHCARE - WAYNESBORO,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",626 N GRANT ST,"WAYNESBORO, PA 17268",717-809-2088,Most private insurance and public insurance plans,1,CALEB NWOSU
LIVES CHANGED BY CHRIST,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",13450 Midvale Rd. Parking Lot,"Waynesboro, PA 17268",412-660-7064,Most private insurance and public insurance plans,0,NA
"RONALD BLOCK, MD OFFICE","Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",16 East Woodland Avenue,"Springfield, PA 19064",610-543-1881,"Limited health network, please contact office to learn more",1,RONALD BLOCK
Addiction Medical Treatment Specialty,"Prescriber, Injection Provider",Outpatient Facility,Opioid Dependence,"800 West State Street, Suite 100","Doylestown, PA 18901",215-345-5254,No Insurance accepted,2,"ELIZABETH DREW,JAMES RIGNEY"
"GREGORY PAPA, DO OFFICE",Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3620 North Dupont Highway,"New Castle, DE 19720",302-652-3545,Most private insurance and public insurance plans,1,GREGORY PAPA
ALDIE COUNSELING CENTER – DOYLESTOWN,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",11 Weldon Drive,"Doylestown, PA 18901",215-345-8530,"Limited health network, please contact office to learn more",1,EUGENE ZENONE
ACME,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",146 FOX HUNT DR,"BEAR, DE 19701",877-466-8028,,0,NA
CARING MINDS MEDICAL CENTER (BEAR),"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","2500 Wrangle Hill Road, Suite 205","Bear, DE 19701",302-516-7936,Most private insurance and public insurance plans,1,FLORENCE AKOUEGNON
SUBURBAN WELLNESS,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",390 Commerce Dr,"Fort Washington, PA 19034",267-462-4098,,1,PATRICIA ALLEN
ACME,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",1640 BETHLEHEM PIKE,"Flourtown, PA 19031",877-466-8028,,0,NA
MATClinic-Towson,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",40 York Road 201,"Towson, MD 21204",410-220-0780,Most private insurance and public insurance plans,1,ENRIQUE OVIEDO
MARYLAND ADDICTION RECOVERY CENTER,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","8600 LaSalle Road, Carroll Building, Suite 212","Towson, MD 21286",410-773-0500,"Limited health network, please contact office to learn more",3,"ALFRED FORRESTER,LASHANDA ROBERTS,Douglas Woodruff"
RESOURCE GROUP,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",8501 LaSalle Rd Ste 115,"Towson, MD 21286",410-337-7772,Most private insurance and public insurance plans,2,"PAUL KULPINSKI,ERICA INGRAM"
Pyramid Healthcare - Bartonsville,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","3180 Route 611, Suite 19","Bartonsville, PA 18321",570-420-7939,Most private insurance and public insurance plans,2,"GILLIAN BEAUCHAMP,NIRMALA YARRA"
SUMAT CENTERS - TOWSON,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",7801 York Rd Suite 300,"Towson, MD 21204",410-330-3380,Most private insurance and public insurance plans,0,NA
Gregory Pokrywka MD Office,"Prescriber, Injection Provider, Counseling",Outpatient Facility,Alcohol Dependence,"7801 York Road, Suite 300","Towson, MD 21204",410-337-0720,"Limited health network, please contact office to learn more",1,GREGORY POKRYWKA
PORT RECOVERY - PRIMARY CARE,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",8615 Ridgelys Choice Dr. Suite 205,"Nottingham, MD 21236",443-869-4909,Most private insurance and public insurance plans,1,IRFAN SAEED
1ST MEDICAL OF ANNAPOLIS - TOWSON,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",7600 Osler Drive Suite 105,"Towson, MD 21204",410-825-4500,"Most private insurance, no public insurance plans",1,ROSEMARY INGADO
KOLMAC OUTPATIENT RECOVERY CENTERS - TOWSON,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","6525 North Charles Street, Suite 85","Towson, MD 21204",410-296-2232,"Most private insurance, no public insurance plans",1,ANGELA HESTER
ACME,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",5927-59 RIDGE AVENUE,"Philadelphia, PA 19128",877-466-8028,,0,NA
ACME,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",124 MORTON AVE,"Folsom, PA 19033",877-466-8028,,0,NA
NEUROSCIENCE CENTER OF PHILADELPHIA,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",6 E. Willow Grove Ave.,"PHILADELPHIA, PA 19118",215-242-0420,"Limited health network, please contact office to learn more",1,JONATHAN BEATTY
PEACE HEALTHCARE INC - PARKVILLE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",8116 B Harford Rd,"Parkville, MD 21234",410-779-9175,Most private insurance and public insurance plans,1,PRISCILLA BENEWAAH
DAKES DRUG STORE INC.,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",201 City Ave,"Merion, PA 19066",610-667-1316,Most private insurance and public insurance plans,0,NA
MT. POCONO MEDICAL,"Prescriber, Injection Provider, Counseling",Outpatient Facility,Opioid Dependence,"1151 Pocono Boulevard, Suite 3","Mt. Pocono, PA 18344",570-839-7246,"Limited health network, please contact office to learn more",1,EDWARD QUIRK
PHILADELPHIA COUNSELING CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","25 Bala Avenue, Suite 202","Bala Cynwyd, PA 19004",610-298-1999,"Most private insurance, no public insurance plans",1,JONATHAN BEATTY
ACME,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",121 E CITY LINE AVE,"Bala Cynwyd, PA 19004",877-466-8028,,0,NA
EAST WEST MEDICAL GROUP,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",208 Lifeline Rd.,"Stroudsburg, PA 18360",570-420-5435,Most private insurance and public insurance plans,2,"PARVEZ MEMON,SULAGNA DE"
GLADSTONE PSYCHIATRY,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1501 SULGRAVE AVENUE SUITE 200,"BALTIMORE, MD 21209",443-708-5856,"Limited health network, please contact office to learn more",1,VONETTA DAVIS
Geisinger Gray's Woods,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",132 Abigail Ln,"Port Matilda, PA 16870",814-272-5014,Most private insurance and public insurance plans,1,SARAH WAGNER
CITYWIDE BEHAVIORAL HEALTH,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",17 Warren Rd Ste 20B,"Baltimore, MD 21208",410-929-2314,"Limited health network, please contact office to learn more",1,PAMELA JOHNSON
EMPOWERED HEALTH,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",6801 BELAIR RD,"BALTIMORE, MD 21206",443-372-7890,"Limited health network, please contact office to learn more",1,JANENE LEVY-STILL
VILLA MARIA OF BALTIMORE CITY (FALLSTAFF),"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",6999 Reisterstown Road Suite 4,"Baltimore, MD 21215",667-600-3210,"Most public insurance, no private insurance plans",1,ENRIQUE OVIEDO
AVENUES RECOVERY CENTER,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence","1753 Kendarbren Drive, Suite 612","Jamison, PA 18929",215-792-7305,Most private insurance and public insurance plans,1,DANA MINCER
ISL PSYCHIATRIC SERVICES - STROUDSBURG,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1172 W MAIN ST,"STROUDSBURG, PA 18360",570-424-6187,Most private insurance and public insurance plans,2,"LULA THOMAS,ILAN LEVINSON"
IVYLAND MEDICAL CENTER,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1035 W Bristol Rd, Suite B","Warminster, PA 18974",215-442-9929,Most private insurance and public insurance plans,1,BRAD PADDOCK
"Neff Drugs 30, LLC - Sunray",Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",142 S 52nd St. Suite 201,"Philadelphia, PA 19139",215-471-4000 Ext. 0,Most private insurance and public insurance plans,1,Elissa Muller
BACK ON TRACK,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",5151 A Walnut Street,"Philadelphia, PA 19139",215-474-2007,Most private insurance and public insurance plans,1,JIMMIE SANDERS
MID-ATLANTIC PAIN SPECIALISTS - PENNSVILLE/SALEM OFFICE,"Prescriber, Injection Provider",Outpatient Facility,Opioid Dependence,"390 North Broadway, Suite 500","Pennsville, NJ 08070",856-896-2814,Most private insurance and public insurance plans,1,ROBERT CHAPDELAINE
ELITE INTEGRATIVE CENTER & REHABILITATION,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",208 North Easton Road,"Willow Grove, PA 19090",215-531-0132,"Limited health network, please contact office to learn more",1,SARETA COUBAROUS
CHANGE TREATMENT CENTER,Prescriber,Outpatient Facility,"Alcohol Dependence, Opioid Dependence","2926 E Cold Spring Ln, Suite 3F","Baltimore, MD 21214",410-200-5042,Most private insurance and public insurance plans,1,DOROTHY WERE
POCONO MOUNTAIN RECOVERY CENTER,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",3437 Route 715,"Henryville, PA 18332",570-629-3270,"Most private insurance, no public insurance plans",1,MUHAMAD RIFAI
B.E.S.T. – STROUDSBURG,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",727 Ann Street,"Stroudsburg, PA 18360",570-422-6522,"Most public insurance, no private insurance plans",1,CRAIG HAYTMANEK
LAKE SCRANTON URGENT CARE - RENEW CENTER,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1141 Moosic Street Suite 3,"Scranton, PA 18505",570-955-0786,Most private insurance and public insurance plans,2,"JILL KISSOLOVEGE,SAMIPKUMAR PATEL"
IDEAL OPTION - BALTIMORE - ROSEDALE,"Prescriber, Injection Provider",Outpatient Facility,,19 Fontana Lane Suite 108,"Rosedale, MD 21237",509-222-1275,Most private insurance and public insurance plans,2,"CHINWE OKUDO,KETTY NGONA"
"TRINITY DETOX & FAMILY CLINIC, INC.","Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1232 Race Rd. Suite 302,"Rosedale, MD 21237",443-969-2310,Most private insurance and public insurance plans,1,IFEYINWA IBEANU
BLUE MOUNTAIN PSYCHIATRY - STROUDSBURG,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",564 Main St.,"Stroudsburg, PA 18360",610-253-2500 ext 300,"Most private insurance, no public insurance plans",1,MUHAMAD RIFAI
LEHIGH VALLEY WELLNESS AND RECOVERY CENTER - STROUDSBURG,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",564 Main Street Suite 103,"Stroudsburg, PA 18360",610-253-2500 ext 300,"Most private insurance, no public insurance plans",1,MUHAMAD RIFAI
CLEAN SLATE SCRANTON,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1020 W Lackawaanna Ave,"Scranton, PA 18504",570-904-6000,Most private insurance and public insurance plans,1,JULIE O'HARA
