COUNTYFP,county,totalP,totalP_hh,totalP_fhh,nonRel_fhh,nonRel_fhhR,totalP_nfhh,nonRel_nfhh,nonRel_nfhhR,groupQuar,groupQuarR
28133,"Sunflower County, Mississippi",26532,22394,19029,404,2.12,3365,443,13.16,1078,4.06
28001,"Adams County, Mississippi",31547,28940,24181,362,1.5,4759,511,10.74,1828,5.79
28033,"DeSoto County, Mississippi",176132,175371,154309,4087,2.65,21062,4303,20.43,8117,4.61
42045,"Delaware County, Pennsylvania",563527,541725,461676,11297,2.45,80049,12421,15.52,28815,5.11
37067,"Forsyth County, North Carolina",371573,360840,294462,6770,2.3,66378,11287,17.0,23103,6.22
37017,"Bladen County, North Carolina",33778,33299,27832,760,2.73,5467,626,11.45,2350,6.96
37031,"Carteret County, North Carolina",68920,67806,54781,1583,2.89,13025,2317,17.79,4489,6.51
28131,"Stone County, Mississippi",18375,17633,15955,480,3.01,1678,87,5.18,1035,5.63
37045,"Cleveland County, North Carolina",97159,95480,81049,2335,2.88,14431,2330,16.15,5059,5.21
37049,"Craven County, North Carolina",103082,98001,81909,1878,2.29,16092,2601,16.16,6227,6.04
37065,"Edgecombe County, North Carolina",53332,52561,44577,1674,3.76,7984,1067,13.36,3058,5.73
37077,"Granville County, North Carolina",58874,55168,48318,973,2.01,6850,989,14.44,2453,4.17
37085,"Harnett County, North Carolina",130361,127120,111208,2634,2.37,15912,3023,19.0,6458,4.95
37093,"Hoke County, North Carolina",53239,51730,45979,1338,2.91,5751,853,14.83,2391,4.49
37089,"Henderson County, North Carolina",113625,112210,92039,1715,1.86,20171,3201,15.87,7311,6.43
37095,"Hyde County, North Carolina",5393,4738,4343,279,6.42,395,34,8.61,166,3.08
42085,"Mercer County, Pennsylvania",112630,105309,86301,2100,2.43,19008,2704,14.23,7488,6.65
42105,"Potter County, Pennsylvania",16937,16666,13971,334,2.39,2695,492,18.26,1080,6.38
42117,"Tioga County, Pennsylvania",41226,40541,33873,1240,3.66,6668,1327,19.9,2586,6.27
44005,"Newport County, Rhode Island",83075,79235,61922,1273,2.06,17313,3645,21.05,5947,7.16
44007,"Providence County, Rhode Island",634533,608503,491325,15475,3.15,117178,24974,21.31,41858,6.6
44001,"Bristol County, Rhode Island",48900,45098,36666,732,2.0,8432,1310,15.54,2711,5.54
45003,"Aiken County, South Carolina",166926,164184,139090,2623,1.89,25094,3839,15.3,10043,6.02
45005,"Allendale County, South Carolina",9214,8042,6499,120,1.85,1543,144,9.33,693,7.52
45037,"Edgefield County, South Carolina",26769,23991,20986,599,2.85,3005,393,13.08,1191,4.45
45023,"Chester County, South Carolina",32326,32153,26956,557,2.07,5197,564,10.85,2068,6.4
45029,"Colleton County, South Carolina",37568,36922,30647,675,2.2,6275,951,15.16,2517,6.7
25019,"Nantucket County, Massachusetts",11101,10814,8325,493,5.92,2489,1035,41.58,624,5.62
26005,"Allegan County, Michigan",115250,114034,99321,2743,2.76,14713,2915,19.81,6013,5.22
26003,"Alger County, Michigan",9194,8158,6883,253,3.68,1275,200,15.69,516,5.61
26127,"Oceana County, Michigan",26417,25714,22458,730,3.25,3256,479,14.71,1389,5.26
26035,"Clare County, Michigan",30616,30156,25242,946,3.75,4914,713,14.51,2010,6.57
26073,"Isabella County, Michigan",70775,64153,43850,1619,3.69,20303,9441,46.5,5313,7.51
26157,"Tuscola County, Michigan",53250,52009,43665,1069,2.45,8344,1499,17.97,3304,6.2
26007,"Alpena County, Michigan",28612,28073,22012,635,2.88,6061,1141,18.83,2367,8.27
26111,"Midland County, Michigan",83389,82036,68714,1584,2.31,13322,2496,18.74,5129,6.15
26135,"Oscoda County, Michigan",8277,8203,6510,275,4.22,1693,201,11.87,787,9.51
26037,"Clinton County, Michigan",77896,77171,64797,1355,2.09,12374,3401,27.49,4158,5.34
26057,"Gratiot County, Michigan",41067,35313,29021,1012,3.49,6292,1055,16.77,2329,5.67
26091,"Lenawee County, Michigan",98474,93268,77490,2368,3.06,15778,2781,17.63,6534,6.64
26117,"Montcalm County, Michigan",63209,60532,51458,1896,3.68,9074,1594,17.57,3721,5.89
26147,"St. Clair County, Michigan",159566,157819,130952,4104,3.13,26867,4986,18.56,10973,6.88
26161,"Washtenaw County, Michigan",365961,345800,254300,5062,1.99,91500,32173,35.16,28411,7.76
26027,"Cass County, Michigan",51460,51044,43636,1453,3.33,7408,1207,16.29,3315,6.44
26143,"Roscommon County, Michigan",23877,23617,18695,763,4.08,4922,697,14.16,2167,9.08
26023,"Branch County, Michigan",43584,41211,34049,1112,3.27,7162,1629,22.75,2737,6.28
26075,"Jackson County, Michigan",158913,149418,123925,4029,3.25,25493,4081,16.01,10429,6.56
26099,"Macomb County, Michigan",868704,859929,720082,15556,2.16,139847,22649,16.2,55407,6.38
26013,"Baraga County, Michigan",8507,7188,5854,152,2.6,1334,253,18.97,523,6.15
26045,"Eaton County, Michigan",109155,107427,88581,2727,3.08,18846,3505,18.6,6853,6.28
26053,"Gogebic County, Michigan",15414,13935,10577,274,2.59,3358,453,13.49,1532,9.94
27093,"Meeker County, Minnesota",23079,22717,19155,571,2.98,3562,593,16.65,1522,6.59
27131,"Rice County, Minnesota",65765,57463,48317,1211,2.51,9146,1671,18.27,3533,5.37
27125,"Red Lake County, Minnesota",4008,3975,3320,71,2.14,655,99,15.11,296,7.39
27027,"Clay County, Minnesota",62801,59054,47461,1176,2.48,11593,2998,25.86,4110,6.54
27045,"Fillmore County, Minnesota",20888,20474,17328,332,1.92,3146,431,13.7,1279,6.12
27119,"Polk County, Minnesota",31591,30265,24570,543,2.21,5695,973,17.09,2439,7.72
27143,"Sibley County, Minnesota",14912,14687,12444,321,2.58,2243,304,13.55,940,6.3
27165,"Watonwan County, Minnesota",10973,10822,8900,193,2.17,1922,320,16.65,769,7.01
27011,"Big Stone County, Minnesota",5016,4860,3876,67,1.73,984,127,12.91,358,7.14
27021,"Cass County, Minnesota",29022,28641,23529,771,3.28,5112,796,15.57,2439,8.4
27057,"Hubbard County, Minnesota",20862,20667,17514,465,2.66,3153,607,19.25,1358,6.51
27091,"Martin County, Minnesota",19964,19628,15737,527,3.35,3891,621,15.96,1736,8.7
27105,"Nobles County, Minnesota",21839,21398,18372,1108,6.03,3026,488,16.13,1246,5.71
27141,"Sherburne County, Minnesota",93231,91097,80507,2769,3.44,10590,3118,29.44,3875,4.16
27019,"Carver County, Minnesota",100416,99541,88287,1439,1.63,11254,2396,21.29,3819,3.8
27085,"McLeod County, Minnesota",35825,35482,29147,878,3.01,6335,1152,18.18,2477,6.91
27123,"Ramsey County, Minnesota",541493,526078,412693,12830,3.11,113385,26860,23.69,38194,7.05
27169,"Winona County, Minnesota",50847,46877,34938,941,2.69,11939,3787,31.72,3813,7.5
27039,"Dodge County, Minnesota",20582,20428,18046,421,2.33,2382,378,15.87,1114,5.41
27035,"Crow Wing County, Minnesota",63855,62928,51770,1506,2.91,11158,1997,17.9,4445,6.96
27171,"Wright County, Minnesota",132745,131608,116413,2617,2.25,15195,3253,21.41,6000,4.52
01115,"St. Clair County, Alabama",87306,85106,74532,1777,2.38,10574,1672,15.81,4271,4.89
22091,"St. Helena Parish, Louisiana",10411,10253,9058,195,2.15,1195,86,7.2,512,4.92
22119,"Webster Parish, Louisiana",39631,38595,31687,811,2.56,6908,834,12.07,2600,6.56
22031,"De Soto Parish, Louisiana",27216,26972,22837,418,1.83,4135,780,18.86,1496,5.5
22047,"Iberville Parish, Louisiana",32956,29469,25624,640,2.5,3845,421,10.95,1668,5.06
22127,"Winn Parish, Louisiana",14494,12604,10504,284,2.7,2100,266,12.67,691,4.77
22063,"Livingston Parish, Louisiana",138111,137099,120309,3155,2.62,16790,3703,22.05,6686,4.84
22067,"Morehouse Parish, Louisiana",25992,25136,20999,283,1.35,4137,519,12.55,1576,6.06
22071,"Orleans Parish, Louisiana",389648,375121,271199,6640,2.45,103922,23329,22.45,37316,9.58
22109,"Terrebonne Parish, Louisiana",112587,111193,94197,3754,3.99,16996,4023,23.67,6381,5.67
22019,"Calcasieu Parish, Louisiana",200182,196614,163617,4297,2.63,32997,6076,18.41,12643,6.32
22027,"Claiborne Parish, Louisiana",16153,14162,11788,338,2.87,2374,259,10.91,992,6.14
22009,"Avoyelles Parish, Louisiana",40882,37321,31183,636,2.04,6138,1016,16.55,2187,5.35
22049,"Jackson Parish, Louisiana",15926,14669,12378,313,2.53,2291,368,16.06,812,5.1
22077,"Pointe Coupee Parish, Louisiana",22158,22030,18132,570,3.14,3898,615,15.78,1691,7.63
22089,"St. Charles Parish, Louisiana",52724,52132,46527,1103,2.37,5605,942,16.81,2331,4.42
22057,"Lafourche Parish, Louisiana",98214,96233,82103,2540,3.09,14130,3055,21.62,5182,5.28
22107,"Tensas Parish, Louisiana",4666,4647,3762,67,1.78,885,116,13.11,284,6.09
22059,"LaSalle Parish, Louisiana",14949,13557,11974,278,2.32,1583,237,14.97,660,4.42
23015,"Lincoln County, Maine",34067,33402,26751,925,3.46,6651,1130,16.99,2317,6.8
23027,"Waldo County, Maine",39418,38742,30890,1299,4.21,7852,1796,22.87,2644,6.71
23021,"Piscataquis County, Maine",16887,16553,12998,515,3.96,3555,756,21.27,1416,8.39
23003,"Aroostook County, Maine",68269,65979,53109,1543,2.91,12870,1744,13.55,5288,7.75
23029,"Washington County, Maine",31694,30683,24420,838,3.43,6263,1069,17.07,2402,7.58
23013,"Knox County, Maine",39823,38324,30553,1055,3.45,7771,1320,16.99,2711,6.81
23023,"Sagadahoc County, Maine",35277,35076,28322,923,3.26,6754,1214,17.97,2369,6.72
23011,"Kennebec County, Maine",121545,117795,93342,3601,3.86,24453,4821,19.72,8903,7.32
23007,"Franklin County, Maine",30019,28885,23175,709,3.06,5710,1364,23.89,1918,6.39
23009,"Hancock County, Maine",54541,52880,42246,1419,3.36,10634,1948,18.32,3693,6.77
24510,"Baltimore city, Maryland",614700,590812,433844,17178,3.96,156968,40490,25.8,52265,8.5
24039,"Somerset County, Maryland",25737,19646,16270,486,2.99,3376,507,15.02,1227,4.77
55129,"Washburn County, Wisconsin",15689,15453,12534,221,1.76,2919,421,14.42,1284,8.18
55133,"Waukesha County, Wisconsin",398879,393731,336789,4686,1.39,56942,9788,17.19,20227,5.07
55127,"Walworth County, Wisconsin",103013,100088,81977,2419,2.95,18111,4526,24.99,6609,6.42
55023,"Crawford County, Wisconsin",16288,15509,12565,320,2.55,2944,430,14.61,1218,7.48
55057,"Juneau County, Wisconsin",26419,24530,19703,683,3.47,4827,860,17.82,2169,8.21
55111,"Sauk County, Wisconsin",63596,62737,51322,1300,2.53,11415,2143,18.77,4622,7.27
55131,"Washington County, Wisconsin",134535,133532,113872,1784,1.57,19660,3611,18.37,7512,5.58
55017,"Chippewa County, Wisconsin",63635,61006,50819,1788,3.52,10187,1808,17.75,4190,6.58
55025,"Dane County, Wisconsin",529843,515949,380806,9322,2.45,135143,41285,30.55,45740,8.63
55031,"Douglas County, Wisconsin",43402,42212,32743,995,3.04,9469,1900,20.07,3669,8.45
55053,"Jackson County, Wisconsin",20506,19319,15741,563,3.58,3578,687,19.2,1665,8.12
55049,"Iowa County, Wisconsin",23620,23397,19410,440,2.27,3987,790,19.81,1576,6.67
55089,"Ozaukee County, Wisconsin",88284,86758,74161,986,1.33,12597,2116,16.8,4184,4.74
55097,"Portage County, Wisconsin",70599,67246,51882,1537,2.96,15364,4381,28.51,5490,7.78
55105,"Rock County, Wisconsin",161769,158811,130558,5265,4.03,28253,5610,19.86,10492,6.49
55119,"Taylor County, Wisconsin",20356,20150,16946,411,2.43,3204,506,15.79,1492,7.33
55001,"Adams County, Wisconsin",20073,18936,15121,488,3.23,3815,668,17.51,1771,8.82
55007,"Bayfield County, Wisconsin",14992,14864,12022,317,2.64,2842,420,14.78,1305,8.7
55081,"Monroe County, Wisconsin",45502,44692,37199,1406,3.78,7493,1342,17.91,3322,7.3
55141,"Wood County, Wisconsin",73274,72318,57811,1648,2.85,14507,2320,15.99,5949,8.12
55003,"Ashland County, Wisconsin",15712,15112,11865,243,2.05,3247,605,18.63,1379,8.78
55037,"Florence County, Wisconsin",4337,4281,3435,39,1.14,846,116,13.71,451,10.4
55055,"Jefferson County, Wisconsin",84652,80990,67620,1819,2.69,13370,2985,22.33,5042,5.96
56005,"Campbell County, Wyoming",47708,47071,40471,1030,2.55,6600,1471,22.29,3000,6.29
56023,"Lincoln County, Wyoming",19011,18904,16196,385,2.38,2708,551,20.35,1170,6.15
56025,"Natrona County, Wyoming",80610,78914,63112,2087,3.31,15802,3266,20.67,6428,7.97
56009,"Converse County, Wyoming",13997,13937,11814,440,3.72,2123,374,17.62,843,6.02
37097,"Iredell County, North Carolina",172525,171239,148662,3696,2.49,22577,4244,18.8,9097,5.27
37119,"Mecklenburg County, North Carolina",1054314,1039077,834646,21148,2.53,204431,50005,24.46,71709,6.8
37131,"Northampton County, North Carolina",20186,19351,15997,465,2.91,3354,444,13.24,1400,6.94
37147,"Pitt County, North Carolina",177372,170775,128525,2898,2.25,42250,14295,33.83,12099,6.82
37159,"Rowan County, North Carolina",139605,135225,115114,3582,3.11,20111,3474,17.27,7540,5.4
37181,"Vance County, North Carolina",44482,43682,36337,1273,3.5,7345,1460,19.88,2490,5.6
37039,"Cherokee County, North Carolina",27668,27229,22510,400,1.78,4719,722,15.3,1722,6.22
37053,"Currituck County, North Carolina",25796,25662,22191,594,2.68,3471,801,23.08,1385,5.37
37179,"Union County, North Carolina",226694,224470,205063,4061,1.98,19407,4161,21.44,7413,3.27
37193,"Wilkes County, North Carolina",68460,67563,56296,1231,2.19,11267,1761,15.63,4492,6.56
37127,"Nash County, North Carolina",94003,91926,77350,1854,2.4,14576,2162,14.83,5375,5.72
37003,"Alexander County, North Carolina",37119,35793,31221,654,2.09,4572,596,13.04,1769,4.77
37055,"Dare County, North Carolina",35741,35564,29099,714,2.45,6465,1215,18.79,2482,6.94
37185,"Warren County, North Carolina",20033,19055,15335,263,1.72,3720,556,14.95,1304,6.51
37195,"Wilson County, North Carolina",81336,79787,66362,1983,2.99,13425,2027,15.1,5317,6.54
37073,"Gates County, North Carolina",11563,11511,10010,187,1.87,1501,149,9.93,747,6.46
37075,"Graham County, North Carolina",8557,8438,7101,2,0.03,1337,216,16.16,591,6.91
37115,"Madison County, North Carolina",21405,20280,16593,454,2.74,3687,835,22.65,1243,5.81
37137,"Pamlico County, North Carolina",12742,12022,9950,238,2.39,2072,210,10.14,988,7.75
37149,"Polk County, North Carolina",20458,20126,16135,495,3.07,3991,491,12.3,1351,6.6
37151,"Randolph County, North Carolina",142958,141513,120613,3771,3.13,20900,3256,15.58,8277,5.79
37169,"Stokes County, North Carolina",45905,45377,38633,798,2.07,6744,795,11.79,2785,6.07
37187,"Washington County, North Carolina",12156,11999,9377,184,1.96,2622,427,16.29,897,7.38
37043,"Clay County, North Carolina",10813,10772,8858,67,0.76,1914,307,16.04,683,6.32
37051,"Cumberland County, North Carolina",332106,316781,262216,6739,2.57,54565,8429,15.45,22641,6.82
37081,"Guilford County, North Carolina",523582,504980,409529,9874,2.41,95451,20579,21.56,31753,6.06
37099,"Jackson County, North Carolina",42256,38536,28729,722,2.51,9807,2981,30.4,3222,7.62
37139,"Pasquotank County, North Carolina",39479,37086,31371,549,1.75,5715,877,15.35,2038,5.16
37155,"Robeson County, North Carolina",133442,130040,112312,3626,3.23,17728,2811,15.86,6953,5.21
37173,"Swain County, North Carolina",14254,13973,11854,246,2.08,2119,248,11.7,900,6.31
37183,"Wake County, North Carolina",1046558,1024637,847529,18057,2.13,177108,47843,27.01,56918,5.44
37007,"Anson County, North Carolina",25306,23468,18931,401,2.12,4537,861,18.98,1989,7.86
37111,"McDowell County, North Carolina",45109,43978,37926,1162,3.06,6052,915,15.12,2444,5.42
37069,"Franklin County, North Carolina",64902,63313,55040,1324,2.41,8273,1326,16.03,3209,4.94
37103,"Jones County, North Carolina",9695,9572,7962,182,2.29,1610,214,13.29,608,6.27
37113,"Macon County, North Carolina",34410,34050,27401,622,2.27,6649,884,13.3,2615,7.6
37019,"Brunswick County, North Carolina",126860,125950,105340,2243,2.13,20610,3556,17.25,7203,5.68
37175,"Transylvania County, North Carolina",33513,32240,27142,632,2.33,5098,833,16.34,1724,5.14
37013,"Beaufort County, North Carolina",47243,46759,38636,956,2.47,8123,1173,14.44,2629,5.56
37047,"Columbus County, North Carolina",56293,53302,44951,1206,2.68,8351,799,9.57,3640,6.47
37109,"Lincoln County, North Carolina",81441,80702,69963,1738,2.48,10739,2234,20.8,4094,5.03
37123,"Montgomery County, North Carolina",27338,26171,22605,307,1.36,3566,334,9.37,1401,5.12
37135,"Orange County, North Carolina",142938,131634,99965,2337,2.34,31669,11026,34.82,8676,6.07
37153,"Richmond County, North Carolina",45189,43750,36464,1083,2.97,7286,906,12.43,3070,6.79
37163,"Sampson County, North Carolina",63561,62555,53394,1584,2.97,9161,1267,13.83,3531,5.56
37171,"Surry County, North Carolina",72099,71094,60357,953,1.58,10737,1448,13.49,4245,5.89
37011,"Avery County, North Carolina",17501,14167,11676,129,1.1,2491,308,12.36,1111,6.35
37021,"Buncombe County, North Carolina",254474,247582,189143,5157,2.73,58439,13170,22.54,18580,7.3
72043,"Coamo Municipio, Puerto Rico",39265,39156,34411,1291,3.75,4745,642,13.53,1909,4.86
72051,"Dorado Municipio, Puerto Rico",37208,37160,33593,687,2.05,3567,617,17.3,1301,3.5
72089,"Luquillo Municipio, Puerto Rico",18547,18408,16209,558,3.44,2199,391,17.78,814,4.39
72019,"Barranquitas Municipio, Puerto Rico",28755,28379,25952,1023,3.94,2427,254,10.47,804,2.8
72107,"Orocovis Municipio, Puerto Rico",21407,21265,19425,908,4.67,1840,267,14.51,724,3.38
72129,"San Lorenzo Municipio, Puerto Rico",37873,37779,33021,871,2.64,4758,624,13.11,1899,5.01
72011,"Añasco Municipio, Puerto Rico",27368,27246,24574,478,1.95,2672,255,9.54,1130,4.13
25021,"Norfolk County, Massachusetts",698249,679779,565072,9807,1.74,114707,25572,22.29,36285,5.2
01043,"Cullman County, Alabama",82313,81113,69570,1327,1.91,11543,2116,18.33,4125,5.01
01069,"Houston County, Alabama",104352,103414,86876,2120,2.44,16538,3018,18.25,6011,5.76
01125,"Tuscaloosa County, Alabama",206213,195942,160707,4455,2.77,35235,10137,28.77,11831,5.74
01031,"Coffee County, Alabama",51288,50687,43508,935,2.15,7179,973,13.55,3431,6.69
01021,"Chilton County, Alabama",43930,43527,37617,1006,2.67,5910,1085,18.36,2360,5.37
01037,"Coosa County, Alabama",10855,10465,8860,177,2.0,1605,166,10.34,822,7.57
01055,"Etowah County, Alabama",102939,101599,86665,2231,2.57,14934,2296,15.37,5521,5.36
01075,"Lamar County, Alabama",13933,13745,11719,50,0.43,2026,104,5.13,939,6.74
01013,"Butler County, Alabama",20025,19703,16840,495,2.94,2863,584,20.4,935,4.67
01127,"Walker County, Alabama",64493,63588,54114,1243,2.3,9474,1817,19.18,3390,5.26
01063,"Greene County, Alabama",8426,8363,6945,209,3.01,1418,93,6.56,518,6.15
01011,"Bullock County, Alabama",10352,9922,8734,219,2.51,1188,60,5.05,545,5.26
17135,"Montgomery County, Illinois",29009,25722,21182,495,2.34,4540,571,12.58,1694,5.84
17195,"Whiteside County, Illinois",56396,55327,46004,1300,2.83,9323,1255,13.46,3866,6.86
17001,"Adams County, Illinois",66427,64950,53341,1299,2.44,11609,1955,16.84,4363,6.57
17027,"Clinton County, Illinois",37628,35392,29602,731,2.47,5790,1018,17.58,2405,6.39
17037,"DeKalb County, Illinois",104200,99433,76124,2592,3.4,23309,8531,36.6,7430,7.13
17047,"Edwards County, Illinois",6507,6454,5388,59,1.1,1066,161,15.1,431,6.62
17079,"Jasper County, Illinois",9598,9526,7957,208,2.61,1569,371,23.65,626,6.52
17081,"Jefferson County, Illinois",38169,35619,29398,873,2.97,6221,814,13.08,2722,7.13
17183,"Vermilion County, Illinois",78407,75653,61747,2168,3.51,13906,2324,16.71,5881,7.5
17197,"Will County, Illinois",688697,679440,611468,11904,1.95,67972,11913,17.53,26423,3.84
17199,"Williamson County, Illinois",67299,65241,53038,1470,2.77,12203,2441,20.0,4392,6.53
17023,"Clark County, Illinois",15836,15619,13117,329,2.51,2502,447,17.87,918,5.8
17041,"Douglas County, Illinois",19714,19526,16432,408,2.48,3094,542,17.52,1213,6.15
17049,"Effingham County, Illinois",34174,33698,28100,740,2.63,5598,1052,18.79,2251,6.59
17057,"Fulton County, Illinois",35418,32869,26692,1164,4.36,6177,1026,16.61,2406,6.79
17061,"Greene County, Illinois",13218,12932,10902,369,3.38,2030,347,17.09,830,6.28
17065,"Hamilton County, Illinois",8221,8111,6937,82,1.18,1174,171,14.57,528,6.42
17069,"Hardin County, Illinois",4009,3900,3265,75,2.3,635,104,16.38,242,6.04
17073,"Henry County, Illinois",49464,48727,41465,905,2.18,7262,874,12.04,3128,6.32
17087,"Johnson County, Illinois",12602,10348,8853,222,2.51,1495,211,14.11,537,4.26
17095,"Knox County, Illinois",50999,46775,35883,1526,4.25,10892,1922,17.65,4135,8.11
17105,"Livingston County, Illinois",36324,33950,28086,797,2.84,5864,1027,17.51,2300,6.33
17171,"Scott County, Illinois",5047,4995,4300,173,4.02,695,90,12.95,255,5.05
17179,"Tazewell County, Illinois",133852,131197,110212,3004,2.73,20985,3260,15.53,7961,5.95
17187,"Warren County, Illinois",17338,16161,13639,348,2.55,2522,340,13.48,1073,6.19
18061,"Harrison County, Indiana",39712,39356,33840,919,2.72,5516,1206,21.86,2037,5.13
18091,"LaPorte County, Indiana",110552,102284,84082,2660,3.16,18202,3326,18.27,7311,6.61
18169,"Wabash County, Indiana",31631,29729,24526,518,2.11,5203,835,16.05,2047,6.47
18073,"Jasper County, Indiana",33449,32564,27943,696,2.49,4621,866,18.74,2063,6.17
18101,"Martin County, Indiana",10210,9914,8121,216,2.66,1793,277,15.45,816,7.99
18127,"Porter County, Indiana",168041,164073,140004,2872,2.05,24069,4540,18.86,9921,5.9
18137,"Ripley County, Indiana",28425,27922,24131,649,2.69,3791,472,12.45,1698,5.97
18147,"Spencer County, Indiana",20526,20236,17479,254,1.45,2757,451,16.36,1218,5.93
21103,"Henry County, Kentucky",15814,15732,13679,478,3.49,2053,332,16.17,833,5.27
21107,"Hopkins County, Kentucky",45664,44653,37430,947,2.53,7223,1256,17.39,2869,6.28
21109,"Jackson County, Kentucky",13373,13267,11590,277,2.39,1677,189,11.27,705,5.27
21125,"Laurel County, Kentucky",60180,59303,50551,1706,3.37,8752,1609,18.38,3185,5.29
21157,"Marshall County, Kentucky",31166,30579,25925,483,1.86,4654,510,10.96,1872,6.01
21163,"Meade County, Kentucky",28326,28082,24417,427,1.75,3665,863,23.55,1533,5.41
21173,"Montgomery County, Kentucky",27759,27365,23157,739,3.19,4208,1212,28.8,1383,4.98
21181,"Nicholas County, Kentucky",7100,6999,6088,225,3.7,911,167,18.33,309,4.35
21185,"Oldham County, Kentucky",65374,61513,57113,633,1.11,4400,601,13.66,1785,2.73
21187,"Owen County, Kentucky",10741,10664,9310,346,3.72,1354,170,12.56,594,5.53
21203,"Rockcastle County, Kentucky",16827,16496,14395,236,1.64,2101,202,9.61,982,5.84
21209,"Scott County, Kentucky",53517,52184,45293,1164,2.57,6891,1487,21.58,2555,4.77
56027,"Niobrara County, Wyoming",2448,2142,1709,36,2.11,433,53,12.24,159,6.5
56037,"Sweetwater County, Wyoming",44117,43539,37077,1121,3.02,6462,1415,21.9,2949,6.68
47177,"Warren County, Tennessee",40454,39778,33419,1033,3.09,6359,894,14.06,2449,6.05
47179,"Washington County, Tennessee",127055,122091,96698,2042,2.11,25393,5236,20.62,9446,7.43
47183,"Weakley County, Tennessee",33626,31025,24880,540,2.17,6145,1223,19.9,2415,7.18
47005,"Benton County, Tennessee",16112,15930,12696,358,2.82,3234,472,14.59,1282,7.96
47007,"Bledsoe County, Tennessee",14602,13437,11512,316,2.74,1925,602,31.27,622,4.26
47013,"Campbell County, Tennessee",39687,39111,33107,975,2.94,6004,936,15.59,2338,5.89
47015,"Cannon County, Tennessee",13976,13796,11856,278,2.34,1940,274,14.12,722,5.17
47083,"Houston County, Tennessee",8176,7948,6904,206,2.98,1044,73,6.99,474,5.8
47119,"Maury County, Tennessee",89776,88561,76970,1758,2.28,11591,1924,16.6,4363,4.86
48373,"Polk County, Texas",47837,44168,38314,1082,2.82,5854,581,9.92,2442,5.1
48391,"Refugio County, Texas",7236,7070,6250,121,1.94,820,53,6.46,344,4.75
48467,"Van Zandt County, Texas",54368,53682,46362,1322,2.85,7320,1660,22.68,2662,4.9
48055,"Caldwell County, Texas",41401,37605,32922,1060,3.22,4683,927,19.8,1752,4.23
48487,"Wilbarger County, Texas",12906,12237,10223,603,5.9,2014,149,7.4,872,6.76
55095,"Polk County, Wisconsin",43349,42819,35550,1001,2.82,7269,1233,16.96,3214,7.41
48317,"Martin County, Texas",5614,5543,5051,111,2.2,492,74,15.04,261,4.65
48383,"Reagan County, Texas",3752,3716,3403,81,2.38,313,49,15.65,148,3.94
48501,"Yoakum County, Texas",8571,8571,7902,50,0.63,669,80,11.96,329,3.84
48189,"Hale County, Texas",34113,31826,28144,698,2.48,3682,435,11.81,1632,4.78
48419,"Shelby County, Texas",25478,25276,22319,649,2.91,2957,153,5.17,1468,5.76
48387,"Red River County, Texas",12275,12077,10129,222,2.19,1948,159,8.16,801,6.53
48399,"Runnels County, Texas",10310,10091,8542,274,3.21,1549,380,24.53,583,5.65
48435,"Sutton County, Texas",3865,3839,3342,59,1.77,497,52,10.46,223,5.77
48451,"Tom Green County, Texas",117466,111376,91616,1933,2.11,19760,4082,20.66,7486,6.37
48469,"Victoria County, Texas",91970,90659,77717,2514,3.23,12942,2880,22.25,4428,4.81
48481,"Wharton County, Texas",41551,40982,35800,701,1.96,5182,589,11.37,2361,5.68
48485,"Wichita County, Texas",131818,116434,94998,2430,2.56,21436,3742,17.46,7951,6.03
48033,"Borden County, Texas",665,665,581,2,0.34,84,10,11.9,38,5.71
48315,"Marion County, Texas",10083,9971,8087,51,0.63,1884,192,10.19,810,8.03
48323,"Maverick County, Texas",57970,57665,54047,673,1.25,3618,520,14.37,1468,2.53
01101,"Montgomery County, Alabama",226941,220029,179971,4701,2.61,40058,6257,15.62,14986,6.6
01095,"Marshall County, Alabama",95145,94115,80844,2117,2.62,13271,2285,17.22,4987,5.24
01009,"Blount County, Alabama",57645,57102,50980,907,1.78,6122,626,10.23,2511,4.36
01067,"Henry County, Alabama",17124,16813,14317,283,1.98,2496,304,12.18,1105,6.45
01089,"Madison County, Alabama",357560,348718,286385,4360,1.52,62333,10463,16.79,25026,7.0
01001,"Autauga County, Alabama",55200,54654,47891,642,1.34,6763,809,11.96,2672,4.84
01123,"Tallapoosa County, Alabama",40636,40020,34470,605,1.76,5550,441,7.95,2082,5.12
01061,"Geneva County, Alabama",26491,26242,22365,375,1.68,3877,618,15.94,1545,5.83
01131,"Wilcox County, Alabama",10809,10553,8603,119,1.38,1950,392,20.1,755,6.98
02016,"Aleutians West Census Area, Alaska",5750,4380,3457,201,5.81,923,463,50.16,327,5.69
02060,"Bristol Bay Borough, Alaska",890,816,652,33,5.06,164,40,24.39,84,9.44
02150,"Kodiak Island Borough, Alaska",13649,13316,11332,440,3.88,1984,611,30.8,857,6.28
02188,"Northwest Arctic Borough, Alaska",7734,7383,6752,394,5.84,631,165,26.15,326,4.22
02050,"Bethel Census Area, Alaska",18040,17189,15695,744,4.74,1494,414,27.71,696,3.86
02185,"North Slope Borough, Alaska",9797,6649,6045,358,5.92,604,110,18.21,268,2.74
02220,"Sitka City and Borough, Alaska",8738,8456,6636,268,4.04,1820,388,21.32,745,8.53
