Name1,Name2,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,ID
CAO/DART DRUG ABUSE,RESEARCH AND TREATMENT PROG,80 GOODRICH STREET,,,BUFFALO,NY,14204.0,(716)853-0350,Drug,2344NY14204
CITY OF BUFFALO OHR,ELLICOTT/MASTEN COMM COUNSELING CENTER,560 - 562 WILLIAM STREET,,,BUFFALO,NY,14204.0,(716)855-4069,Drug,5344NY14204
CITY OF BUFFALO OHR,ELMWOOD COUNSELING- CENTER,61 ELMWOOD AVENUE,,,BUFFALO,NY,14201.0,(716)882-5272,Drug,0963NY14201
CITY OF BUFFALO OHR,FILLMORE/LEROY COMM COUNSELING CENTER,2255 FILLMORE AVENUE,,,BUFFALO,NY,14214.0,(716)837-2710,Drug,6737NY14214
CITY OF BUFFALO OHR,RIVERSIDE COUNSELING CENTER,514 ONTARIO STREET,,,BUFFALO,NY,14207.0,(716)877-0772,Drug,5448NY14207
DIVISION OF SUBSTANCE ABUSE SERVICES,SPECIALIZED TREATMENT SERVICES,125 MAIN STREET,GEN DONOVAN STATE OFFICE BUILDING,,BUFFALO,NY,14203.0,(716)842-3803,Drug,2636NY14203
MENTAL HEALTH SERVICES•CORP II,MAIN HERTEL COUNSELING SERVICE,2929 MAIN STREET,,,BUFFALO,NY,14214.0,(716)838-6146,Drug,0053NY14214
MENTAL HEALTH SERVICES CORP V,SOUTH BUFFALO COUNSELING CENTER,329 SOUTHSIDE PARKWAY,,,BUFFALO,NY,14220.0,(716)662-6622,Drug,2554NY14220
MENTAL HEALTH SERVICES CORP VI,LOWER WEST SIDE DRUG ABUSE PROGRAM,485 NIAGARA STREET,,,BUFFALO,NY,14201.0,(716)856-2000,Drug,0675NY14201
GREENE COUNTY,NARCOTIC ADDICTION CONTROL,ROUTE 3 BOX 905,COUNTY BUILDING,,CAIRO,NY,12413.0,(518)622-9440,Drug,3737NY12413
ONTARIO COUNTY YOUTH COUNSELING SERV,,0 C Y C S,120 NORTH MAIN STREET,COUNTY OFFICE BUILDING 1,CANANDAIGUA,NY,14424.0,(716)394-7070EXT.2230,Drug,8213NY14424
MID-ERIE MENTAL HEALTH SERVICES INC,CHEEKTOWAGA COUNSELING CENTER,1520 WALDEN AVENUE,,,CHEEKTOWAGA,NY,14225.0,(716)895-6700,Drug,4096NY14225
SCHOHARIE COUNTY,SUBSTANCE ABUSE PROGRAM,41 WEST MAIN STREET,,,COBLESKILL,NY,12043.0,(518)234-7658,Drug,8305NY12043
COLD SPRING HARBOR,YOUTH DEVELOPMENT ASSOCIATION,P.O. BOX 241,,,COLD SPRINGS HARBOR,NY,11724.0,(516)367-4884,Drug,3115NY11724
COMMACK YOUTH DEVELOPMENT ASSOCIATION,,64 HAUPPAUGE ROAD,,,COMMACK,NY,11725.0,(516)499-3990,Drug,3621NY11725
YMCA OF LONG ISLAND ItlC,(YMCA) OUTREACH SERVICES,356 MIDDLE COUNTRY ROAD,,,CORAM,NY,11727.0,(516)698-6626,Drug,9314NY11727
FAMILY SERVICE SOCIETY OF CORNING,YOUTH SERVICES PROGRAM,11 EAST PULTENEY STREET,,,CORNING,NY,14830.0,(607)962-3148EXT.3149,Drug,4760NY14830
ELMCOR YOUTH AND ADULT ACTIVITIES INC,,10710 NORTHERN BOULEVARD,,,CORONA,NY,11368.0,(212)779-6183,Drug,8162NY11368
HSA NYC MMTP,ELMHURST HOSPITAL CLINIC 2,3433 JUNCTION BOULEVARD,,,CORONA,NY,11373.0,(212)830-2593,Drug,7764NY11373
HALF HOLLOW HILLS,YOUTH DEVELOPHENT CORP,525 HALF HOLLOW ROAD,,,DIX HILLS,NY,11747.0,(516)549-9417,Drug,3027NY11747
MENTAL HEALTH SERVICES CORP V,SOUTHTOl�NS COMMUNITY SERVICES,701 MAIN STREET,,,EAST AURORA,NY,14052.0,(716)662-6622,Drug,6040NY14052
MOtITEFIORE HOSPITAL AND MEDICAL CENTER,RIKERS ISLANO HEALTH SERVICES NYCARDC,1111 HAZEN STREET,,,EAST ELMHURST,NY,11370.0,(212)726-8410,Drug,2630NY11370
MONTEFIORE HOSPITAL AND MEDICAL CENTER,RIKERS ISLAND HEALTH SERVICES NYCCIFM,1010 HAZEN STREET,,,EAST ELMHURST,NY,11368.0,(212)726-8092,Drug,5709NY11368
MONTEFIORE HOSPITAL AND MEDICAL CENTER,RIKERS ISLAND HEALTH SERVICES NYCCIFW,1515 HAZEN STREET,,,EAST ELMHURST,NY,11370.0,(212)274-4242,Drug,3994NY11370
TOOLS PROJECT INC,,674 COLUMBIA TURNPIKE,,,EAST GREENBUSH,NY,12061.0,(518)477-8990,Drug,8984NY12061
SOUTHHAMPTON DRUG ABUSE COUNCIL,EAST HAMPTON COUNSELING CENTER,43 MAIN STREET,,,EAST HAMPTON,NY,11937.0,(516)324-0650,Drug,2952NY11937
NCDDAA ANTAGONIST TREATMENT PROGRAM,JAIL WORK RELEASE,CARMAN AVENUE,,,EAST MEADOW,NY,11554.0,(516)292-4309,Drug,0544NY11554
NORTHPORT/EAST NORTHPORT,YOUTH DEVELOPMENT ASSOCIATION,7 DIANE COURT,,,EAST NORTHPORT,NY,11731.0,(516)261-7901,Drug,6266NY11731
ELLENVILLE RESIDENTIAL FACILITY,RD 1,,BOX 22,,ELLENVILLE,NY,12428.0,(914)647-6575,Drug,5738NY12428
SAMARITAN HALFWAY SOCIETY,CLINIC II,BRIGGS HIGHWAY,,,ELLENVILLE,NY,12428.0,(914)647-3355,Drug,5963NY12428
CREDO FOUNDATION INC,RD 1,,,,EVAl�S MILLS,NY,13637.0,(315)629-4441,Drug,7657NY13637
DYNAMIC YOUTH CENTER,RESIDENTIAL UNIT,ROUTE 42,P.O. BOX A,,FALLSBURG,NY,12733.0,(914)434-3370,Drug,0657NY12733
PRICE INC,COUNSELING CENTER,399 CONKLIN STREET,,,FARMINGDALE,NY,11735.0,(516)293-3480,Drug,8231NY11735
AURORA CONCEPT INC,,16040 78TH ROAD,,,FLUSHING,NY,11366.0,(212)591-9304,Drug,8302NY11366
AURORA CONCEPT INC,FEMALE RESIDENCE,16031 UNION TURNPIKE,,,FLUSHING,NY,11366.0,(212)591-9304,Drug,2731NY11366
COMMUNITY COUNCIL OF WEST NASSAU INC,,922 HEMPSTEAD TURNPIKE,,,FRANKLIN SQUARE,NY,11010.0,(516)328-1717,Drug,4134NY11010
EOC NASSAU COUNTY,FREEPORT OPERATION ALTERNATIVE,75 NORTH MAIN STREET,,,FREEPORT,NY,11520.0,(516)379-4143,Drug,9071NY11520
FREEPORT CITIZENS COMM ON DRUG ABUSE,OPERATION PRIDE,16 WEST SUNRISE HIGHWAY,,,FREEPORT,NY,11520.0,(516)546-2822,Drug,9340NY11520
FREEPORT FAMILY COMMUNITY CENTER,,17 BUFFALO AVENUE,,,FREEPORT,NY,11520.0,(516)378-8666,Drug,6091NY11520
NEW HOPE MANOR INC,RESIDENTIAL UNIT,,GRAYMOOR RR 1,,GARRISON,NY,10524.0,(914)424-3050,Drug,7240NY10524
TEEN CHALLENGE,WALTER HOUitIG HOME,PHILLIPSE BROOK AVERY ROAD,P.O. BOX 194,,GARRISON,NY,10524.0,(914)424-3674,Drug,1155NY10524
EOC NASSAU COUNTY,GLEN COVE PYRAMID,135 GLEN COVE AVENUE,,,GLEN COVE,NY,11542.0,(516)671-9818,Drug,2931NY11542
GLEN FALLS HOSPITAL CMHC,HUMAN RESOURCE CENTER,46 ELM STREET,,,GLENS FALLS,NY,12801.0,(518)793-5189,Drug,4069NY12801
ORANGE COUNTY IN JAIL PROGRAM,ALCOHOL AND DRUG ABUSE SERVICES,HARRIMAN DRIVE,DRAWER 471,,GOSHEN,NY,10924.0,(914)294-6185,Alcoholism/Drug,9189NY10924
GREAT NECK COMMUNITY ORGANIZATION FOR,PARENTS AND YOUTH ICOPAYl,21 NORTH STATION PLAZA,,,GREAT NECK,NY,11021.0,(516)466-2509,Drug,2481NY11021
HARBORFIELDS/ELWOOD,YOUTH DEVELOPMENT ASSOCIATION,52 BROADWAY,,,GREENLA�IN,NY,11740.0,(516)261-6218,Drug,4506NY11740
SOUTHAMPTON DRUG ABUSE COUNCIL,NORTH FORK GREEN PORT UNIT,455 MAIN STREET,,,GREENPORT,NY,11944.0,(516)477-1080,Drug,3189NY11944
MEtlTAL HEALTH SERVICES CORP VI,HAMBURG COUNSELING SERVICE,91 UNION STREET,,,HAMBURG,NY,14075.0,(716)648-0650,Drug,0006NY14075
DELAWARE COUNTY,DRUG ABUSE SERVICES,ROUTE 10,,,HAMDEN,NY,13782.0,(607)865-4213,Drug,1232NY13782
SUFFOLK COUNTY,DAS SCREENING AND DETOX CENTER,1330 MOTOR PARKWAY,,,HAUPPAUGE,NY,11787.0,(516)582-4641,Drug,8652NY11787
HAVERSTRAW COUNSELING CENTER,CREACH OUT>,216 CONGER AVENUE,,,HAVERSTRAW,NY,10927.0,(914)429-5731,Drug,2629NY10927
ALLIANCE COUNSELING CENTER,IACCl,435 FULTON AVE,,,HEMPSTEAD,NY,11550.0,(516)485-0300,Drug,5512NY11550
EOC NASSAU COUNTY,HEMPSTEAD YOUTH FOR ACTION SERVICES,226 SOUTH FRANKLIN STREET,,,HEMPSTEAD,NY,11550.0,(516)489-1240EXT.1,Drug,3669NY11550
FAMILY SERVICES ASSOC OF NASSAU COUNTY,COMMUNITY ORGANIZATION SERV-DRUG PROG,131 JACKSON STREET,,,HEMPSTEAD,NY,11550.0,(516)538-1310,Drug,1917NY11550
HISPANIC COUllSELING CENTER,FAMILY SERVICES ASSOCIATION,80 NORTH FRANKLIN STREET,,,HEMPSTEAD,NY,11550.0,(516)538-2613,Drug,1431NY11550
JEWISH COMMUNITY SERVICES OF,LONG ISLAND HEMPSTEAD CLINIC,50 CLINTON STREET,,,HEMPSTEAD,NY,11550.0,(516)485-5710,Drug,6833NY11550
EAST PLAINS MENTAL HEALTH SERVICES,COMMUNITY PROGRAM,76 NORTH BROADWAY,,,HICKSVILLE,NY,11801.0,(516)822-4060,Drug,6746NY11801
HICKSVILLE AGAINST DRUGS H A D,,1 HELP-AID-DIRECTION>,268 NORTH BROADWAY,,HICKSVILLE,NY,11801.0,(516)935-6858,Drug,3756NY11801
HUDSON CORRECTIONAL FACILITY,SUBSTANCE ABUSE TREATMENT PROJECT,,BOX 576,,HUDSON,NY,12534.0,(518)828-4311EXT.220,Drug,9870NY12534
HUNTINGTON STARSHINE PROGRAM,,423 PARK AVENUE,,,HUNTINGTON,NY,11743.0,(516)271-3591,Drug,6290NY11743
HUNTINGTON VILLAGE,YOUTH DEVELOPMENT ASSOCIATION,423 PARK AVENUE,,,HUNTINGTON,NY,11743.0,(516)271-8350,Drug,4501NY11743
HUNTINGTON STATION,YOUTH DEVELOPI!ENT ASSOCIATION,4 RAILROAD AVENUE,,,HUNTINGTON STATION,NY,11746.0,(516)673-0614,Drug,4079NY11746
HUNTINGTON STATION MMTP CLINIC,,689 EAST JERICHO TURNPIKE,,,HUNTINGTON STATION,NY,11746.0,(516)271-0278,Drug,4976NY11746
SOUTH HUNTINGTON,YOUTH DEVELOPMENT ASSOCIATION,WESTON STREET,WESTHILLS ELM SCHOOL,,HUNTINGTON STATION,NY,11746.0,(516)427-3311,Drug,0881NY11746
TOWN OF ISLIP ACCESS,DRUG COUNSELING SERVICES,401 MAIN STREET,,,ISLIP,NY,11751.0,(516)224-5330,Drug,2098NY11751
ITHACA ALPHA HOUSE CENTER,OUTREACH CENTER,103 STATE STREET,THE COMMONS,,ITHACA,NY,14850.0,(607)273-5500,Drug,5911NY14850
HSA NYC MMTP,MARY IMMACULATE HOSP CLINIC 2,14718 ARCHER AVENUE,,,JAMAICA,NY,11435.0,(212)526-3700,Drug,3747NY11435
QUEENS VILLAGE CONN FOR MENTAL HEALTH,IJ-CAPl DAYCARE CLINIC,16202 SOUTH ROAD,,,JAMAICA,NY,11433.0,(212)380-4126,Drug,5105NY11433
QUEENS VILLAGE COMM FOR MENTAL HEALTH,#NAME?,15602 LIBERTY AVENUE,,,JAMAICA,NY,11433.0,(212)380-4126,Drug,4572NY11433
SAMARITAN HALFWAY SOCIETY,CLINIC III,8883 VAN WYCK EXPRESSWAY,,,JAMAICA,NY,11435.0,(212)520-5218,Drug,8360NY11435
BROOME COUNTY DRUG AWARENESS CENTER,,22 PARK PLACE,,,JOHNSON CITY,NY,13790.0,(607)798-7182,Drug,0016NY13790
SOUTHERN TIER DRUG ABUSE,TREATMENT CENTER,143 CORLISS AVENUE,,,JOHNSON CITY,NY,13790.0,(607)729-4983,Drug,4671NY13790
MENTAL HEALTH SERVICES CORP I,KENMORE CENTER,1605 KENMORE AVENUE,,,KENMORE,NY,14217.0,(716)875-2131,Drug,6695NY14217
BROADWAY CENTRAL OUTREACH CENTER,,58 PEARL STREET,,,KINGSTON,NY,12401.0,(914)339-3388,Drug,1500NY12401
ULSTER COUNTY MENTAL HEALTH SERVICE,METHADONE MAINTENANCE AND REHAB PROG,398 BROADWAY,P.O. BOX 867,,KINGSTON,NY,12401.0,(914)339-3434,Drug,5250NY12401
SMITH HAVEN MINISTRIES,,178 SMITHAVEN MALL,,,LAKE GROVE,NY,11755.0,(516)724-8246,Drug,3855NY11755
COMMITTEE ON DRUG ABUSE,ICODAl,270 LAWRENCE AVENUE,,,LAWRENCE,NY,11559.0,(516)239-6244EXT.237,Drug,3980NY11559
YOUTH DIRECTION COUNCIL OF LEVITTOWN,CLINIC I,,"CENTER LANE, VILLAGE GREEN",,LEVITTOWN,NY,11756.0,(516)796-6633,Drug,9189NY11756
INWARD HOUSE CORPORATION,,UPPER FERNDALE ROAD,,,LIBERTY,NY,12754.0,(914)292-6000,Drug,1389NY12754
LONG BEACH,ECOIIOMIC OPPORTUNITY COMMISSION,212 WEST PARK AVENUE,,,LONG BEACH,NY,11561.0,,Drug,8721NY11561
LONG BEACH REACH,,26 WEST PARK AVENUE,,,LONG BEACH,NY,11561.0,(516)889-2332,Drug,9965NY11561
A-WAY OUT INC,,4114 27TH STREET,,,LONG ISLAND CITY,NY,11101.0,(212)784-0200,Drug,5208NY11101
BRIDGE PLAZA,TRtATMENT AND REHABILITATION CLINIC,4115 27TH STREET,,,LONG ISLAND CITY,NY,11101.0,(212)786-3476EXT.74,Drug,3791NY11101
LINK,,21 LANGDON PLACE,,,LYNBROOK,NY,11563.0,(516)887-4848,Drug,0813NY11563
PUTNAM COUNTY OPDF TREATMENT AHO EARLY,INTERVENTION PROGRAM - COMMON SENSE,22 PUTNAM PROFESSIONAL PARK,,,MAHOPAC,NY,10541.0,(914)628-7597,Drug,9751NY10541
FRANKLIN COUNTY CMHC,DRUG ABUSE SERVICES,16 ELM STREET,,,MALONE,NY,12953.0,(518)483-3261,Drug,7533NY12953
HEALTH YOUTH AND DRUG SERVICES,PROJECT NASSAU COUNTY,65 HIGH STREET,,,MANHASSET,NY,11030.0,(516)627-1751,Drug,5138NY11030
MANHASSET DAY CARE CENTER,,1355 NORTHERN BOULEVARD,,,MANHASSET,NY,11030.0,(516)627-5002,Drug,6048NY11030
LARCHMONT MAMARONECK NARCOTICS,GUIDANCE COUNCIL,234 STANLEY AVENUE,,,MARMARONECK,NY,10543.0,(914)698-7549,Drug,7669NY10543
YMCA OF LONG ISLAND INC,#NAME?,HERKIMER AND CLASSEN STREETS,,,MASTIC,NY,11950.0,(516)281-6114,Drug,6225NY11950
SOUTHAMPTON DRUG ABUSE COUNCIL,NORTH FORK COUNSELING CENTER,,BOX 1418,,MATTITUCK,NY,11952.0,(516)298-8642,Drug,2531NY11952
ALBA-NECK HALFWAY HOUSE,CLINIC II,18 OLD EAST NECK ROAD,,,MELVILLE,NY,11746.0,(516)842-6622,Drug,5233NY11746
ALTERNATIVES AND DIRECTION FOR YOUTH,MILLBROOK UNIT,OAK SUHi1IT ROAD,,,MILLBROOK,NY,12545.0,(914)677-5331,Drug,6545NY12545
DAYTOP VILLAGE INC,MILLBROOK RESIDENCE,ROUTE 44,P.O. BOX 607,,MILLBROOK,NY,12545.0,(914)677-5335,Drug,1321NY12545
DIVISION OF SUBSTANCE ABUSE SERVICES,SPECIALIZED TREATMENT SERVICES,70 THIRD AVENUE,,,MINEOLA,NY,11501.0,(516)746-3740,Drug,8948NY11501
SULLIVAN COUNTY ALCOHOL &DRUG ABUSE,,11 BANK STREET,BUSHNELL BUILDnlG,,MONTICELLO,NY,12701.0,(914)794-0761,Alcoholism/Drug,6991NY12701
DAYTOP VILLAGE me,MOUNT VERNON OUTREACH,117 EAST THIRD STREET,,,MOUNT VERNON,NY,10550.0,(914)664-4070,Drug,6385NY10550
MOUNT VERNON OPEN DOOR DRUG PROGRAM,,1 EAST SECOND STREET,SECOND FLOOR,,MOUNT VERNON,NY,10550.0,(914)664-4042,Drug,8567NY10550
CLARKSTOWN COUl�SELING CENTER,,44 SOUTH MAIN STREET,,,NEW CITY,NY,10956.0,(914)634-6369,Drug,4035NY10956
ULSTER COUNTY,COUNSELING TASK FORCE,40 HAIN STREET,,,NEW PALTZ,NY,12561.0,(914)255-1830,Drug,5522NY12561
GUIDANCE CENTER OF NEW ROCHELLE,METHADONE MAINTENANCE TREATMENT PROG,4035 NORTH AVENUE,,,NEW ROCHELLE,NY,10801.0,(914)632-1374,Drug,8261NY10801
NEW ROCHELLE OUTREACH,,271 HUGUENOT STREET,,,NEW ROCHELLE,NY,10801.0,(914)235-8048,Drug,0394NY10801
RENAISSANCE RE-ENTRY HOUSE,,197 DRAKE AVENUE,,,NEW ROCHELLE,NY,10805.0,(914)576-3320,Drug,0076NY10805
WESTCHESTER COMMUNITY OPPORTUNITY PROG,NEW ROCHELLE OUTREACH CENTER,33 LINCOLN AVENUE,SUITE 2,,NEW ROCHELLE,NY,10801.0,(914)636-2412,Drug,9590NY10801
ADDICTS REHABILITATION CENTER INC,RESIDENCE I,1881 PARK AVENUE,,,NEW YORK,NY,10035.0,(212)427-1342,Drug,3544NY10035
BETH ISRAEL NED CENT METHADONE HAINT,TREATMENT PROG SAINT LUKES PROGRAM,567 WEST 113TH STREET,,,NEW YORK,NY,10025.0,(212)870-6704,Drug,7628NY10025
BETH ISRAEL MED CENT METHADONE HAINT,TREATMENT PROGRAM CLINIC 2,110 EAST 125TH STREET,,,NEW YORK,NY,10035.0,(212)427-9541,Drug,2963NY10035
BETH ISRAEL NED CENT METHADONE HAINT,TREATMENT PROGRAM CLINIC 3,103 EAST 125TH STREET,,,NEW YORK,NY,10035.0,(212)427-2226,Drug,8229NY10035
BETH ISRAEL NED CENT METHADONE MAINT,TREATMENT PROGRAM CLINIC 3C,433 SECOND AVENUE,,,NEW YORK,NY,10003.0,(212)420-2031,Drug,1001NY10003
BETH ISRAEL NED CENT METHADONE MAINT,TREATMENT PROGRAM CLINIC 3G,429 SECOND AVENUE,,,NEW YORK,NY,10003.0,(212)420-2027,Drug,5389NY10003
BETH ISRAEL NED CENT METHADONE HAINT,TREATMENT PROGRAM CLINIC 4,21 OLD BROADWAY,BASEMENT,,NEW YORK,NY,10027.0,(212)666-6121,Drug,7653NY10027
BETH ISRAEL MED CENT METHADONE MAINT,TREATMENT PROGRAM CLINIC 6/7,103 EAST 125TH STREET,,,NEW YORK,NY,10035.0,(212)722-7170,Drug,9482NY10035
BETH ISRAEL MED CENT METHADONE MAINT,TREATMENT PROGRAM CLINIC 8,140 WEST 125 STREET,,,NEW YORK,NY,10027.0,(212)864-8177,Drug,1541NY10027
BETH ISRAEL MED CENT METHADONE MAINT,TREATMENT PROGRAM CLINIC 80,140 WEST 125 STREET,,,NEW YORK,NY,10027.0,(212)864-0904,Drug,1541NY10027
BETH ISRAEL MED CENTER METHADONE MAINT,TREATMENT PROG COOPER SQUARE CLINIC,50 COOPER SQUARE,,,NEW YORK,NY,10003.0,(212)420-2078,Drug,4543NY10003
BETH ISRAEL MED CENTER METHADONE MAINT,TREATMENT PROG GOUVERNEUR CLINIC,109 DELANCY STREET,,,NEW YORK,NY,10002.0,(212)420-2086,Drug,3145NY10002
BETH ISRAEL MED CENTER METHADONE MAINT,TREATMENT PROG LENOX HILL CLINIC,1082 LEXINGTON AVENUE,,,NEW YORK,NY,10021.0,(212)472-1053,Drug,1727NY10021
BETH ISRAEL MED CENTER METHADONE MAINT,TREATMENT PROG ST CLARES CLINIC,721 NitlTH STREET,,,NEW YORK,NY,10036.0,(212)247-7180,Drug,5570NY10036
BETH ISRAEL MED CENTER METHADONE MAINT,TREATMENT PROG ST VINCENTS NY CLINIC,201 WEST 13TH STREET,,,NEW YORK,NY,10011.0,(212)420-2015,Drug,5650NY10011
BETH ISRAEL MED CENTER METHADONE MAINT,TREATMENT PROGRAM CLINIC 1,103 EAST 125TH STREET,,,NEW YORK,NY,10035.0,(212)831-5502,Drug,6135NY10035
BETH ISRAEL MED CENTER METHADONE MAINT,TREATMENT PROGRAM CLINIC lE,429 SECOND AVENUE,,,NEW YCRK,NY,10003.0,(212)420-2019,Drug,6065NY10003
BETH ISRAEL MED CENTER METHADONE MAINT,TREATME�ff PROGRAM CLINIC 2C,435 SECOND AVEtlUE,,,NEW YORK,NY,10003.0,(212)420-2035,Drug,5599NY10003
BETH ISRAEL MED CENTER METHADONE MAINT,TREATMENT PROGRAM CLINIC 2F,429 SECOND AVENUE,,,NEW YORK,NY,10003.0,(212)420-2023,Drug,6065NY10003
BETH ISRAEL MEDICAL CElffER,INPATIENT DRUG DETOXIFICATION SERVICE,307 SECOND AVENUE,,,NEW YORK,NY,10003.0,(212)420-2159,Drug,2251NY10003
COLONIAL PARK COMMUNITY SERV INC,DAY CARE CENTER,2714 16 FREDERICK DOUGLAS BOULEVARD,,,NEW YORK,NY,10039.0,(212)690-5009EXT.5070,Drug,8698NY10039
DAYTOP VILLAGE INC,MANHATTAN OUTREACH,132 WEST 83RD STREET,,,NEW YORK,NY,10024.0,(212)595-7855,Drug,5880NY10024
DAYTOP VILLAGE INC,REENTRY,54 WEST 40Tli STREET,,,NEW YORK,NY,10018.0,(212)354-1600,Drug,7099NY10018
DAYTOP VILLAGE INC,SCREENING INDUCTION REFERRAL,406 WEST 40TH STREET,,,NEW YORK,NY,10018.0,(212)564-1838,Drug,9901NY10018
DIVISION OF SUBSTAIICE ABUSE SERVICES,SPECJALIZED TREATMENT SERVICES,80 CENTRE STREET,ROOM 322,,NEW YORK,NY,10013.0,(212)488-5344,Drug,9027NY10013
EAST HARLEM COUNCIL FOR HUMAN SERV INC,DRUG TREATMENT PROGRAM,4406 EAST 116TH STREET,3RD FLOOR,,NEW YORK,NY,10029.0,(212)289-1004,Drug,1418NY10029
ENTER,OUTPATIENT,132 EAST 111TH STREET,ROOM 23,,NEW YORK,NY,10029.0,(212)831-8960,Drug,5237NY10029
ENTER INC,RESIDENCE,252 EAST 112TH STREET,,,NEW YORK,NY,10029.0,(212)860-2460,Drug,2627NY10029
EXODUS HOUSE INC,,309 EAST 103RD STREET,,,NEW YORK,NY,10029.0,(212)876-8775,Drug,0554NY10029
GREENWICH HOUSE COUNSELLING CENTER,,116 WEST 14TH STREET,,,NEW YORK,NY,10011.0,(212)691-2900,Drug,0296NY10011
GREENWICH HOUSE MMTP,COOPER SQUARE,50 COOPER SQUARE,,,NEW YORK,NY,10003.0,(212)677-3400,Drug,4009NY10003
GREENWICH HOUSE WEST MMTP,,24 WEST 20TH STREET,,,NEW YORK,NY,10011.0,(212)255-0404,Drug,3605NY10011
HARLEM CLINIC 1,STARTING POINT,149 WEST 124TH STREET,,,NEW YORK,NY,10027.0,(212)678-1212,Drug,2317NY10027
HARLEM CLINIC 2,KALEIDOSCOPE,149 WEST 124TH STREET,,,NEW YORK,NY,10027.0,(212)678-1277,Drug,6950NY10027
HARLEM CLINIC 3,THIRD HORIZON,2195 THIRD AVENUE,,,NEW YORK,NY,10035.0,(212)678-1223,Drug,6257NY10035
HARVY D KARKUS MD,METHADONE MAINTENANCE TRTMT PROGRAM,27 EAST 92ND STREET,,,NEW YORK,NY,10028.0,(212)289-7166,Drug,3160NY10028
HSA NYC MMTP,BEEKMAN DOWNTOUN HOSPITAL CLINIC,74 TRINITY PLACE,,,NEW YORK,NY,10006.0,(212)422-0250,Drug,2886NY10006
HSA NYC MMTP,BELLEVUE HOSPITAL CLINIC,29TH STREET AND FIRST AVENUE,,,NEW YORK,NY,10016.0,(212)561-3201,Drug,3411NY10016
HSA NYC MMTP,HARLEM HOSPITAL CLINIC I,264 WEST 118TH STREET,,,NEW YORK,NY,10026.0,(212)662-1500,Drug,9125NY10026
HSA NYC MMTP,HARLEM HOSPITAL CLINIC 2,600 WEST 168TH STREET,,,NEW YORK,NY,10032.0,(212)923-4132,Drug,0287NY10032
HSA NYC MMTP,HARLEM IV,510 WEST 126TH STREET,,,NEW YORK,NY,10027.0,(212)850-2700,Drug,4767NY10027
HSA NYC MHTP,LOWER EASTSIDE SERVICE CENTER CLINIC I,46 EAST BROADWAY,,,NEW YORK,NY,10002.0,(212)431-4610,Drug,5924NY10002
HSA NYC MMTP,NEW YORK HOSPITAL CLINIC,401 EAST 71ST STREET,,,NEW YORK,NY,10021.0,(212)988-5881,Drug,1343NY10021
HSA NYC MMTP LOWER EASTSIDE,SERVICE CENTER CLINIC 3,62 EAST BROADWAY,,,NEW YORK,NY,10002.0,(212)431-4600,Drug,5383NY10002
INT'L CENTER FOR INTEGRATIVE STUDIES,THE DOOR - A CENTER OF ALTERNATIVES,618 AVENUE OF THE AMERICAS,,,NEW YORK,NY,10011.0,(212)691-6161,Alcoholism/Drug,0593NY10011
LINCOLN MEDICAL AND MENTAL HEALTH CTR,SUBSTANCE ABUSE DIVISION,349 EAST 140TH STREET,,,NEW YORK,NY,10454.0,(212)579-5292,Alcoholism/Drug,4601NY10454
LOWER EAST SIDE,MENTAL HEALTH CLINIC,46 EAST BROADWAY,,,NEW YORK,NY,10002.0,(212)431-4610EXT.225,Drug,2086NY10002
LOWER EASTSIDE SERVICE CENTER,SU CASA,9 GOVERNEUR SLIP EAST,,,NEW YORK,NY,10002.0,(212)349-6820EXT.224,Drug,0419NY10002
MEDICAL M GROUP,,25355 THIRD AVENUE,,,NEW YORK,NY,10010.0,(212)475-1900EXT.11,Drug,6135NY10010
METHADONE MAINT HEALTH PROGRAM CORP,,25 LENOX AVENUE,,,NEW YORK,NY,10026.0,(212)865-7272,Drug,4138NY10026
METHADONE MAINT TRTMT PROG LAFAYETTE,,226 LAFAYETTE STREET,,,NEW YORK,NY,10012.0,(212)431-6177,Drug,3925NY10012
METROPOLITAN HOSPITAL CENTER,DRUG ADDICTION CLINIC,1900 SECOND AVENUE,PSYCHIATRIC PAVILION,,NEW YORK,NY,10029.0,(212)360-6821,Drug,1198NY10029
NEW YORK CITY HEALTH & HOSPITAL CORP,HARLEM HOSPITAL CENTER MMTP 3,500 WEST 180TH STREET,,,NEU YORK,NY,10033.0,(212)923-4338,Drug,3774NY10033
NEW YORK COUNCIL OF,SMALLER CHURCHES PROGRAM,69 WEST 128TH STREET,,,NEW YORK,NY,10027.0,(212)876-7667,Drug,2640NY10027
NEW YORK MEDICAL COLLEGE,CCHP AMBULATORY DETOX,5 EAST 102ND STREET,,,NEW YORK,NY,10029.0,(212)860-8186,Drug,1742NY10029
NEW YORK MEDICAL COLLEGE,CCHP MAP OUTPATIENT MTA,5 EAST 102ND STREET,8TH FLOOR,,NEW YORK,NY,10029.0,(212)860-8186,Drug,1742NY10029
NEW YORK MEDICAL COLLEGE,CCHP PAAM CLINIC,21 EAST 105TH STREET,,,NEW YORK,NY,10029.0,(212)860-8186,Drug,6699NY10029
NEW YORK MEDICAL COLLEGE DART,,5 EAST 102UD STREET,,,NEW YORK,NY,10029.0,(212)860-8153,Drug,2764NY10029
