Name1,Name2,Address1,Address2,City,State,ZIP_Code,Contact,Keys
LAFAYETTE SUBSTANCE ABUSE CLINIC,,510 SAINT LANDRY STREET,,LAFAYETTE,LA,70507,(318)232-0163,Alcoholism/Drug
EDUCATION AND TREATMENT COUNCIL INC,,200 WEST 11TH STREET,,LAKE CHARLES,LA,70601,(318)433-1062,Drug
JOSEPH R BRISCOE FAMILY,SUBSTANCE ABUSE CENTER,4012 AVENUE H,CHANNAULT AFB,LAKE CHARLES,LA,70601,(318)491-2355,Alcoholism/Drug
LEESVILLE OUTREACH CLINIC,,103 BELLEVIEW ROAD,P.O. BOX 1526,LEESVILLE,LA,71446,(318)239-3408,Alcoholism/Drug
LUTCHER SUBSTANCE ABUSE CLINIC,,504 LOUISIANA AVENUE,,LUTCHER,LA,70071,(504)869-5723,Alcoholism/Drug
WASHINGTON-ST TAMMANY,SUBSTANCE ABUSE SERVICE,900 WILKERSON,,MANDEVILLE,LA,70448,(504)626-8555,Alcoholism/Drug
MANSFIELD SUBSTANCE ABUSE OUTREACH,,405 POLK STREET,,MANSFIELD,LA,71052,(318)872-0935,Alcoholism/Drug
MANY SUBSTANCE ABUSE SERVICE,BOX 152,,,MANY,LA,71449,(318)256-2047,Alcoholism/Drug
INSIGHT PROGRAM,,2350 METAIRIE'ROAD,,METAIRIE,LA,70001,(504)837-9140,Drug
JEFFERSON SUBSTANCE ABUSE CLINIC,,401 VETERANS BOULEVARD,SUITE 102,METAIRIE,LA,70005,(504)834-9470,Alcoholism/Drug
MINDEN SUBSTANCE ABUSE CLINIC,,407 MEADOWVIEW DRIVE,,MINDEN,LA,71055,(318)371-1020,Alcoholism/Drug
DEVELOPMENTAL CENTERS INC,,1020 WINNSBORO ROAD,P.O. BOX 115,MONROE,LA,71201,(504)389-5476,Drug
MONROE SUBSTANCE ABUSE CLINIC,,303 ARKANSAS AVENUE,,MONROE,LA,71201,(318)362-3270,Alcoholism/Drug
TRI-CITIES SUBSTANCE ABUSE CLINIC,,529 SOUTHEAST BOULEVARD,,MORGAN CITY,LA,70380,(504)395-2856,Alcoholism/Drug
NATCHITOCHES SUBSTANCE ABUSE CLINIC,,210 FIFTH STREET,P.O. BOX 416,NATCHITOCHES,LA,71457,(318)352-7921,Alcoholism/Drug
NEW IBERIA SUBSTANCE ABUSE CLINIC,,222 WEST SAINT PETER STREET,,NEW IBERIA,LA,70560,(318)365-7326,Alcoholism/Drug
DRUG REHABILITATION CLINIC - GENOIS,,113 SOUTH GENOIS STREET,,NEW ORLEANS,LA,70119,(504)486-6277,Drug
DRUG RESEARCH CLINIC,MELPOMENE UNIT,1620 MELPOMENE STREET,,NEW ORLEANS,LA,70130,(504)523-4918,Drug
DRUG RESEARCH CLINIC,TULANE UNIT,3604 TULANE AVENUE,,NEW ORLEANS,LA,70119,(504)486-6277,Drug
FAMILY SERVICE SOCIETY,COMMUNITY CARE,535 GRAVIER,,NEW ORLEANS,LA,70130,(504)524-7471,Drug
NEW ORLEANS MENTAL HEALTH CENTER,,3100 GENERAL DEGAULLE DR,,NEW ORLEANS,LA,70114,(504)361-6211,Alcoholism/Drug
NEW ORLEANS SUBSTANCE ABUSE CLINIC,,3934 CANAL STREET,,NEW ORLEANS,LA,70119,(504)568-5531,Alcoholism/Drug
PONCHARTRAIN MENTAL HEALTH CENTER SLIDELL,,4116 OLD GENTILLY ROAD,"NEW ORLEANS, LA 70126 SLIDELL SUBSTANCE ABUSE CLINIC",(504i 568-6333 192,SECOND,STREET,,Alcoholism/Drug
COMMUNITY ORGANIZATION,FOR DRUG ABUSE CONCERNS (CODACl,501 JORDAN STREET,,SHREVEPORT,LA,71101,(318)227-8818,Drug
ODYSSEY HOUSE SHREVEPORT,,1540 IRVING PLACE,,SHREVEPORT,LA,71101,(318)424-1443,Drug
PINES TREATMENT CENTER,INTERMEDIATE CARE CENTER,6240 GREENWOOD ROAD,,SHREVEPORT,LA,71119,(318)635-1335,Alcoholism/Drug
SHREVEPORT SUBSTANCE ABUSE CLINIC,,1704 MARKET STREET,,SHREVEPORT,LA,71101,(318)227-5166,Alcoholism/Drug
CRISIS AND COUNSELING CENTER,,79 SEWALL STREET,,AUGUSTA,ME,04330,(207)623-4511,Drug
DRUG REHABILITATION INC,DAY ONE RESIDENCE,ROUTE 202,,BAR MILLS,NE,04004,(207)929-5166,Drug
BATH-B�UNSWICK MENTAL HEALTH ASSOC,FULL CIRCLE PROGRAM,24 JORDAN AVENUE,,BRUNSWICK,NE,04011,(207)729-8706,Drug
AROOSTOOK MENTAL HEALTH CENTER,OUTPATIENT ALCOHOLISM SERVICES,SAINT PETER BUILDING,,CARIBOU,ME,04736,,Alcoholism/Drug
AROOSTOOK MENTAL HEALTH CENTER,ALCOHOLISM AND DRUG SERVICES,,,FORT FAIRFIELD,ME,04742,(207)472-3511,Alcoholism/Drug
AROOSTOOK MENTAL HEALTH CENTER,OUTPATIEtlT ALCOHOLISM SERVICES,,UNION SQUARE,HOULTON,ME,04730,(207)532-6523,Alcoholism/Drug
AROOSTOOK MENTAL HEALTH CENTER,OUTPATIENT ALCOHOLISM SERVICES,42 SCHOOL STREET,,MADAWASKA,ME,04756,(207)728-6341,Alcoholism/Drug
ELAN ONE CORPORATION,RFD BOX 33,,,POLAND SPRING,ME,04274,(207)998-4666,Drug
DRUG REHABILITATION INC,DAY ONE OUTPATIENT,317 CONGRESS STREET,,PORTLAND,ME,04102,(207)774-9501,Drug
AROOSTOOK MENTAL HEALTH CENTER,OUTPATIENT ALCOHOLISM SERVICES,489 MAIN STREET,,PRESQUE ISLE,ME,04769,(207)764-3319,Alcoholism/Drug
SACO UNIT,,265 NORTH STREET,,SACO,ME,04072,(207)282-7504,Alcoholism/Drug
US ARMY ALCOHOL AND DRUG ABUSE,PREVENTION AND CONTROL PROGRAM,,KIRK ARMY HEALTH CLINIC,,RM,355-356,,ABERDEEN
ANNE ARUNDEL COUNTY HEALTH DEPT,THE OPEN DOOR CLINIC,62 CATHEDRAL STREET,,ANNAPOLIS,MD,21401,(301)224-7366EXT.7736,Alcoholism/Drug
ADDICT REFERRAL & COUNSELING CTR INC,CARCC),21 WEST 25TH STREET,,BALTIMORE,MD,21218,(301)366-1717,Drug
BALTIMORE CITY HEALTH DEPARTMENT,CHERRY HILL DRUG ABUSE REHABILITATION,2490 GILES ROAD,,BALTIMORE,MD,21225,(301)396-1646,Drug
BALTIMORE CITY JAIL,SUBSTANCE ABUSE TREATMENT PROGRAM,401 EAST EAGER STREET,,BALTIMORE,MO,21202,(301)396-5227,Alcoholism/Drug
BEHAVIORAL PHARMACOLOGY RESEARCH,UNIT ( BPR UNIT l,4940 EASTERN AVENUE,BUILDING D5W,BALTIMORE,MD,21224,(301)396-8671,Drug
EAST BALTIMORE DRUG ABUSE CENTER,TREATMENT UNIT,1033 NORTH AISQUITH STREET,,BALTIMORE,MD,21202,(301)327-3301,Drug
EPOCH HOUSE - EAST,,307 EASTERN BOULEVARD,,BALTIMORE,MD,21221,(301)574-2500,Drug
GLENWOOD DRUG ABUSE TREATMENT CLINIC,,516 GLENWOOD AVENUE,,BALTIMORE,MD,21212,(301)323-9811,Drug
GLENWOOD LIFE COMMUNITY CARE CENTER,,516 GLENWOOD AVENUE,,BALTIMORE,MD,21212,(301)323-9811,Drug
GLENWOOD LIFE POLY-DRUG ABUSE CLINIC,,508 GLENWOOD AVENUE,,BALTIMORE,HD,21212,(301)323-9811,Drug
JANUS GROWTH CENTER,,21 WEST 25TH STREET,,BALTIMORE,HD,21209,(301)366-2123,Drug
HAN ALIVE,,2100 NORTH CHARLES STREET,,BALTIMORE,MD,21218,(301)837-4292,Drug
MANTRA DRUG COUNSELING CENTER INC,,3547 CHESTNUT AVENUE,,BALTIMORE,MD,21209,(301)235-1158,Drug
MARYLAND DRUG ABUSE RESEARCH,AND TREATMENT FOUNDATION INC CM DART),3707 FALLS ROAD,,BALTIMORE,MD,21211,(301)752-4040,Alcoholism/Drug
MARYLAND PENITENTIARY HOSPITAL,,954 FORREST STREET,,BALTIMORE,HD,21202,(301)837-2135EXT.320,Alcoholism/Drug
NEIGHBORHOOD ADOLESCENT AND YOUNG,ADULT DRUG PROGRAM - INPATIENT CLINIC,630 WEST FAYETTE STREET,,BALTIMORE,MD,21201,(301)528-2151,Drug
NEIGHBORHOOD ADOLESCENT AND YOUNG,ADULT DRUG PROGRAM - OUTPATIENT CLINIC,630 WEST FAYETTE STREET,,BALTIMORE,MD,21201,(301)528-2151,Drug
PROVIDENT HOSPITAL,ANTI-DRUG ABUSE PROGRAM WITH THERAPY,3101 TOWANDA AVENUE,,BALTIMORE,MD,21215,(301)225-2700,Drug
SEEKERS AFTER A NEW DIRECTION,ECHO HOUSE,1705 WEST FAYETTE STREET,,BALTIMORE,MD,21223,(301)947-1700,Drug
UNIVERSITY OF MARY�AND METHADONE,MAINTENANCE TREATMENT PROGRAM,536 WEST PRATT STREET,,BALTIMORE,HO,21201,(301)837-3313,Drug
WEST END,DRUG ABUSE PROGRAM,2401 WEST BALTIMORE STREET,,BALTIMORE,HD,21223,(301)945-7706,Drug
X-COMMUNITY ENCOUNTER FOR THE,LIBERATION OF LIFE INC (X-CELLJ,101 SOUTH WOLFE STREET,,BALTIMORE,MD,21231,(301)732-0600,Drug
EPOCH HOUSE,,22 BLOOMSBURY AVENUE,,BALTIMORE CCATONSVILLEl,HD,21228,(301)744-5937,Drug
HARFORD COUNTY DRUG ABUSE PROGRAM,DRUG ABUSE CLINIC,125 NORTH MAIN STREET,P.O. BOX 191,BEL AIR,MO,21014,(301)879-2000EXT.222,Drug
COMMUNITY PSYCHIATRIC CLINIC,BETHESDA UNIT,4803 HAMPDEN LANE,,BETHESDA,MD,20014,(301)656-5220,Drug
WALDEN COUNSELING CENTER,BOX 224,,,CALIFORNIA,MO,20619,(301)863-6661,Drug
WALDEN-SIERRA RESIDENTIAL CENTER,,ST ANDREWS CHURCH ROAD,BOX t63,CALIFORNIA,MD,20619,(301)862-4212,Drug
PUBLICK HOUSE,,400 HIGH STREET,ROOMS 9 AND 10,CHESTERTOWN,MD,21620,(301)778-2616,Alcoholism/Drug
CHEVERLY DRUG ABUSE TREATMENT CLINIC,,HOSPITAL ROAD,,CHEVERLY,MD,20785,(301)386-0227,Drug
DRUG INTERVENTION COUNSEL ACTION PROG,SURRATTSVILLE COMMUNITY COUNSELING CTR,6302 AARON LANE,,CLINTON,MD,20735,(301)868-5660,Drug
SOUTHERN REGIONAL DICAP COUNSELING CTR,SOUTHERN REGIONAL HEALTH CENTER,9314 PISCATAWAY ROAD,,CLINTON,MD,20735,(301)868-8800EXT.154,Drug
COLLEGE PARK/GREENBELT,COUNSELING CENTER,4809 GREENBELT ROAD,,COLLEGE PARK,MD,20740,(301)345-1414,Drug
ALLEGANY COUNTY HEALTH DEPARTMENT,ADDICTIONS CLINIC,WILLOWBROOK ROAD,P.O. BOX 1745,CUMBERLAND,MD,21502,(301)777-5680,Alcoholism/Drug
UPPER SHORE COUNSELING EVALUATION AND REFERRAL SERVICES,,100 SOUTH HANSON STREET,P.O. BOX 480,EASTON,MD,21601,(301)822-6650,Drug
CECIL COUNTY HEALTH DEPARTMENT,ALCOHOL AND DRUG CENTER,207 NORTH STREET,,ELKTON,MD,21921,(301)398-5106,Alcoholism/Drug
HOWARD CO DETENTION CTR CLASSIFIC,TREATMENT AND REFERRAL PROGRAM,ONE EMORY STREET,"ELLICOTT CITY, MD 21043 ,",( 30,I,992-2088,,Drug
HOWARD COUNTY HEALTH DEPARTMENT,DRUG ABUSE COUNSELING CENTER,,MACALPINE CENTER,9141 BALTIMOR,NATIONAL,PIKE,,ELLICOTT
TAYLOR MANOR HOSPITAL,GROUP NINE,COLLEGE AVENUE,,ELLICOTT CITY,MD,21043,(301)465-3322,Drug
FORT GEORGE G MEADE,ALCOHOL AND DRUG CONTROL OFFICE,4 1/2 STREET,BUILDING 2456,FORT GEORGE G MEADE,MD,20755,(301)677-2344,Alcoholism/Drug
DRUG AND ALCOHOL WALK-IN CENTER,,101 SOUTH MARKET STREET,,FREDERICK,MD,21701,(301)694-1780,Drug
FREDERICK COUNTY DRUG INFORMATION,AND COUNSELING SERVICE-PROJECT 103,540 WEST SOUTH STREET,,FREDERICK,MD,21701,(301)694-1775,Drug
FREDERICK METHADONE PROGRAM,C/0 RALPH L MICHELS MD,801 TOLLHOUSE AVENUE,FREDERICK MEDICAL CENTER,FREDERICK,MD,21701,(301)662-0224,Drug
GUIDE,MONTGOMERY COUNTY,205 SOUTH SUMMIT AVENUE,,GAITHERSBURG,MD,20760,(202)529-1700,Drug
ANNE ARUNDEL COUNTY HEALTH DEPT,OPEN DOOR NORTH,12 CRAIN HIGHWAYpNE,P.O. BOX 552,GLEN BURNIE,MD,21061,(301)760-6591,Alcoholism/Drug
CENTER FOR DRUG ABUSE ASSISTANCE,,1302 PENNSYLVANIA AVENUE,,HAGERSTOWN,MD,21740,(301)249-3240,Alcoholism/Drug
COMMUNITY DETOX INC,,201 NORTH JONATHON STREET,,HAGERSTOWN,MD,21740,,Alcoholism/Drug
SECOND STORY,,131 WEST NORTH AVENUE,,HAGERSTOl-lN,MD,21740,(301)791-3245,Alcoholism/Drug
GUIDE,BOWIE CLINIC,5126 BALTIMORE AVENUE,,HYATTSVILLE,MD,20781,(301)779-7741,Drug
JUNCTION TREATMENT AND REHABILITATION,• FOR ADDICTED PRISONERS,,MARYLAND CORRECTIONAL CAMP CENTER,ANNEX ,ROUTE,175,,"JESSUP,"
MD CORRECTIONAL INST FOR WOMEN,METHADONE DETOXIFICATION,P.O. BOX 535,,JESSUP,MD,20794,(301)799-5550EXT.67,Drug
BUMPY OAK COUNSELING CENTER,,ROUTE 2,BOX 2287-Y,LA PLATA,MD,20646,(301)934-4357,Drug
DRUG INTERVENTION COUNSEL ACTION PROG,PALMER PARK COUNSELING CENTER,7711 BARLOWE ROAD,,LANDOVER,MD,20785,(301)772-5414,Drug
FAMILY SERV OF PRINCE GEORGES CO INC,DRUG REHABILITATION PROGRAM,7580 ANNAPOLIS ROAD,,LANHAM,MD,20801,(301)459-2121,Drug
DRUG INTERVENTION COUNSEL ACTION PROG,NEW CARROLLTON COUNSELING CENTER,8435 ANNAPOLIS ROAD,,NEW CARROLLTON,MD,20784,,(301)
GARRETT COUNTY HEALTH DEPARTMENT,MENTAL HEALTH AND ADDICTIONS SERVICE,311 NORTH FOURTH STREET,"OAKLAND, MD 215S0",,301),334-8111,,Alcoholism/Drug
MONTGONERY GENERAL HOSPITAL,UPPER MONTGOMERY CMHC,18101 PRINCE PHILIP DRIVE,,OLNEY,MD,20832,(301)774-7800,Alcoholism/Drug
COUNSELING AND ASSISTANCE CENTER,ALCOHOL REHABILITATION DRYDOCK,,NAVAL AIR STATION,,BUILDING,438,,PATUXENT
DEPT OF CORRECTION AND REHABILITATION,METHADONE DETOXIFICATION PROGRAM,1307 SEVEN LOCKS ROAD,DETENTION MEDICAL,ROCKVILLE,HD,20854,(301)424-0940,Drug
SECOND GENESIS INC,MONTGOMERY COUNTY,14701 AVERY ROAD,"ROCKVILLE, t1D 208S0",,1301),6S6-1S4S,,Drug
WICOMICO COUNTY DRUG ABUSE PROGRAM,,300 WEST CARROLL STREET,"SALISBURY, t1D 21801",,(301),742-9318,,Drug
ALTERNATIVES & COUNSELING PROGRAMS,YOUTH & FAMILY COUNSELING SECTION,8S00 COLESVILLE ROAD,,SILVER SPRING,MO,20910,,(3011
MONTGOMERY COUNTY HEALTH DEPT,YOUNG ADULT COUNSELING SECTION,8500 COLESVILLE ROAD,,SILVER SPRING,HD,20910,(301)565-7729,Drug
WORCESTER CO ADDICTION SERVICES,DRUG ABUSE AND ALCOHOL,P.O. BOX 249,,SNOW HILL,MD,21863,(301)632-1100,Alcoholism/Drug
NEW LEAF COUNSELING CENTER,,P.O. BOX 6S,,SUNDERLAND,MD,20689,,I
JUNCTION BRIDGE,CENTRAL LAUNDRY CAMP CENTER,,,SYKESVILLE,MD,21784,(301)799-1760EXT.228,Drug
BALTIMORE COUNTY JAIL,MEDICAL UNIT,200 BALTIMORE AVENUE,,TOWSON,MD,21204,(301)494-2240,Drug
COMMUNITY COUNSELING AND RESOURCE CTR,,S17 VIRGINIA AVENUE,,TOWSON,MD,21204,(301)823-43S7,Drug
SHEPPARD ENOCH PRATT HOSPITAL,COMPREHENSIVE DRUG ABUSE PROGRAM,6S01 NORTH CHARLES STREET,,TOWSON,MD,21204,,(3011
SECOND GENESIS INC (UPPER MARLBORO>,,4620 MELWOOD ROAD,,UPPER MARLBORO,MD,20870,,13011
JUNCTION CLINIC I,,532 BALTIMORE BOULEVARD,P.O. BOX 206,WESTMINSTER,MD,211S7,(301)876-1788,Drug
SOMERSET COUNTY HEALTH DEPARTMENT,ADDICTIONS PROGRAM,P.O. BOX 129,,WESTOVER,MD,21871,,13011
NARCONON INC,,90 WINDHAM STREET,,ALLSTON,MA,02134,(617)254-9888,Drug
PEOPLES BRIDGE ACTION,,485 MAIN STREET,,ATHOL,MA,01331,(617)249-2248,Drug
ATTLEBORO AREA YOUTH AND FAMILY SERVICES INC,,11 DUNHAM STREET,P.O. BOX 273,ATTLEBORO,MA,02703,(617)222-7525,Alcoholism/Drug
AUBURN PROJECT,,53 AUBURN STREET,,AUBURN,MA,01501,(617)832-5707,Drug
CODE COMMUNITY RESOURCE CENTER,,396 CONCORD AVENUE,,BELMONT,MA,02178,(617)484-9224,Drug
PROJECT RAP INC,,19 BROADWAY,,BEVERLY,MA,01915,(617)927-4506,Drug
CONCILIO HUMAN SERVICES INC,,656 MASSACHUSETTS AVENUE,,BOSTON,MA,02118,(617)267-2363,Drug
CONCILIO HUMAN SERVICES INC,MCI CONCORD,656 MASSACHUSETTS AVENUE,,BOSTON,MA,02118,(617)267-2363,Drug
DR SOLOMON CARTER FULLER CMHC INC,LIBRE DRUG CLINIC,85 EAST NEWTON STREET,,BOSTON,MA,02118,(617)247-6415,Drug
SPAN INC MCI WALPOLE,,739 BOYLSTON STREET,ROOM 335,BOSTON,MA,02116,(617)247-2197,Drug
THE BRIDGE INC,,23 BEACON STREET,BASEMENT,BOSTON,MA,02108,(617)227-7114,Drug
THIRD NAIL AFTERCARE CLINIC,,71 WASHINGTON STREET,,BOSTON !BRIGHTON),MA,02135,(617)787-0306EXT.15,Drug
DORCHESTER/WES ROS PARK MH CTR,DRUG ABUSE REHAB CENTER (DARCI,591 MORTON STREET,BUILDING 62,BOSTON !DORCHESTER!,MA,02124,(617)436-6000EXT.160,Drug
F I R S T OUTPATIENT COMPONENT,,34 INTERVALE STREET,,BOSTON (DORCHESTER!,MA,02121,(617)445-5230,Drug
FED DORCHESTER NEIGHBORHOOD HOUSES INC,LITTLE HOUSE,-275 EAST COTTAGE STREET,,BOSTON (DORCHESTER!,MA,02122,(617)282-2180,Drug
FEDERATED DORCHESTER NEIGHBORHOODS INC,DORCHESTER HOUSE DRUG PROGRAM,1353 DORCHESTER AVENUE,,BOSTON (DORCHESTER),MA,02122,(617)288-3230,Drug
WOMEN INC,,570 WARREN STREET,,BOSTON !DORCHESTER!,HA,02121,(617)442-6166EXT.7,Alcoholism/Drug
SOUTHWEST BOSTON COMMUNITY SERVICES,ADULT COUNSELING,26 CENTRAL AVENUE,,BOSTON (HYOE PARKI,MA,02136,(617)364-5200,Drug
PROJECT CONCERN INC,,1000 HARVARD STREET,,BOSTON IMATTAPANI,MA,02126,(617)298-0106,Drug
SOUTHWEST BOSTON COMMUNITY SRVCS INC,HASS TRANSITION,4019 WASHINGTON STREET,,BOSTON (ROSLINDALEl,MA,02131,(617)323-2150,Drug
THIRD NAIL RESIDENTIAL CLINIC,,1170 COLUMBUS AVE,,BOSTON (ROXBURY CROSSING!,MA,02120,(617)445-6142,Drug
F I R S T RESIDENTIAL COMPONENT,,167 CENTRE STREET,,BOSTON IROXBURYl,MA,02119,(617)445-5230,Drug
OPPORTUNITIES INDUSTRIAL CENTER,PROJECT ADAPT OIC,184 DUDLEY STREET,,BOSTON IROXBURYI,MA,02119,(617)442-2424EXT.28,Drug
SOUTH BOSTON ACTION COUNCIL INC,TURNING POINT,424 WEST BROADWAY STREET,,BOSTON (SOUTH BOSTON!,MA,02127,(617)269-5160EXT.54,Drug
A PLACE TO STAND INC (PUOSTOI,,3 CEDAR STREET,P.O. BOX 141,BRIDGEWATER,MA,02324,(617)697-8111,Drug
PHANEUF CENTER,,688 NORTH MAIN STREET,,BROCKTON,MA,02401,(617)584-0500,Drug
TEEN CHALLENGE NEW ENGLAND INC,DRUG & ALCOHOL ABUSE TRT & REHAB,1315 MAIN STREET,"BROCKTON, HA 0�403",,(617),586-1494,,Drug
NEW PERSPECTIVES SCHOOL INC,,74 GREEN STREET,,BROOKLINE,MA,02146,(617)232-1958,Drug
BURLINGTON COMMUNITY LIFE CENTER,,45 CENTER STREET,,BURLINGTON,MA,01803,(617)273-1300,Drug
CAMBRIDGE HOSPITAL,NARCOTICS TREATMENT UNIT,485 MASSACHUSETTS AVENUE,,CAMBRIDGE,MA,02139,(617)661-5700,Drug
DRUG PROBLEMS RESOURCE CENTER,NORTH CHARLES WORKSHOP,485 MASSACHUSETTS AVENUE,,CAMBRIDGE,MA,02139,(617)661-5700,Drug
DRUG PROBLEMS RESOURCE CENTER,OUTPATIENT POLYDRUG PROGRAM,485 MASSACHUSETTS AVENUE,,CAMBRIDGE,MA,02139,(617)661-5700,Drug
CARE ABOUT NOW,COHMUNITY SERVICES,164 SHAWMUT STREET,,CHELSEA,HA,02150,(617)884-0222,Alcoholism/Drug
CHICOPEE ADOLESCEHT PROJECT,,345 CHICOPEE STREET,,CHICOPEE,MA,01013,(413)594-2141,Drug
CODE INC,PRISON PROGRAM,,,CONCORD,MA,02118,(617)263-8777,Drug
EAST BOSTON DRUG ACTION COUNCIL INC,NODOLES ISLAND MULTI-SERVICE CENTER,408 MERIDIAN STREET,,EAST BOSTON,HA,02128,(617)569-7310,Drug
WEYMOUTH YOUTH OFFICE,,1440 COMMERCIAL STREET,,EAST WEnlOUTH,MA,02189,(617)331-1719,Drug
PROJECT HELP OF FALMOUTH,,150 WORCESTER COURT,,FALMOUTH,MA,02540,(617)540-0679,Drug
AGAWAM YOUTH CENTER,,497 SPRINGFIELD STREET,,FEEDING HILLS,MA,01030,(413)786-1280,Drug
SPAN CENTER,AGAWAM CITIZENS ORGANIZATION,770 SPRINGFIELD STREET,P.O. BOX 84,FEEDING HILLS,MA,01030,(413)786-6410,Drug
1 LUK CRISIS CENTER INC,,99 DAY STREET,,FITCHBURG,MA,01420,(617)345-0685,Drug
FOXBOROUGH RESOURCES INC,,35 CHESTNUT STREET,P.O. BOX 507,FOXBOROUGH,MA,02035,(617)543-7336,Drug
FRAMINGHAM YOUTH COMMISSION,,440 WAVERLY STREET,,FRAMINGHAM,HA,01701,(612)872-8737,Drug
GREATER FRAMINGHAM,MENTAL HEALTH ASSOCIATION,88 LINCOLN STREET,,FRAMINGHAM,MA,01701,(617)620-0010,Drug
NUVA INC,,3 EMERSON AVENUE,,GLOUCESTER,MA,01930,(617)283-0000,Drug
PHOENIX EAST,,20 NEUCOMB STREET,P.O. BOX 844,HAVERHILL,MA,01830,(617)373-1181,Drug
TEAM COORDINATING AGENCY,COMMUNITY OUTREACH CENTER,359 MAIN STREET,BOX 844,HAVERHILL,MA,01830,(617)373-1181,Drug
PROJECT TURNABOUT INC,,224 BEAL STREET,,HINGHAM,MA,02043,(617)749-6320,Drug
TOGETHER HUDSON CLINIC,,32 HIGH STREET,,HUDSON,MA,01749,(617)568-8296,Drug
PROJECT HELP,HYANNIS,120 YARMOUTH ROAD,,HYANNIS,MA,02601,(617)771-1080,Drug
D A R E HILLSIDE COMMUNITY OUTREACH,,36 PERKINS STREET,,JAMAICA PLAIN,MA,02130,(617)524-3097,Drug
GREATER LAWRENCE OUTREACH INC,,36 LAWRENCE STREET,,LAWRENCE,MA,01840,(617)685-1337,Drug
ALTERNATIVE HOMES PROGRAM,,186 BEDFORD STREET,,LEXINGTON,MA,02173,(617)861-0890,Drug
REPLACE INC,,1912 MASSACHUSETTS AVENUE,,LEXINGTON,MA,02173,(617)862-8130,Drug
ACID THERAPEUTIC COMMUNITY,ALPHA OMEGA,544 NEWTOWNE ROAD,,LITTLETON,MA,01460,(617)486-8919,Drug
ANABASIS HOUSE,,21 BRANCH STREET,,LOWELL,MA,01851,,(617)
SHARE OUTPATIENT CLINIC,,660 MIDDLESEX STREET,,LOWELL,MA,01851,(617)459-6681,Drug
PROJECT COPE,,117 NORTH COMMON STREET,,LYNN,MA,01902,(617)599-8020,Drug
A C I D NORFOLK COUNTY,PROGRAM AT DEDHAM JAIL,170 PLEASANT STREET,,MALDEN,MA,02148,(617)324-2218,Drug
A/ACID OUTPATIENT SERVICES,,170 PLEASANT STREET,,HALDEN,MA,02148,(617)324-2218,Drug
ACID-ADULT ADOLESCENT COUNSELING IN,DEVELOPMENT PROGRAM AT MCI FRAMINGHAM,156 PLEASANT STREET,,MALDEN,MA,02148,(617)324-2218,Drug
MARBLEHEAD COMMUNITY COUNSELING CENTER,GROWTH & LEARNING CENTER,66 CLIFTON AVENUE,,MARBLEHEAD,MA,01945,(617)631-8273,Drug
MARION CENTER FOR HUMAN SERVICES,,335 WAREHAM ROAD,,MARION,MA,02738,(617)748-2850,Alcoholism/Drug
TOGETHER MARLBOROUGH CLINIC,,527 LINCOLN STREET,,MARLBOROUGH,MA,01752,(617)485-2424,Drug
PROJECT FRIEND INC,DRUG ABUSE TREATMENT AND REHAB,1900 OCEAN STREET,,MARSHFIELD,MA,02050,(617)585-4383,Drug
MILFORD ASSISTANCE PROGRAM,,89 CONGRESS,P.O. BOX 365,MILFORD,MA,01757,(617)473-3332,Drug
PROJECT HELP OF NANTUCKET,OFF VESPER LANE,,,NANTUCKET,MA,02554,(617)228-2689,Drug
NEW BEDFORD AREA CENTER FOR HUMAN,SERVICES INC-PRIMARY SITE,848 PLEASANT STREET,,NEW BEDFORD,MA,02740,(617)999-2321,Drug
NEW BEDFORD WOMENS CENTER INC,,252 COUNTY STREET,,NEW BEDFORD,MA,02740,(617)996-3341,Drug
THE AID CENTER,,18 SOUTH WATER STREET,BOX A-2097,NEW BEDFORD,MA,02740,(617)999-3232,Drug
TURNING POINT INC,,5 MIDDLE STREET,,NEWBURYPORT,MA,01950,(617)462-8251,Drug
D A R E,FREEPORT HOUSE,361 COMMONWEALTH AVENUE,,NEWTON,MA,02167,(617)969-3874,Drug
NEWTON WELLESLEY WESTON,NEEDHAM MULTI-SERVICE CTR INC,1301 CENTRE STREET,,NEWTON CENTER,MA,02159,(617)244-4802,Drug
PEACEFUL MOVEMENT COMMITTEE INC,NORFOLK DRUG REFORM PROGRAM,P.O. BOX 43,,NORFOLK,MA,02056,(617)668-0800,Drug
YESTERDAY TODAY AND TOMORROW INC,,P.O. BOX 43,,NORFOLK,MA,02056,(617)668-0800EXT.220,Drug
SOUTH FORTY ALTERNATIVES,,94 SUMMER STREET,,NORTH ADAMS,MA,01247,(413)664-4507,Drug
HAMPSHIRE CORRECTIONAL SERVICES INC,,33 KING STREET,HAMPSHIRE HALL OF RECORDS,NORTHAMPTON,MA,01060,(413)586-3391,Drug
SOJOURN,,142 MAIN STREET,,NORTHAMPTON,MA,01060,(413)584-1313,Drug
OFFICE OF YOUTH SERVICES,,MAIN STREET,TRINITY CHURCH,NORTHBOROUGH,MA,01532,(617)393-2510,Drug
PEABODY COUNCIL ON YOUTH NEEDS,,24 LOWELL STREET,PEABODY CITY HALL,PEABODY,HA,01960,(617)532-3000EXT.355,Drug
BERKSHIRE CORRECTIONAL SERVICES INC,,264 SECOND STREET,,PITTSFIELD,HA,01201,(413)499-0220,Drug
